Name | Country | Continent | Region | Altitude | Temperature | Annual Precip | Humidity | Sun | Plants | Wildlife | Water Sources | Human Population | Carbon Footprint
Macleod, Vic | Australia | Australasia | Australia | 145 m | Average Monthly mean 10.9°C | 615mm | Humid | 4.4 hrs | Eucalyptus | Koala | Reservoirs | Medium | Low
Mundaring, WA | Australia | Australasia | Australia | 445 m | Average Monthly mean 14.3°C | 807mm | Humid | 4.6 hrs | Marri | Wombat | Groundwater | Low | Medium
Perth | Australia | Australasia | Australia | 13 m | Average Monthly mean 17.1°C | 863mm | Dry | 5.5 hrs | Jarrah | Kangaroo | Wells | High | Medium
Coffs Harbour | Australia | Australasia | Australia | 18 m | Average Monthly mean 17.9°C | 1218mm | Humid | 6.1 hrs | Paperbarks | Platypus | Streams | Medium | High
Scarness, QLD | Australia | Australasia | Australia | 11 m | Average Monthly mean 24.3°C | 1189mm | Humid | 6.9 hrs | Hoop Pines | Possum | Rain | Low | Low
Adelaide | Australia | Australasia | Australia | 50 m | Average Monthly mean 17.4°C | 613mm | Humid | 5.3 hrs | Drooping She-oaks | Magpie | Aquifers | High | Medium
Wollongong, NSW | Australia | Australasia | Australia | 72 m | Average Monthly mean 17.0°C | 1044mm | Humid | 5.2 hrs | Yellow Bloodwood | Blue Wren | Creeks | High | High
Gympie, QLD | Australia | Australasia | Australia | 39 m | Average Monthly mean 22.3°C | 1253mm | Humid | 6.2 hrs | Manna Gum | Tawny Frogmouth | Rivers | Low | Low
Alice Springs | Australia | Australasia | Australia | 545 m | Average Monthly mean 15.8°C | 410mm | Dry | 7.2 hrs | River Red Gums | Red Kangaroo | Boreholes | Low | High
Darwin | Australia | Australasia | Australia | 19 m | Average Monthly mean 28.5°C | 1726mm | Humid | 5.9 hrs | Boab Trees | Saltwater Crocodile | Oases | High | Low
