Oceans | Seas | Bays | Latitude | Longitude | Salinity | Depth | Estuaries | Temperature 
------ | ---- | ---- | -------- | --------- | -------- | ----- | ---------- | ---------- 
Pacific | Coral | Bay of Bengal | 30° N | 0° | High | Deep | Hudson | Cold 
Atlantic | Dead Sea | Gulf of Mexico | 30° N | 0° | Medium | Shallow | Delaware | Mild 
Arctic | Sea of Japan | Baffin Bay | 71° N | 0° | Low | Average | Chesapeake | Mild 
Indian | Mediterranean | Gulf of Aden | 30° N | 0° | High | Varies | Narragansett | Hot 
Southern | Baltic Sea | Gulf of St. Lawrence | 40° N | 0° | Medium | Moderate | San Francisco | Cold 
North | Yellow Sea | Persian Gulf | 30° N | 0° | High | Deep | Hudson | Hot 
Pacific | Bering Sea | Gulf of Alaska | 41° N | 0° | Low | Varies | Puget | Mild 
Atlantic | North Sea | Gulf of Guinea | 30° N | 0° | Medium | Shallow | Thames | Hot 
Indian | Adriatic Sea | Sea of Okhotsk | 45° N | 0° | Low | Average | Black Sea | Cold 
Southern | Red Sea | Atlantic Ocean | 0° | 0° | High | Varies | Colombia | Moderate 
Arctic | Kara Sea | Timor Sea | 0° | 0° | Low | Deep | Don | Cold 
Pacific | Andaman Sea | Bismarck Sea | 0° | 0° | High | Moderate | Nile | Hot 
Atlantic | Baltic | Bay of Biscay | 40° N | 0° | Medium | Shallow | Orinoco | Cold
