Biome | Complexity | Productivity | Diversity | Human Influence | Soil | Hydrologic Cycle | Wind | Sunlight | Temperature | Precipitation | Abiotic 
----- | ----------- | ------------ | --------- | ---------------- | ---- | ---------------- | ---- | --------- | ----------- | ------------ | -------- 
Tundra | Low | Low | Low | Low | Permafrost | Low | High | Low | Cold | Low | Rock 
Taiga | High | Low | Low | Low | acidic | Low | High | Moderate | Low | Low | Air 
Rainforest | High | High | High | High | nutrient-rich | High | Low | High | High | High | Water 
Desert | Low Medium | Low | Low | Low | sand, gravel, clay | Low | Low | High | Hot | Low | Sand 
Grassland | Low | Moderate | Moderate | High | fertile | Moderate | Moderate | High | Moderate | Moderate | Minerals 
Temperate Forest | Medium | Medium | High | High | fertility varies | Moderate | Moderate | Moderate | Mild | Moderate | Sunlight 
Marsh | Low | High | High | Low | wetland | High | Low | Moderate | Mild | High | Silt 
Iceberg | Low | Low | Low | Low | None | Low | High | Low | Frigid | Low | Ice 
Prairie | Low | High | High | Moderate | fertile | Low | Moderate | High | Mild | Low | Heat
