Gene | Type | Chromosome | Origin | Function | Regulation
RNA | Transcription | N/A | Non-Coding | Translate from Gene | Transcriptional Regulation
Mutation | Evolution | N/A | Environmental | Affects Genotype | Natural Selection
Epigenetics | Cell Cycle | N/A | Parental | Determination of Cell Type | DNA Methylation
Allele | Heredity | Single | Chromosomal Mutation | Adds Diversity | Alteration of Genomic Sequence
Chromosome | DNA Replication | DNA Sequences | Mutagenic Agents | Stores Genetic Info | Chemical Structure
Cellular Respiration | Photosynthesis | N/A | Glucose | Provide Energy | Electron Transfer
Genotype | Development | N/A | Parental | Maintain Species | Hormonal Regulation
Chromatin | Protein Synthesis | N/A | Nuclear Envelope | Regulate Transcription | Chemical Structure
Transcription Factor | Cell Cycle | N/A | None | Activate Gene Expression | Protein Composition
Genomics | Human Health | N/A | Deciphering | Pharmacogenomics | Clinical Trials
