Performing Arts | Theatre | Film | Television | Radio | Music
Mime         |          X             |            X             |            X             |            X             |           X          
Comedy         |           X             |            X             |           X             |            X             |            X
Dance         |           X             |            X             |           X             |            X             |            X
Traditional         |            X             |            X             |            X             |           X             |            X
Spell Binding         |           X             |            X             |           X             |           X             |           X 
Storytelling         |           X             |            X             |           X             |           X             |           X
Orchestra         |           X             |           X             |           X             |            X             |           X 
Drama         |           X             |           X             |           X             |            X             |            X
Foolishness         |           X             |            X             |           X             |            X             |            X
Improv         |           X             |            X             |           X             |           X             |            X
Marionettes         |           X             |           X             |            X             |            X             |           X
