Party | Election | Leader | Ideology | Popularity | Issue 1 | Issue 2 | Issue 3 | Issue 4 | Issue 5 | Issue 6 | Issue 7 | 
Democrat | Senate | John Smith | Liberal | High | Healthcare | Immigration | Gay Rights | Environment | Gun Control | Taxes | National Security |
Republican | Senate | Joe Jones | Conservative | Moderate | Foreign Policy | Trade | Infrastructure | Abortion | Civil Rights | Tax Reform | Immigration | 
Democrat | House | Tara Lopez | Liberal | Low | Education | Environment | Fossil Fuels | Voter Rights | Budget Cuts | Gun Laws | Workers' Rights | 
Republican | House | Mike Hamilton | Conservative | High | Healthcare | Immigration | Civil Rights | Gun Control | Voter Suppression | Education | Employee Benefits | 
Independent | Senate | Jim Wilson | Progressive | High | Immigration | Trade | Climate Change | Racial Equality | Gun Laws | Tax Reform | Military Spending | 
Independent | House | Sarah Peters | Progressive | Moderate | Education | Environment | Infrastructure | Gay Rights | Foreign Policy | Income Inequality | Jobs | 
Republican | Senate | Paul Harris | Conservative | Moderate | Healthcare | Immigration | Abortion | Racial Equality | Gun Control | Taxes | Foreign Relations | 
Democrat | House | Mary Finn | Liberal | High | Education | Environment | Fossil Fuels | Gun Control | Voter Rights | Budget Cuts | National Security | 
Independent | Senate | Jack White | Progressive | Low | Immigration | Trade | Infrastructure | Racial Equality | Gun Laws | Tax Reform | Military Spending | 
Republican | House | Dave Anderson | Conservative | Low | Healthcare | Immigration | Civil Rights | Abortion | Voter Suppression | Education | Employee Benefits |
