;Artist Birthplace; Year of birth; Deathyear; Ethnicity; Religion; Training/School; Major Works/Exhibitions; Influenced; Influential on; Career Highlights; Preferred Medias; Themes
0;  Artist Birthplace: Amsterdam, Netherlands; Year of birth: 1606; Deathyear: 1669; Ethnicity: Dutch; Religion: Protestant; Training/School: Apprenticed with Peter Paul Rubens; Major Works/Exhibitions: The Night Watch, The Jewish Bride; Influenced: Jacques-Louis David, Eugène Delacroix; Influential on: Peter Paul Rubens, Anthony van Dyck; Career Highlights: Founded the Dutch Golden Age of painting; Preferred Medias: Oil on canvas; Themes: History, genre scenes, portraits.
1; Artist Birthplace: Athens, Greece; Year of birth: 480-470 BC; Deathyear: 406-399 BC; Ethnicity: Greek; Religion: Polytheistic; Training/School: Mentored by his father, Acrisius; Major Works/Exhibitions: The Parthenon Marbles, The Discobolus; Influenced: Michelangelo, Gian Lorenzo Bernini; Influential on: Canova, Rodin; Career Highlights: Considered one of the greatest sculptors of all time; Preferred Medias: Marble sculptures; Themes: Mythology, human body, harmony.
2; Artist Birthplace: Florence, Italy; Year of birth: 1475; Deathyear: 1564; Ethnicity: Italian; Religion: Catholic; Training/School: Apprenticed with Verrocchio; Major Works/Exhibitions: The Last Supper, Mona Lisa, The Virgin of the Rocks; Influenced: Peter Paul Rubens, Diego Velázquez; Influential on: Edouard Manet, Pablo Picasso; Career Highlights: Revolutionized Western art; Preferred Medias: Oil on poplar panel, oil on canvas; Themes: Religious scenes, portraits, landscapes.
3; Artist Birthplace: Barcelona, Spain; Year of birth: 1881; Deathyear: 1923; Ethnicity: Spanish; Religion: Catholic; Training/School: Studied at the Llotja School in Barcelona; Major Works/Exhibitions: The Persistence of Memory, Melancholy and Mystery of a Street, The Great Masturbator; Influenced: Salvador Dalí, René Magritte; Influential on: Francis Bacon, Cy Twombly; Career Highlights: Co-founder of the Surrealist movement; Preferred Medias: Oil on canvas; Themes: Dreams, surrealism, sexuality.
4; Artist Birthplace: Vienna, Austria; Year of birth: 1867; Deathyear: 1939; Ethnicity: Austrian; Religion: Jewish; Training/School: Vienna Academy of Fine Arts; Major Works/Exhibitions: The Judgment, The Metamorphosis, The Castle; Influenced: Albert Camus, Franz Kafka; Influential on: George Orwell, Philip K. Dick; Career Highlights: One of the most influential writers of the 20th century; Preferred Medias: Novels, short stories, letters; Themes: Alienation, existential anxiety, bureaucracy.
5; Artist Birthplace: New York, USA; Year of birth: 1958; Deathyear: -; Ethnicity: American; Religion: None; Training/School: School of Visual Arts; Major Works/Exhibitions: Sleep, Logic of the Birds, Kairos; Influenced: Jenny Holzer, Barbara Kruger; Influential on: Banksy, Shepard Fairey; Career Highlights: Pioneered the use of billboards and electronic message boards as art mediums; Preferred Medias: Billboards, electronic message boards; Themes: Consumerism, language, social issues.
6; Artist Birthplace: Buenos Aires, Argentina; Year of birth: 1928; Deathyear: 2014; Ethnicity: Argentine; Religion: Atheist; Training/School: Escuela Nacional de Bellas Artes; Major Works/Exhibitions: Hombre con Chifón Amarillo, Retrato de la Artista con su Doble, Morirse Puede Esperando; Influenced: Cindy Sherman, Chuck Close; Influential on: Ai Weiwei, Maurizio Cattelan; Career Highlights: Renowned for his conceptual works and self-portraits; Preferred Medias: Painting, performance art, photography; Themes: Identity, death, individuality.
7; Artist Birthplace: Paris, France; Year of birth: 1840; Deathyear: 1903; Ethnicity: French; Religion: Catholic; Training/School: Académie Julian and École des Beaux-Arts; Major Works/Exhibitions: The Ballet Rehearsal, A Bar at the Folies-Bergère; Influenced: Pablo Picasso, Henri Matisse; Influential on: Edward Hopper, Richard Estes; Career Highlights: Considered one of the most influential painters of modern life; Preferred Medias: Oil on canvas; Themes: Bars, nightlife, modernity.
8; Artist Birthplace: Madrid, Spain; Year of birth: 1746; Deathyear: 1828; Ethnicity: Spanish; Religion: Catholic; Training/School: Real Academia de Bellas Artes; Major Works/Exhibitions: Las Meninas, The Triumph of Truth; Influenced: Édouard Manet, Pablo Picasso; Influential on: Salvador Dalí, Lucien Freud; Career Highlights: Introduced new techniques and subjects into Spanish painting; Preferred Medias: Oil on canvas; Themes: Court life, portraits, religious scenes.
9; Artist Birthplace: Copenhagen, Denmark; Year of birth: 1836; Deathyear: 1886; Ethnicity: Danish; Religion: Protestant; Training/School: Royal Danish Academy of Fine Arts; Major Works/Exhibitions: The Scream, The Sick Child; Influenced: Edvard Munch, Max Beckmann; Influential on: Wassily Kandinsky, Mark Rothko; Career Highlights: Revolutionized the Expressionist movement; Preferred Medias: Oil paint, pastels, prints; Themes: Emotion, human anxiety, landscape.</s>
10;  Artist Birthplace: Leipzig, Germany; Year of birth: 1815; Deathyear: 1891; Ethnicity: German; Religion: Protestant; Training/School: Akademie der Bildenden Künste München; Major Works/Exhibitions: The Wanderer Above the Sea of Fog, The Fighting Temeraire; Influenced: Caspar David Friedrich, J.M.W. Turner; Influential on: Georgia O'Keeffe, Ansel Adams; Career Highlights: Pioneered Romanticism in German landscape painting; Preferred Medias: Oil on canvas; Themes: Nature, the sublime, human emotion.
