;`Artwork`; `Artist`; `Date Created`; `Medium`; `Width`; `Height`; `Depth`; `Additional Physical Details`; `Period`; `Style`; `Subject Matter`; `Notes`; `Additional Information`
0;" ""Mona Lisa"""; Leonardo da Vinci; 1503-1506; Oil on poplar; 77cm x 53cm; N/A; N/A; Famous smile, halftone technique; Renaissance; Italian Renaissance; Human Portrait; Commissioned by Francesco del Giocondo; Information about her smile and identity.
1;"""The Starry Night"""; Vincent van Gogh; 1889; Oil on canvas; 73.7cm x 92.1cm; N/A; N/A; Swirling patterns of stars and moon; Post-Impressionism; Expressionist; Landscape, night sky, cypress tree; van Gogh's emotional and mental state; Part of van Gogh's personal oeuvre.
2;"""The Last Supper"""; Leonardo da Vinci; 1495-1498; Tempera on gesso, pitch, and mastic; 460cm x 880cm; N/A; N/A; Three-dimensionality, the arrangement of figures; Renaissance; Italian Renaissance; Religious, Biblical; Commissioned by Ludovico Sforza for the Dominican monastery of Santa Maria delle Grazie in Milan; Depiction of Jesus and his disciples.
3;"""The Persistence of Memory"""; Salvador Dalí; 1931; Oil on canvas; 24.1cm x 33cm; N/A; N/A; Melting clocks, desert landscape; Surrealism; Spanish; Surreal landscape, dreamlike; None; Iconic image of melted watches and time.
4;"""The Scream"""; Edvard Munch; 1893; Paint, tempera, and pastel on cardboard; 91cm x 73.5cm; N/A; N/A; Iconic screaming figure, expressionistic landscape; Expressionism; Norwegian; Emotions, anxiety, alienation; Part of a series of paintings with the same title; Highly influential in modern art.
5;"""Guernica"""; Pablo Picasso; 1937; Oil on canvas; 349.3cm x 776.6cm; N/A; N/A; The bombing of Guernica, Spain, chaotic scene, fragmented forms; Cubism; Spanish; Political, anti-war; Commissioned by the Spanish Republican government; Monumental painting with symbolic elements.
6;"""The Arnolfini Portrait"""; Jan van Eyck; 1434; Oil on oak panel; 82.2cm x 60cm; N/A; N/A; Realistic rendering, domestic setting; Early Netherlandish; Flemish; Portrait of Italian merchant Giovanni di Nicolao Arnolfini and his wife; Depiction of wealth and status.;
7;"""The Night Watch"""; Rembrandt van Rijn; 1642; Oil on canvas; 379.5cm x 450.5cm; N/A; N/A; Dramatic use of light, portrait of the civic guard of Amsterdam; Baroque; Dutch; Historical, group portrait; Commissioned by the Kloveniers (civic guard) of Amsterdam; Depicts military uniforms and weapons with great detail.
8;"""The Birth of Venus"""; Sandro Botticelli; 1485-1486; Tempera on canvas; 172.5cm x 278.9cm; N/A; N/A; Nude Venus rising from the sea, mythological scene; Early Renaissance; Italian; Mythological, allegorical; Commissioned by Lorenzo de' Medici; Icon of Florentine culture and Early Renaissance art.
9;"""The School of Athens"""; Raphael; 1509-1511; Fresco; 500cm x 770cm; N/A; N/A; Portrayal of famous philosophers, depiction of ancient learning; High Renaissance; Italian; Philosophical, historical; Commissioned by Pope Julius II for the rooms now known as the Stanze di Raffaello; Depiction of ancient knowledge and great thinkers.</s>
