;New Horizons Launch Site; Launch Date; Dawn of Astronomy Milestone; Hubble Discoveries Key; NASA Budget (billions dollars); Astronomer On Board; Orbit Achieved; Payloads Deployed; Reusable?; First Stage Return?
0; New Horizons Launch Site; Launch Date; Dawn of Astronomy Milestone; Hubble Discoveries Key; NASA Budget (billions dollars); Astronomer On Board; Orbit Achieved; Payloads Deployed; Reusable?; First Stage Return?
1;" ""Cape Canaveral, Florida, USA""";" ""January 19, 2006""";" ""First close-up images of Pluto""";" ""Discovery of distant galaxies, black holes""";" ""18.0""";" ""Alan Stern""";" ""Jupiter flyby, Pluto approach""";" ""Pluto flyby, Kuiper Belt Object flyby""";" ""No""";" ""No"""
2;" ""Kennedy Space Center, Florida, USA""";" ""October 15, 1997""";" ""Hubble Space Telescope repair mission""";" ""Discovery of exoplanets, cosmic expansion""";" ""11.0""";" ""Steven Hawley""";" ""Low Earth Orbit""";" ""Hubble Space Telescope servicing""";" ""No""";" ""No"""
3;" ""Vandenberg Air Force Base, California, USA""";" ""April 24, 1990""";" ""Launch of the Hubble Space Telescope""";" ""Observations of the universe's age, deep fields""";" ""2.5""";" ""None""";" ""Low Earth Orbit""";" ""Hubble Space Telescope""";" ""No""";" ""No"""
4;" ""Baikonur Cosmodrome, Kazakhstan""";" ""February 20, 2003""";" ""First private individual in space""";" ""Observations of the Crab Nebula, supernovae""";" ""15.0""";" ""Dennis Tito""";" ""International Space Station""";" ""None""";" ""No""";" ""No"""
5;" ""Centre Spatial Guyanais, French Guiana""";" ""December 4, 1999""";" ""Launch of the SOHO spacecraft""";" ""Continuous monitoring of the Sun, solar wind""";" ""5.0""";" ""None""";" ""Solar Orbit""";" ""SOHO spacecraft""";" ""No""";" ""No"""
6;" ""Tanegashima Space Center, Japan""";" ""September 14, 2016""";" ""Hayabusa-2 asteroid sample return mission""";" ""Asteroid Ryugu rendezvous, sample return""";" ""3.0""";" ""None""";" ""Asteroid Ryugu orbit""";" ""Hayabusa-2 spacecraft""";" ""No""";" ""No"""
7;" ""Mahia Peninsula, New Zealand""";" ""May 25, 2017""";" ""First orbital launch from New Zealand""";" ""Identification of asteroids, space debris""";" ""0.5""";" ""None""";" ""Low Earth Orbit""";" ""Dove CubeSats""";" ""No""";" ""No"""
8;" ""Cape Canaveral, Florida, USA""";" ""July 8, 2011""";" ""Last space shuttle mission""";" ""Space station assembly, scientific research""";" ""19.0""";" ""Christopher Ferguson""";" ""Low Earth Orbit""";" ""Alpha Magnetic Spectrometer, Robonaut""";" ""No""";" ""No"""
9;" ""Guiana Space Centre, French Guiana""";" ""November 13, 2020""";" ""Launch of the James Webb Space Telescope""";" ""Infrared universe exploration, exoplanet characterization""";" ""9.0""";" ""None""";" ""Lagrange Point L2""";" ""James Webb Space Telescope""";" ""No""";" ""No"""
10;" ""Space Launch Complex 40, Florida, USA""";" ""May 30, 2020""";" ""First crewed spaceflight from US soil since 2011""";" ""Crewed Dragon spacecraft, International Space Station""";" ""6.0""";" ""Douglas Hurley, Robert Behnken""";" ""Low Earth Orbit""";" ""Crew Dragon spacecraft""";" ""No""";" ""No""</s>"
