;Phylogeny;Conservation Status;Habitat Preferences;Climate Factors;Food Source;Mating System;Predators;Parasites;Symbiotic Relationships;Diseases;Epidemiology;Population Genetics;Phylogeography;Community Ecology
0; Phylogeny: Eukarya; Conservation Status: Least Concern; Habitat Preferences: Temperate and Tropical Forests; Climate Factors: Warm and Humid; Food Source: Herbivore; Mating System: Polygynous; Predators: Big Cats; Parasites: Tapeworms; Symbiotic Relationships: None; Diseases: Influenza; Epidemiology: Transmitted through respiratory droplets; Population Genetics: High Genetic Diversity; Phylogeography: Widespread across the globe; Community Ecology: Keystone species in forest ecosystems.
1;Phylogeny: Prokarya; Conservation Status: Not Applicable; Habitat Preferences: Soil and Water; Climate Factors: Varied; Food Source: Phototroph/Chemoautotroph; Mating System: Asexual; Predators: None; Parasites: Bacteriophages; Symbiotic Relationships: Nitrogen-fixing bacteria in root nodules of legumes; Diseases: Tuberculosis; Epidemiology: Airborne transmission; Population Genetics: Low Genetic Diversity; Phylogeography: Cosmopolitan distribution; Community Ecology: Decomposers and nutrient cyclers in ecosystems.
2;Phylogeny: Fungi; Conservation Status: Not Evaluated; Habitat Preferences: Soil, Decaying Wood, and Living Organisms; Climate Factors: Varied; Food Source: Saprophyte/Parasite/Mutualist; Mating System: Varied; Predators: None; Parasites: Fungal parasites; Symbiotic Relationships: Mycorrhizal fungi in root systems; Diseases: Athlete's Foot; Epidemiology: Direct contact with infected individuals or surfaces; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Decomposers and nutrient cyclers in ecosystems.
3;Phylogeny: Chordata; Conservation Status: Vulnerable; Habitat Preferences: Freshwater and Marine Ecosystems; Climate Factors: Cold to Tropical Waters; Food Source: Carnivore; Mating System: Polygynous; Predators: Larger Fish; Parasites: Protozoans; Symbiotic Relationships: Cleaner fish; Diseases: Fin Rot; Epidemiology: Waterborne transmission; Population Genetics: Low Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Keystone species in aquatic ecosystems.
4;Phylogeny: Arthropoda; Conservation Status: Varies by Species; Habitat Preferences: Terrestrial, Aquatic, and Aerial; Climate Factors: Varied; Food Source: Omnivore; Mating System: Polygynous; Predators: Birds and Spiders; Parasites: Ticks and Mites; Symbiotic Relationships: Pollinators; Diseases: Lyme Disease; Epidemiology: Transmitted through tick bites; Population Genetics: High Genetic Diversity; Phylogeography: Cosmopolitan distribution; Community Ecology: Major contributors to food webs and biodiversity.
5;Phylogeny: Mollusca; Conservation Status: Varies by Species; Habitat Preferences: Marine, Freshwater, and Terrestrial; Climate Factors: Varied; Food Source: Herbivore/Carnivore/Omnivore; Mating System: Varied; Predators: Birds and Fish; Parasites: Flukes; Symbiotic Relationships: Clams and Algae; Diseases: Shellfish Poisoning; Epidemiology: Consumption of contaminated shellfish; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of aquatic and terrestrial ecosystems.
6;Phylogeny: Echinodermata; Conservation Status: Varies by Species; Habitat Preferences: Marine; Climate Factors: Cold to Tropical Waters; Food Source: Carnivore; Mating System: Varied; Predators: Sea Otters and Fish; Parasites: Tapeworms; Symbiotic Relationships: None; Diseases: Sea Star Wasting Disease; Epidemiology: Unknown transmission; Population Genetics: Low Genetic Diversity; Phylogeography: Cosmopolitan distribution; Community Ecology: Important members of marine ecosystems.
7;Phylogeny: Chordata; Conservation Status: Endangered; Habitat Preferences: Tropical Forests; Climate Factors: Humid Tropics; Food Source: Frugivore; Mating System: Monogamous; Predators: Snakes and Jungle Cats; Parasites: Malaria-causing Plasmodium; Symbiotic Relationships: Frugivores and Seed Dispersal; Diseases: Malaria; Epidemiology: Mosquito-borne transmission; Population Genetics: Low Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of tropical ecosystems.
8;Phylogeny: Cnidaria; Conservation Status: Not Evaluated; Habitat Preferences: Marine and Freshwater; Climate Factors: Varied; Food Source: Carnivore; Mating System: Varied; Predators: Sea Turtles and Fish; Parasites: Isopods; Symbiotic Relationships: Corals and Zooxanthellae; Diseases: Coral Bleaching; Epidemiology: Ocean warming and acidification; Population Genetics: Low Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of marine and freshwater ecosystems.
9;Phylogeny: Bryophyta; Conservation Status: Not Evaluated; Habitat Preferences: Moist Habitats; Climate Factors: Humid Climates; Food Source: Autotroph; Mating System: Varied; Predators: None; Parasites: Fungi; Symbiotic Relationships: None; Diseases: None; Epidemiology: None; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of terrestrial ecosystems.</s>
