;Stratum Name; Elevation(mslas); Land Cover Type (%); Water Bodies (km²); Urban Areas (%); Population Density (/km²); Average Temperature (°C); Max Temperature (°C); Min Temperature (°C); Mean Annual Precipitation (mm); Potential Evapotranspiration (mm); Aridity Index; Net Primary Productivity (gC/m²); Atmospheric CO2 Concentration (ppm)
0;" ""Tropical Rainforest"""; 0-500; 90-100; 0; 0; 25-100; 25-28; 30-35; 20-25; 2000-10000; 1500-2000; <0.1; 1500-2000; 400 
1;"""Temperate Deciduous Forest"""; 500-1500; 60-80; 0; 1-10; 10-50; 10-15; 20-25; -5-5; 800-1500; 600-800; 0.2-0.4; 500-1000; 400 
2;"""Tundra"""; 1500-3000; 0-30; 0; 0-5; 1-5; -5-0; -10-(-5); -30-(-20); 300-500; 350-450; 1-1.5; 50-150; 400 
3;"""Alpine"""; 3000-5000; 0; 0; 0; 0; -10-(-5); -15-(-10); -25-(-15); 50-100; 450-550; 2-3; 0; 400 
4;"""Polar Ice Cap"""; 5000+; 0; 0; 0; 0; -30-(-20); -40-(-30); -60-(-50); 0-50; 500-700; 5+; 0; 400 
5;"""Desert"""; 0-1000; 0-30; 0; 10-50; 1-10; 15-20; 30-35; 0-5; 50-200; 1500-2500; 20-60; 0-50; 400 
6;"""Savanna"""; 0-1500; 30-70; 0-15; 10-40; 1-50; 20-25; 30-35; 10-20; 500-1500; 1000-2000; 1-3; 150-500; 400 
7;"""Mediterranean Forest"""; 0-1000; 60-80; 0; 10-30; 50-150; 10-15; 20-25; 0-5; 400-800; 700-1200; 0.5-1; 300-700; 400 
8;"""Mountain"""; 1000-5000; 0-100; 0; 10-50; 1-50; -20-10; -30-(-10); -50-(-30); 50-3000; 400-700; 1-5; 50-500; 400 
9;"""Coastal"""; 0-50; 30-70; 10-20; 10-40; 100-500; 20-25; 25-30; 15-20; 500-1500; 1000-1500; 0.5-1; 300-700; 400 </s>
