;&nbsp;Computational Theory;&nbsp; Artificial Intelligence;&nbsp; Software Engineering;&nbsp; Programmable Logic Controllers (PLC);&nbsp; Human-Computer Interaction;&nbsp; Parallel Computing;&nbsp; Cybersecurity;&nbsp; Information Retrieval;&nbsp; Quantum Computing;&nbsp; Natural Language Processing;&nbsp; Machine Learning (Unsupervised);&nbsp; Reinforcement Learning;&nbsp; Deep Learning.
0;" ""Introduction to Computational Theory"; Analyzing algorithms and proving their complexity; Understanding computability; Comparing different models of computation; Limitations of computation;" 100""";;;;;;;;;;;;;;;;;;;;
1;"""Artificial Intelligence"; Overview of AI and its history; Rule-based systems; Expert systems; Neural networks; Deep learning; Reinforcement learning; Natural language processing; Robotics;" 78""";;;;;;;;;;;;;;;;
2;"""Software Engineering"; Waterfall model; Agile development; Testing methodologies; Version control; Software maintenance; Object-oriented design; Real-time systems; Cloud computing;" 78""";;;;;;;;;;;;;;;;
3;"""Programmable Logic Controllers (PLC)"; Basics of PLC programming; Ladder logic; Function block diagrams; Structured text; IEC 61131-3 standard; Motion control; Safety systems; Industrial networks;" 84""";;;;;;;;;;;;;;;;
4;"""Human-Computer Interaction"; Usability engineering; User-centered design; Human factors; Interaction design; Gestural interfaces; Virtual and augmented reality; Accessibility; Human-computer trust;" 94""";;;;;;;;;;;;;;;;
5;"""Parallel Computing"; Shared-memory architectures; Distributed-memory architectures; Message passing; Shared variables; Synchronization primitives; OpenMP; MPI; GPGPU;" 78""";;;;;;;;;;;;;;;;
6;"""Cybersecurity"; Threat modeling; Secure coding practices; Encryption and authentication; Access control; Risk management; Digital forensics; Security policies; Compliance;" 82""";;;;;;;;;;;;;;;;
7;"""Information Retrieval"; Text retrieval; Web search engines; Information extraction; Data mining; Text classification; Clustering; Information filtering; Natural language processing;" 88""";;;;;;;;;;;;;;;;
8;"""Quantum Computing"; Quantum mechanics; Quantum gates; Quantum circuits; Quantum algorithms; Quantum error correction; Quantum teleportation; Quantum key distribution; Quantum cryptography;" 87""";;;;;;;;;;;;;;;;
9;"""Natural Language Processing"; Part-of-speech tagging; Parsing; Sentiment analysis; Word embeddings; Named entity recognition; Machine translation; Chatbots; Speech recognition;" 91""";;;;;;;;;;;;;;;;
10;"""Machine Learning (Unsupervised)"; Clustering; Dimensionality reduction; Anomaly detection; Association rule learning; Feature selection; Neural networks; Deep learning; Autoencoders;" 87""";;;;;;;;;;;;;;;;
11;"""Reinforcement Learning"; Markov decision processes; Temporal difference learning; Q-learning; Deep Q-networks; Monte Carlo tree search; Policy gradients; Multi-agent systems; Exploration vs exploitation;" 81""";;;;;;;;;;;;;;;;
