;Visual Arts; Performing Arts; Literature Genres; Holidays & Celebrations; Sports; Architecture Style; Historical Sites; Museums & Galleries; National Symbols; Education System; Famous Personalities; Cultural Influences; Cuisine
0;  Painting, Sculpture; Dance, Music; Science Fiction, Drama; New Year, Christmas; Soccer, Rugby; Gothic, Baroque; Pyramids of Egypt, Great Wall; Metropolitan Museum, Louvre; Golden Eagle, Maple Leaf; Public Schools, Universities; Albert Einstein, William Shakespeare; Industrialization, Globalization; Fish and Chips, Poutine
1; Calligraphy, Printmaking; Opera, Theatre; Fantasy, Poetry; Diwali, Hanukkah; Baseball, Basketball; Renaissance, Art Deco; Colosseum, Machu Picchu; British Museum, Hermitage Museum; Sun, Rising Sun; K-12, Ivy League; Marie Curie, Leonardo da Vinci; Democratic Values, Human Rights; Tacos, Burritos
2; Illustration, Photography; Ballet, Symphony; Mystery, Satire; Easter, Day of the Dead; Golf, Tennis; Modernism, Brutalism; Sphinx, Stonehenge; Museum of Modern Art, Guggenheim; Double-headed Eagle, Kiwi Bird; Magnet Schools, Liberal Arts; Steve Jobs, Mark Twain; Technology, Free Press; Sushi, Ramen
3; Graffiti, Comics; Orchestra, Jazz; Horror, Tragedy; Eid al-Fitr, Eid al-Adha; Cricket, Rugby League; Victorian, Rococo; Taj Mahal, Angkor Wat; Prado Museum, Uffizi Gallery; Bald Eagle, Liberty Bell; Boarding Schools, Ivy League; Thomas Edison, Charles Dickens; Pop Culture, Mass Media; Bratwurst, Pretzels
4; Textile, Pottery; Puppetry, Circus; Romance, Comedy; Independence Day, Thanksgiving; Aussie Rules, Field Hockey; Byzantine, Postmodern; Petra, Chichen Itza; State Hermitage, Rijksmuseum; Star-Spangled Banner, Union Jack; Charter Schools, Research Universities; Pablo Picasso, Jane Austen; Consumerism, Environmentalism; Croissants, Baguettes
5; Caricature, Collage; Drumming, Bands; Historical, Epic; Lunar New Year, Mid-Autumn Festival; Ice Hockey, Volleyball; Ancient, Contemporary; Hanging Gardens, Moai Statues; Vatican Museums, Egyptian Museum; Cedar Tree, Panda; Homeschooling, Graduate Schools; Wolfgang Amadeus Mozart, Agatha Christie; Slavery, Women's Rights; Jollof Rice, Nasi Goreng
6; Stencil, Mosaic; Magic, Street Performance; Adventure, Biography; Ramadan, Hanukkah; Rugby Union, Boxing; Romanesque, Deconstructivism; Hagia Sophia, Acropolis; National Gallery, Tate Modern; Lion, Kangaroo; Montessori, Vocational; Alexander Graham Bell, Galileo Galilei; Atheism, Monotheism; Schnitzel, Strudel
7; Watercolor, Glassblowing; Bharatanatyam, Flamenco; Crime, Fairy Tale; Bastille Day, Christmas; American Football, Hurling; Beaux-Arts, Futurism; Chichen Itza, Petra; Met Cloisters, Frick Collection; Big Ben, Trafalgar Square; Online Schools, Art Schools; Alan Turing, Ernest Hemingway; Imperialism, Nationalism; Churrasco, Feijoada
8; Pastel, Oil; Kabuki, Mime; Satire, Noir; Day of Ashura, Passover; Skiing, Swimming; Bauhaus, Surrealism; Terracotta Army, Sagrada Familia; Van Gogh Museum, Tretyakov Gallery; Eagle, Tricolor; Religious Schools, Fine Arts; Vincent van Gogh, Oscar Wilde; Colonialism, Postcolonialism; Ratatouille, Coq au Vin
9; Fresco, Tapestry; Capoeira, Samba; Erotic, Dystopian; Obon, Shrove Tuesday; Wrestling, Judo; Mughal, Expressionism; Great Mosque, Himeji Castle; Centre Pompidou, MAXXI; Maple Leaf, Star of David; Waldorf, Bible; Mahatma Gandhi, Isaac Newton; Fundamentalism, Secularism; Biryani, Shepherd's Pie</s>
10;  Pen & Ink, Etching; Symphony, Opera; Mystery, Science Fiction; Diwali, Hanukkah; Rugby, Chess; Baroque, Minimalism; Angkor Wat, Machu Picchu; Louvre Museum, Hermitage Museum; Double-headed Eagle, Rising Sun; Comprehensive Schools, Ivy League; Wolfgang Amadeus Mozart, Jane Austen; Globalization, Localization; Tacos, Burritos
11; Charcoal, Collage; Ballroom, Hip Hop; Western, Horror; Ramadan, Yom Kippur; Boxing, Athletics; Modernism, Cubism; Colosseum, Taj Mahal; British Museum, Guggenheim; Liberty Bell, Mount Rushmore; International Schools, Oxbridge; Albert Einstein, Marie Curie; Capitalism, Socialism; Paella, Gazpacho
12; Acrylic, Screen Print; Pantomime, Clown; Historical, Mythological; Chinese New Year, Fourth of July; Baseball, Golf; Romanesque, Brutalism; Stonehenge, Moai; State Hermitage, National Gallery; Bald Eagle, Kiwi; Montessori, Steiner; Pablo Picasso, Mark Twain; Slavery, Feminism; Lasagna, Spaghetti
13; Tempera, Gouache; Puppetry, Commedia dell'arte; Biography, Fantasy; Day of the Dead, Easter; Tennis, Cycling; Gothic, Deconstructivism; Valley of the Kings, Great Wall; Uffizi, Prado; Sunflower, Tulip; Boarding Schools, Community College; Leonardo da Vinci, Charles Darwin; Racism, Xenophobia; Curry, Sushi
14; Ink Wash, Linocut; Flamenco, Ballet; Essay, Noel; Eid al-Adha, Thanksgiving; Basketball, Ice Hockey; Renaissance, Conceptual; Grand Canyon, Great Barrier Reef; Vatican Museums, Rijksmuseum; Golden Gate, Eiffel Tower; Apprenticeship, Distance Learning; Stephen Hawking, William Shakespeare; Marxism, Capitalism; Chocolate, Cheesecake
15; Digital, Photography; Kabuki, Burlesque; Adventure, Romance; Christmas, New Year; Soccer, Cricket; Postmodern, Abstract; Pyramids, Easter Island; MOMA, Hermitage; Cedar of Lebanon, Lotus; Homeschooling, Trade School; Steve Jobs, Thomas Edison; Imperialism, Nationalism; Cioppino, Clam Chowder
16; Pastel, Encaustic; Symphony, Blues; Tragedy, Fable; Hanukkah, Christmas; Swimming, Martial Arts; Rococo, High-tech; Hagia Sophia, Notre Dame; Metropolitan, Getty Center; Panda, Koala; Charter Schools, Prison Education; Galileo Galilei, Copernicus; Fundamentalism, Secularism; Jambalaya, Gumbo.</s>
17;  Watercolor, Collage; Opera, Jazz; Satire, Sci-Fi; Diwali, Independence Day; Rugby, Boxing; Surrealism, Pop Art; Colosseum, Stonehenge; British Museum, Guggenheim; Sunflower, Tulip; Online Learning, Correspondence; Marie Curie, Mozart; Humanism, Existentialism; Ratatouille, Bouillabaisse 
18; Fresco, Calligraphy; Mime, Salsa; Mythology, Horror; Ramadan, Lunar New Year; Volleyball, Tennis; Baroque, Art Deco; Angkor Wat, Petra; Uffizi, National Gallery; Rose, Orchid; Montessori, Cooperative; Isaac Newton, Albert Einstein; Globalization, Localization; Coq au Vin, Beef Bourguignon 
19; Acrylic, Stained Glass; Ballet, Hip Hop; Historical, Mystery; Easter, Thanksgiving; Athletics, Skiing; Minimalism, Cubism; Taj Mahal, Machu Picchu; Prado, Asian Art Museum; Oak, Maple; Apprenticeship, Internship; Frida Kahlo, Diego Rivera; Multiculturalism, Assimilation; Goulash, Bigos 
20; Tempera, Gouache; Drama, Rock; Biography, Fantasy; Hanukkah, Veterans Day; Triathlon, Chess; Futurism, Impressionism; Great Wall, Acropolis; Louvre, Hermitage; Lily, Daffodil; Homeschooling, E-learning; Da Vinci, Rembrandt; Postcolonialism, Cosmopolitanism; Paella, Risotto 
21; Oil, Fiber; Modern, Punk; Crime, Fairy Tale; Independence Day, Memorial Day; Baseball, Golf; Abstract Expressionism, Conceptual Art; Chichen Itza, Moai; Vatican Museums, Tretyakov Gallery; Pine, Cherry; Dual Enrollment, Early College; Van Gogh, Warhol; Environmentalism, Consumerism; Jambalaya, Jollof 
22; Charcoal, Ink; Folk, Electronic; Advent, Passover; Labour Day, Equinox; Squash, Equestrian; Rococo, Neoclassical; Sphinx, Statue of Liberty; Metropolitan, Smithsonian; Daisy, Dandelion; Trade School, Certification; Tesla, Hawking; Feminism, Conservatism; Chicken Cordon Bleu, Beef Wellington 
23; Graphite, Silk Screen; Musical, Country; Romance, Noir; Kwanzaa, Armed Forces Day; Fencing, Handball; Surrealism, Expressionism; Neuschwanstein, Sagrada Familia; State Hermitage, Egyptian Museum; Willow, Olive; Boarding Schools, Independent Study; Plato, Nietzsche; Marxism, Libertarianism; Ratatouille, Stroganoff.</s>
24;  Pastel, CGI; Opera, Hip Hop; Science Fiction, Mystery; Christmas, Diwali; Swimming, Polo; Impressionism, Minimalism; Taj Mahal, Angkor Wat; Louvre Museum, British Museum; Maple, Birch; Apprenticeship, Distance Learning; Mozart, Beethoven; Humanism, Existentialism; Flan, Clafoutis 
25; Watercolor, Mosaic; Ballet, Jazz; Fantasy, Horror; Hanukkah, Ramadan; Tennis, Cricket; Cubism, Pop Art; Machu Picchu, Petra; Uffizi Gallery, Prado Museum; Oak, Mahogany; Homeschooling, Online Courses; Shakespeare, Dickens; Multiculturalism, Globalization; Tiramisu, Baklava 
26; Acrylic, Encaustic; Pop, Rock; Historical, Epic; Thanksgiving, Chinese New Year; Boxing, Rugby; Art Nouveau, Art Deco; Giza Pyramids, Great Wall; Hermitage Museum, Rijksmuseum; Cherry Blossom, Eucalyptus; Extracurricular Activities, Vocational Training; Einstein, Darwin; Postmodernism, Structuralism; Goulash, Curry 
27; Tempera, Etching; Classical, Reggae; Satire, Fable; Easter, Nowruz; Volleyball, Hockey; Futurism, Op Art; Christ the Redeemer, Colosseum; National Gallery, Asia Museum; Palm, Cactus; Higher Education, Research Institutions; Newton, Galileo; Capitalism, Socialism; Risotto, Posole 
28; Gouache, Collage; Rap, Blues; Thriller, Faction; Pi Day, Holi; Lacrosse, Karate; Bauhaus, Brutalism; Stonehenge, Easter Island; Pergamon, Guggenheim; Redwood, Gum; Correspondence, Study Abroad; Da Vinci, Michelangelo; Atheism, Agnosticism; Borscht, Tacos 
29; Ink Wash, Linocut; Choral, Techno; Noir, Steam Punk; Eid al-Adha, Day of the Dead; Martial Arts, Chess; Deconstructivism, Postminimalism; Hagia Sophia, Notre Dame; State Museum, Asian Art Museum; Cypress, Magnolia; Coding Academies, Entrepreneurship; Marx, Freud; Nihilism, Absurdism; Sushi, Hot Pot 
30; Digital, Calligraphy; Country Rock, R&B; Bildungsroman, Satire; Martin Luther King Day, Pongal; Archery, Gymnastics; Conceptual, Hyperrealism; Valley of the Kings, Teotihuacan; National Archaeological Museum, War Museum; Baobab, Fern; International Schools, Language Schools; Jung, Kierkegaard; Solipsism, Cynicism; Seafood Paella, Bouillabaisse.</s>
31;  Charcoal, Pastel; Pop, Hip Hop; Tragedy, Magical Realism; Bastille Day, Hanami; Surfing, Aikido; Surrealism, Land Art; Chichen Itza, Petra; National Museum of Anthropology, Hermitage Museum; Maple, Banyan; Online Courses, Volunteering; Nietzsche, Camus; Humanism, Existentialism; Ceviche, Pho 
32; Watercolor, Screen Printing; Opera, House; Graphic, Grunge; Christmas, Diwali; Polo, Table Tennis; Abstract, Op Art; Easter Island, Chaco Canyon; Museum of Modern Art, British Museum; Olive, Pine; Research Institutions, Independent Study; Sartre, Heidegger; Stoicism, Epicureanism; Tapas, Fondue 
33; Acrylic, Mosaic; Reggae, Jazz; Sci-Fi, Cyberpunk; Thanksgiving, Nowruz; Fencing, Swimming; Baroque, Constructivism; Colosseum, Taj Mahal; American Museum of Natural History, Vatican Museums; Oak, Palm; Think Tanks, Sabbaticals; Derrida, Kuhn; Postmodernism, Pragmatism; Pizza, Ratatouille 
34; Oil, Fresco; Blues Rock, Soul; Mystery, Meta; Independence Day, Lunar New Year; Boxing, Judo; Art Nouveau, Kinetic; Angkor Wat, Machu Picchu; Prado, State Tretyakov Gallery; Willow, Rubber; Open Courseware, Apprenticeship; Hume, Wittgenstein; Positivism, Realism; Chili, Gumbo 
35; Tempera, Stained Glass; Metal, Indie; Horror, Gothic; Earth Day, Christmas Island Frigatebird Festival; Skateboarding, Sailing; Impressionism, Pop Surrealism; Statue of Liberty, Sphinx; Metropolitan Museum of Art, Uffizi Gallery; Sequoia, Lotus; Online Learning Platforms, Workshops; Locke, Mill; Empiricism, Utilitarianism; Raclette, Quiche 
36; Pen & Ink, Woodcut; Latin, Ska; Adventure, Saga; Halloween, Day of Ashura; Skiing, Billiards; Expressionism, Photorealism; Pyramids of Giza, Great Wall; Louvre, National Palace Museum; Birch, Willow; Fellowships, Research Grants; Plato, Aristotle; Idealism, Essentialism; Dim Sum, Schnitzel 
37; Guache, Linoleum; Country, Blues; Epic, Epistolary; St. Patrick's Day, Songkran; Rugby, Rowing; Rococo, De Stijl; Christ the Redeemer, Aksum Obelisk; National Gallery, Reina Sofia Museum; Fig, Cherry; MOOCs, Experimental Learning; Hegel, Russell; Dialectics, Logical Atomism; Grilled Skewers, Stew 
38; Casein, Serigraph; House, Latin; Comedy, Bildungsroman; Labor Day, Obon; Golf, Weightlifting; Cubism, Hard-edge; Moai, Neuschwanstein Castle; Frick Collection, Picasso Museum; Pear, Eucalyptus; Internships, Field Schools; Bentham, J.S. Mill; Utilitarianism, Liberalism; Empanadas, Pierogi 
39; Felt-tip, Lithograph; Folk, Punk; History, Satire; Memorial Day, Eid al-Fitr; Horseback Riding, Chess Boxing; Art Deco, Pointillism; Terracotta Army, Galapagos Islands; Rijksmuseum, Egyptian Museum; Elm, Ginkgo; Online Degrees, Independent Study Abroad; Kant, Hegel; Transcendental, Absolute Idealism; Lasagna, Spaghetti Bolognese.</s>
40;  Charcoal, Woodcut; Ballet, Hip-hop; Science Fiction, Mystery; Independence Day, Diwali; Sailing, Fencing; Surrealism, Abstract Expressionism; Great Wall of China, Angkor Wat; British Museum, Metropolitan Museum; Mango, Pomegranate; Apprenticeships, Sandwich Year; Sartre, Camus; Existentialism, Absurdist; Paella, Risotto 
41; Pastel, Etching; Pop, Reggae; Adventure, Tragedy; Thanksgiving, Hanukkah; Swimming, Skiing; Impressionism, Op Art; Petra, Machu Picchu; Guggenheim Museum, Tate Modern; Oak, Maple; Internship Credits, Research Abroad; Nietzsche, Heidegger; Postmodern, Hermeneutic; Sushi, Dim Sum 
42; Ink, Engraving; Opera, Jazz; Fantasy, Horror; Columbus Day, Christmas; Skateboarding, Martial Arts; Bauhaus, Color Field; Chichen Itza, Sagrada Familia; Art Institute of Chicago, Centre Pompidou; Lemon, Kiwi; Study Abroad, Language Exchange; Wittgenstein, Quine; Analytic, Semiotic; Curry, Tacos 
43; Watercolor, Aquatint; Modern Dance, Electronic; Noir, Romance; New Year's Eve, Easter; Basketball, Gymnastics; Abstract, Conceptual; Easter Island Heads, Moai; Louvre Museum, Prado Museum; Grapes, Durian; Virtual Learning, Work-Study; Aristotle, Kant; Metaphysics, Phenomenology; Chicken Schnitzel, Beef Stroganoff 
44; Gouache, Screen Print; Classical, Rap; Crime, Satire; Veterans Day, Eid al-Adha; Cycling, Billiards; Art Nouveau, Hyperrealism; Colosseum, Taj Mahal; National Gallery of Art, Hermitage Museum; Banana, Persimmon; Co-op Programs, Entrepreneurship; Hume, Popper; Empiricism, Critical Rationalism; Ravioli, Gyoza 
45; Acrylic, Mezzotint; Musical, Rock; Western, Bildungsroman; Martin Luther King Jr. Day, Ramadan; Boxing, Archery; Pop Art, Minimalism; Statue of Liberty, Sydney Opera House; Vatican Museums, State Hermitage; Olive, Avocado; Online Tutoring, Mentorship; Locke, Rousseau; Social Contract, Communitarian; Beef Bourguignon, Wiener Schnitzel 
46; Oil, Woodcut; Flamenco, Country; War, Tragedy; Presidents' Day, Day of the Dead; Triathlon, Ice Hockey; Symbolism, Photorealism; Mount Rushmore, Giza Pyramids; Museum of Modern Art, Uffizi Gallery; Apple, Guava; Research Assistantships, Service Learning; Spinoza, Nietzsche; Rationalism, Perspectivism; Pierogi, Tamales 
47; Tempera, Lithograph; Blues, Metal; Coming of Age, Drama; Flag Day, Chinese New Year; Judo, Bobsledding; Romanticism, Postminimalism; Stonehenge, Petra; Getty Center, National Palace Museum; Peach, Lychee; Internship Exchange, Capstone Project; Leibniz, Wittgenstein; Pragmatism, Linguistic Turn; Chiles Rellenos, Bratwurst 
48; Digital, Serigraph; Latin, Metal; Fairy Tale, Thriller; Father's Day, Holi; Surfing, Motor Sports; Futurism, Light Art; Christ the Redeemer, Statue of Liberty; Rijksmuseum, Museum of Anthropology; Cherry, Apricot; Research Abroad, e-Learning; Berkeley, Austin; Idealism, Existential Humanism; Tacos al Pastor, Banh Mi 
49; Encaustic, Photogravure; Tap, Polka; Gothic, Poetry; Mother's Day, Nowruz; Athletics, Racquet Sports; Impressionist Abstraction, Digital Art; Terracotta Army, Machu Picchu; Musée d'Orsay, Tretyakov Gallery; Blueberry, Raspberry; Peer Tutoring, Workshop; Socrates, Hegel; Dialectic, Speculative Realism; Schnitzel, Ratatouille.</s>
50;  Charcoal, Screen Print; Country, Punk; Epistolary, Noir; Independence Day, Diwali; Boxing, Skateboarding; Surrealism, Conceptual Art; Neuschwanstein, Taj Mahal; British Museum, Hermitage Museum; Grape, Kiwi; Case Study, Apprenticeship; Mill, Gandhi; Phenomenology, Positivism; Burrito, Sushi 
