;economic\_policy; policy\_details; inflation\_rate%; unemployment\_rate%; interest\_rate; exchange\_rate; fiscal\_balance; trade\_balance; consumer\_price\_index; labor\_force\_participation; poverty\_level; income\_distribution\_inequality\_measure; GDP\_growth\_rate%
0; economic_policy; Aggressive monetary easing; 3%; 8%; 1%; 1.25; Depreciated; -$10 billion; -$5 billion; 2.5%; 72%; 64.5%; 0.45  2% 
1;economic_policy; Expansionary fiscal policy; 2%; 6%; 1.5%; Stable; Balanced; -$2 billion; 1.2%; 71%; 65%; 0.38; 0.4  2.5% 
2;economic_policy; Austerity measures; 4%; 10%; 2%; Strong; Appreciated; $5 billion; $8 billion; 2.8%; 66%; 62.5%; 0.5  1% 
3;economic_policy; Protectionist trade policies; 5%; 7%; 1.75%; Unchanged; Deteriorated; -$12 billion; $3 billion; 3%; 70%; 61.8%; 0.55  1.5% 
4;economic_policy; Stimulus packages; 1%; 8%; 0.5%; Increased; Stable; $5 billion; -$6 billion; 2.3%; 63%; 60%; 0.48  3% 
5;economic_policy; Quantitative tightening; 2.5%; 6.5%; 2.25%; Decreased; Unchanged; -$1 billion; $4 billion; 3.1%; 71%; 59.5%; 0.6  0.5% 
6;economic_policy; Tax reforms; 3%; 5%; 2%; Unchanged; Strong; $0; $7 billion; 2.6%; 67%; 64%; 0.42  2.2% 
7;economic_policy; Interest rate cuts; 4%; 9%; 1%; Weak; Depreciated; -$15 billion; $1 billion; 3.5%; 74%; 63.3%; 0.47  1% 
8;economic_policy; Free trade agreements; 2%; 4%; 1.5%; Unchanged; Balanced; $0; $10 billion; 2.1%; 68%; 61%; 0.52  3.2% 
9;economic_policy; Inflation targeting; 3.5%; 7%; 1.75%; Increased; Stable; -$5 billion; -$3 billion; 2.9%; 70%; 63%; 0.49  1.7%.</s>
