;Renewable\_Energy\_Contribution;Carbon\_Emission\_Tons;Natural\_Disaster\_Frequency;Recycling\_Rate;Endangered\_Species\_Listed;Conservation\_Funding\_Amount;Eco\_Tourism\_Revenue;Climate\_Change\_Impact\_Score;Green\_Building\_Certification\_Count;Sustainable\_Agriculture\_Practices
0; 25%;12000;3/year;55%;150 species;$200 million;$150 million;6.8;4500;Organic farming and permaculture
1;5%;8000;2/year;65%;50 species;$250 million;$180 million;6.5;5000;Biodynamic agriculture
2;7%;1000;1/year;75%;20 species;$100 million;$200 million;5.8;3000;Agroforestry and crop rotation
3;3%;5000;4/year;45%;250 species;$300 million;$120 million;7.2;6000;Sustainable grazing and pasture cropping
4;9%;2000;2/year;85%;100 species;$150 million;$220 million;6.0;7000;Precision farming and vertical gardening
5;12%;800;5/year;35%;300 species;$400 million;$100 million;7.5;2500;Hydroponics and aquaponics
6;2%;7000;3/year;25%;10 species;$50 million;$170 million;6.2;1000;Regenerative agriculture and no-till farming
7;5%;3000;1/year;100%;0 species;$350 million;$190 million;5.5;8000;Urban agriculture and community gardens
8;10%;100;6/year;90%;400 species;$20 million;$50 million;8.0;15000;Bioplastics and renewable energy materials
9;0%;15000;2/year;50%;500 species;$10 million;$25 million;7.8;500;Industrial waste reduction and recycling</s>
