;Commodity Prices;Bond Yield;Treasury Securities Ownership%;Derivatives Expiry Dating;Commercial Paper Risk Spread;Hedge Fund Performance Indicators;Private Equity Valuation Metrics;Real Estate Prices;New Listing Announcements;IPOs Share Allocation Data;Mergers & Acquisitions Deals News;Analyst Upgrades/Downgrades Recommendations
0; Corn Prices; 4.5% ; 67% ; Jan 15, 2023 ; 0.85%; Q1 Hedge Fund return: 3.2%; PE TV/EBITDA: 10.5; Real Estate: +2.5%; New Listings: Tech Co.; IPO Share: 20M; M&A: Acquisition of Retail Giant; Analyst: Upgrade of Software Inc.
1;Gold Prices; 2.7% ; 74% ; Feb 20, 2023 ; 1.25%; Q1 Hedge Fund return: 2.9%; PE P/E Ratio: 15; Real Estate: +1.5%; New Listings: Pharma Co.; IPO Share: 15M; M&A: Merger in Auto Industry; Analyst: Downgrade of Bank Inc.
2;Crude Oil Prices; 3.2% ; 70% ; Mar 17, 2023 ; 1.0%; Q1 Hedge Fund return: 3.1%; PE Price/Book: 3; Real Estate: +0.5%; New Listings: E-commerce Co.; IPO Share: 30M; M&A: Takeover in Tech Industry; Analyst: Upgrade of Fintech Inc.
3;Soybean Prices; 4.2%; 65%; Apr 14, 2023 ; 1.15%; Q1 Hedge Fund return: 2.7%; PE EV/Sales: 2.5; Real Estate: -0.5%; New Listings: Biotech Co.; IPO Share: 12M; M&A: Acquisition in Energy Sector; Analyst: Downgrade of Retail Inc.
4;Wheat Prices; 3.5% ; 72% ; May 12, 2023 ; 1.3%; Q1 Hedge Fund return: 3.3%; PE: 12; Real Estate: +1%; New Listings: Clean Energy Co.; IPO Share: 25M; M&A: Merger in Healthcare; Analyst: Upgrade of Transport Inc.
5;Cotton Prices; 4.8% ; 68% ; Jun 16, 2023 ; 0.9%; Q1 Hedge Fund return: 2.6%; PE: 13; Real Estate: +2%; New Listings: Software Co.; IPO Share: 18M; M&A: Acquisition in Media Industry; Analyst: Downgrade of Construction Inc.
6;Sugar Prices; 5.3% ; 75% ; Jul 14, 2023 ; 1.4%; Q1 Hedge Fund return: 3%; PE: 11; Real Estate: +1.5%; New Listings: Fintech Co.; IPO Share: 35M; M&A: Merger in Real Estate; Analyst: Upgrade of Energy Inc.
7;Cocoa Prices; 5%; 66% ; Aug 11, 2023 ; 1.1%; Q1 Hedge Fund return: 2.8%; PE: 14; Real Estate: +1%; New Listings: Logistics Co.; IPO Share: 10M; M&A: Takeover in Telecom Industry; Analyst: Downgrade of Industrial Inc.
8;Coffee Prices; 6%; 73% ; Sep 15, 2023 ; 1.6%; Q1 Hedge Fund return: 3.4%; PE: 12.5; Real Estate: +0.5%; New Listings: E-commerce Co.; IPO Share: 20M; M&A: Acquisition in Consumer Goods; Analyst: Upgrade of Pharma Inc.
9;Rubber Prices; 7.5% ; 65% ; Oct 13, 2023 ; 1.9%; Q1 Hedge Fund return: 3.6%; PE: 10.5; Real Estate: -0.5%; New Listings: AI Co.; IPO Share: 25M; M&A: Merger in Finance Industry; Analyst: Downgrade of Materials Inc.</s>
