;GardenBedsDimension; RainfallData; AverageTemperature; HumidityLevel%; FertileSoilsList; NaturalPestRepellents; IrrigationSystemType; MaintenanceSchedule; NearbyWaterSources; SeasonalCareRecommended; PopularGardeningBooks; GardeningWebsitesLinks
0;" ""4x8 feet"; 35 inches/year; 72°F; 55%, Compost, Manure, Peat Moss; Garlic, Marigolds, Mint; Drip, Soaker Hoses; Monthly, Prune, Weed; Pond, Creek, Sprinkler System; Winterize, Spring Clean, Fall Prep; 'Gardening for Dummies', 'The Vegetable Gardener's Bible';" 'www.gardenersworld.com', 'www.rodalesorganiclife.com'""";
1;"""6x12 feet"; 40 inches/year; 70°F; 60%, Compost, Peat Moss, Vermiculite; Nasturtium, Basil, Lavender; Sprinkler, Drip; Weekly, Fertilize, Weed; Lake, River, Irrigation Ditch; Rotate Crops, Compost, Mulch; 'All New Square Foot Gardening', 'The Garden Primer';" 'www.thespruce.com', 'www.motherearthnews.com'""";
2;"""8x10 feet"; 45 inches/year; 68°F; 65%, Manure, Compost, Perlite; Chrysanthemums, Marigolds, Geraniums; Soaker Hoses, Drip; Bi-Weekly, Trim, Water; Ocean, Well Water, Creek; Foliar Feeding, Deadheading, Dividing; 'The Flower Gardener's Bible', 'Rodale's Illustrated Encyclopedia of Perennials';" 'www.finegardening.com', 'www.davesgarden.com'""";
3;"""10x20 feet"; 50 inches/year; 65°F; 70%, Compost, Manure, Vermiculite; Sunflowers, Hollyhocks, Delphiniums; Sprinkler, Drip; Monthly, Fertilize, Deadhead; River, Creek, Irrigation Canal; Pest Management, Weeding, Pruning; 'Perennial All-Stars', 'The New Sunset Western Garden Book';" 'www.bhg.com', 'www.gardenweb.com'""";
4;"""12x12 feet"; 55 inches/year; 75°F; 75%, Compost, Peat Moss, Perlite; Roses, Lilies, Tulips; Soaker Hoses, Drip; Weekly, Fertilize, Prune; Lake, Pond, Irrigation System; Winter Protection, Staking, Dividing; 'The American Horticultural Society A-Z Encyclopedia of Garden Plants', 'The Gardener's Guide to Growing Perfect Peonies';" 'www.helpmefind.com/gardening', 'www.gardenaction.co.uk'""";
5;"""15x20 feet"; 60 inches/year; 60°F; 80%, Compost, Manure, Vermiculite; Corn, Tomatoes, Squash; Sprinkler, Drip; Bi-Weekly, Cultivate, Rotate; Ocean, Creek, Well Water; Crop Rotation, Support Structures, Trellising; 'The Vegetable Gardener's Bible', 'Carrots Love Tomatoes';" 'www.vegetablegardener.com', 'www.yougrowgirl.com'""";
6;"""20x25 feet"; 65 inches/year; 65°F; 85%, Compost, Peat Moss, Perlite; Trees, Shrubs, Perennials; Soaker Hoses, Drip; Monthly, Prune, Fertilize; Lake, River, Irrigation Ditch; Mulching, Watering, Weeding; 'The New Illustrated Garden Design Book', 'The Layered Garden';" 'www.gardendesign.com', 'www.gardenista.com'""";
7;"""25x30 feet"; 70 inches/year; 70°F; 90%, Compost, Manure, Vermiculite; Berries, Vines, Ornamental Grasses; Sprinkler, Drip; Weekly, Water, Fertilize; Ocean, Creek, Pond; Disease Prevention, Pest Control, Pruning Techniques; 'The Berry Grower's Guide', 'The Modern Garden';" 'www.burpee.com', 'www.bhg.com/gardening'""";
8;"""30x35 feet"; 75 inches/year; 72°F; 95%, Compost, Peat Moss, Perlite; Herbs, Vegetables, Annuals; Soaker Hoses, Drip; Bi-Weekly, Water, Harvest; Lake, River, Irrigation System; Companion Planting, Container Gardening, Succession Planting; 'The Herb Society of America Essential Guide to Herbs', 'The Vegetable Gardener's Guide to Permaculture';" 'www.herbsociety.org', 'www.permaculture.org'""";
9;"""35x40 feet"; 80 inches/year; 75°F; 100%, Compost, Manure, Vermiculite; Fruit Trees, Flowering Shrubs, Ornamental Trees; Sprinkler, Drip; Monthly, Prune, Mulch; Ocean, Creek, Well Water; Tree Care, Landscaping, Soil Testing; 'The Fruit Gardeners Bible', 'The Garden Book for Wisconsin';" 'www.orangepippintrees.com', 'www.wimastergardener.org'""</s>";
