;AncestralHomeCountry; NumberofChildren; YDNAHaplogroup; MTDA Hapolgroup; FamousRelativeNames; CelebrityRelations; GeneticGroupsEthnicities; DNAtestProvider; DonorRegistrationStatus; FamilyTreeOwnerConsents; UniqueDNAIdentifier
0;" ""Italy""";" ""3""";" ""R-M269""";" ""H1""";" ""Leonardo da Vinci""";" ""None""";" ""Italian, European""";" ""AncestryDNA""";" ""Not Registered""";" ""Yes""";" ""1234567890123456"""
1;"""Ireland""";" ""2""";" ""R-M222""";" ""H3""";" ""Saint Patrick""";" ""None""";" ""Irish, Celtic""";" ""MyHeritageDNA""";" ""Registered""";" ""Yes""";" ""0987654321098765"""
2;"""Germany""";" ""4""";" ""I-M253""";" ""H5""";" ""Martin Luther""";" ""Cousin of Angela Merkel""";" ""German, European""";" ""FamilyTreeDNA""";" ""Registered""";" ""Yes""";" ""5678901234567890"""
3;"""Scotland""";" ""1""";" ""R-L21""";" ""H6""";" ""William Wallace""";" ""None""";" ""Scottish, Celtic""";" ""LivingDNA""";" ""Not Registered""";" ""Yes""";" ""2345678901234567"""
4;"""England""";" ""5""";" ""I-M253""";" ""H7""";" ""William Shakespeare""";" ""Distant relative of Queen Elizabeth II""";" ""English, European""";" ""23andMe""";" ""Registered""";" ""Yes""";" ""8901234567890123"""
5;"""Nigeria""";" ""6""";" ""E-M2""";" ""L1""";" ""Nelson Mandela""";" ""None""";" ""Nigerian, African""";" ""AfricanDNA""";" ""Registered""";" ""Yes""";" ""3456789012345678"""
6;"""China""";" ""2""";" ""O-M175""";" ""A""";" ""Confucius""";" ""None""";" ""Chinese, Asian""";" ""WeGene""";" ""Not Registered""";" ""Yes""";" ""4567890123456789"""
7;"""Mexico""";" ""4""";" ""Q-M3""";" ""B2""";" ""Frida Kahlo""";" ""None""";" ""Mestizo, Native American""";" ""MyHeritageDNA""";" ""Registered""";" ""Yes""";" ""5678901234567890"""
8;"""Israel""";" ""2""";" ""J-M267""";" ""N1b""";" ""Albert Einstein""";" ""None""";" ""Jewish, Middle Eastern""";" ""FamilyTreeDNA""";" ""Registered""";" ""Yes""";" ""6789012345678901"""
9;"""Australia""";" ""3""";" ""K-M526""";" ""S""";" ""Ned Kelly""";" ""None""";" ""Australian, British"" ""AncestryDNA""";" ""Registered""";" ""Yes""";" ""7890123456789012""</s>";
