;Shear (S) and Compressional (P) Waves Properties; Refraction Coefficients; Density Structures; Layer Thickness; Attenuation Factors; Seismic Anisotropy; S-wave Velocity; P-wave to S-wave Velocity Ratio; Rock Physics; Crustal Structure; Seismic Noise Levels
0;  Shear Wave Velocity: 5 km/s; Compressional Wave Velocity: 6.0 km/s; Refraction Coefficients: 0.9, 1.7; Density Structures: 2.5-2.8 g/cm³; Layer Thickness: 5-10 km; Attenuation Factors: 0.02-0.05; Seismic Anisotropy: 5-10%; Rock Physics: Elasticity variations; Crustal Structure: Upper Mantle; Seismic Noise Levels: Low.;
1; Shear Wave Velocity: 8 km/s; Compressional Wave Velocity: 5.6 km/s; Refraction Coefficients: 0.7, 1.4; Density Structures: 2.2-2.5 g/cm³; Layer Thickness: 3-5 km; Attenuation Factors: 0.05-0.10; Seismic Anisotropy: 2-5%; Rock Physics: Porosity effects; Crustal Structure: Lower Crust; Seismic Noise Levels: Moderate.;
2; Shear Wave Velocity: 2 km/s; Compressional Wave Velocity: 7.2 km/s; Refraction Coefficients: 1.3, 2.5; Density Structures: 2.9-3.1 g/cm³; Layer Thickness: 12-15 km; Attenuation Factors: 0.01-0.03; Seismic Anisotropy: 8-12%; Rock Physics: Fluid saturation; Crustal Structure: Upper Mantle; Seismic Noise Levels: High.;
3; Shear Wave Velocity: 8 km/s; Compressional Wave Velocity: 4.8 km/s; Refraction Coefficients: 0.6, 1.2; Density Structures: 1.8-2.1 g/cm³; Layer Thickness: 1.5-2.5 km; Attenuation Factors: 0.10-0.15; Seismic Anisotropy: 1-3%; Rock Physics: Fracture-controlled properties; Crustal Structure: Sedimentary Basin; Seismic Noise Levels: Very High.;
4; Shear Wave Velocity: 0 km/s; Compressional Wave Velocity: 5.4 km/s; Refraction Coefficients: 0.8, 1.6; Density Structures: 2.3-2.6 g/cm³; Layer Thickness: 4-6 km; Attenuation Factors: 0.03-0.06; Seismic Anisotropy: 4-6%; Rock Physics: Temperature and pressure effects; Crustal Structure: Transition Zone; Seismic Noise Levels: Low.;
5; Shear Wave Velocity: 0 km/s; Compressional Wave Velocity: 6.6 km/s; Refraction Coefficients: 1.2, 2.3; Density Structures: 2.7-3.0 g/cm³; Layer Thickness: 8-10 km; Attenuation Factors: 0.02-0.04; Seismic Anisotropy: 7-10%; Rock Physics: Crystal orientation; Crustal Structure: Lower Mantle; Seismic Noise Levels: Moderate.;
6; Shear Wave Velocity: 0 km/s; Compressional Wave Velocity: 4.0 km/s; Refraction Coefficients: 0.5, 1.0; Density Structures: 1.6-1.9 g/cm³; Layer Thickness: 1-2 km; Attenuation Factors: 0.15-0.20; Seismic Anisotropy: 0.5-2%; Rock Physics: Lithology variations; Crustal Structure: Shallow Subsurface; Seismic Noise Levels: High.;
7; Shear Wave Velocity: 8 km/s; Compressional Wave Velocity: 6.6 km/s; Refraction Coefficients: 1.0, 2.0; Density Structures: 2.6-2.9 g/cm³; Layer Thickness: 10-12 km; Attenuation Factors: 0.01-0.03; Seismic Anisotropy: 6-8%; Rock Physics: Velocity-stress coupling; Crustal Structure: Transition Zone; Seismic Noise Levels: Very High.;
8; Shear Wave Velocity: 5 km/s; Compressional Wave Velocity: 3.8 km/s; Refraction Coefficients: 0.4, 0.8; Density Structures: 1.3-1.6 g/cm³; Layer Thickness: 0.5-1.0 km; Attenuation Factors: 0.20-0.25; Seismic Anisotropy: 0.3-1%; Rock Physics: Pore-fluid effects; Crustal Structure: Coastal Zone; Seismic Noise Levels: Low.;
9; Shear Wave Velocity: 6 km/s; Compressional Wave Velocity: 8.2 km/s; Refraction Coefficients: 1.4, 2.8; Density Structures: 3.1-3.4 g/cm³; Layer Thickness: 15-20 km; Attenuation Factors: 0.005-0.015; Seismic Anisotropy: 10-15%; Rock Physics: Phase transitions; Crustal Structure: Upper Mantle; Seismic Noise Levels: Moderate.</s>;
