;FruitYieldPerAcre;AveragePlantGrowthPeriod;TypicalMaturityDays;SymptomsOfPestDiseases;GrowthRegionsAndSpread;MostPopularHydroponicVegetables;CommonUsesOfThePlantInLandscapingAndDecorativeArt;ColorThemeForFloralDesignArrangements;FragranceValuesForFloralDesigns;PreferredClimateConditionsForGreenhouseFarming
0;" ""8000 pounds"; 18-24 months; 120-150 days; Uneven ripening, leaf discoloration; Worldwide tropical and subtropical regions; Lettuce, tomatoes, cucumbers; Hedging, screen plants, foundation plantings; Tropical, vibrant colors; Sweet, exotic scents;" Controlled, warm environment"""
1;"""4000 pounds"; 12-15 months; 90-110 days; Powdery mildew, weak stems; Temperate and Mediterranean regions; Spinach, peppers, eggplants; Ground covers, borders, container gardening; Cool, pastel colors; Fresh, earthy scents;" Cooler temperatures, good ventilation"""
2;"""2000 pounds"; 24-36 months; 240-270 days; Anthracnose, root rot; Humid and subtropical regions; Kale, collards, mustard greens; Windbreaks, privacy screens, erosion control; Rich, deep greens; Herbal, slightly bitter scents;" Partial shade, moist soil"""
3;"""12000 pounds"; 12-15 months; 75-90 days; Black rot, mosaic virus; Temperate and subtropical regions; Peas, beans, broccoli; Trellises, arbors, edible landscapes; Bright, contrasting colors; Delicate, green scents;" Moderate temperatures, well-drained soil"""
4;"""6000 pounds"; 18-24 months; 180-210 days; Rust, wilt; Arid and semi-arid regions; Carrots, beets, turnips; Raised beds, containers, vertical gardening; Warm, deep tones; Sweet, rooty scents;" Well-drained, loose soil"""
5;"""3000 pounds"; 9-12 months; 60-75 days; Downy mildew, bacterial spot; Warm temperate regions; Radishes, arugula, chard; Rock gardens, borders, cut-and-come-again harvests; Bold, fiery colors; Spicy, pungent scents;" Rich, loamy soil, partial shade"""
6;"""15000 pounds"; 2-3 years; 360-400 days; Crown gall, verticillium wilt; Wide range of climates; Corn, sunflowers, squash; Windbreaks, ornamental plantings, wildlife attractors; Rich, earthy colors; Sweet, corn scents;" Full sun, well-drained soil"""
7;"""8000 pounds"; 9-12 months; 100-120 days; Alternaria leaf blight, Fusarium wilt; Subtropical and tropical regions; Okra, melons, cucumbers; Hedges, screens, cut flowers; Vibrant, warm colors; Tropical, fruity scents;" Hot, humid conditions"""
8;"""4000 pounds"; 2-3 years; 300-350 days; Phytophthora root rot, Armillaria root rot; Temperate and boreal forests; Berries, currants, gooseberries; Edible landscapes, foundation plantings, hedging; Deep, cool colors; Fresh, fruity scents;" Cool, moist soils"""
9;"""2000 pounds"; 3-4 months; 45-60 days; Damping-off, powdery mildew; Cool temperate regions; Herbs, microgreens, sprouts; Indoor herb gardens, windowsill gardens, vertical gardening; Soft, calming colors; Aromatic, herbal scents;" Bright, indirect light, even moisture""</s>"
