;Book Title; Author; Publication Year; Genre; Publisher; Page Count; ISBN; Average Rating; Number of Ratings; Format; Series; Language; Description; Availability; Price
0;" ""Pride and Prejudice"" "; Jane Austen ; 1813 ; Romance ; Penguin Classics ; 238 ; 9780143039488 ; 4.3 ; 2264623 ; Paperback ; None ; English ; In stock ; 6.99;
1;"""To Kill a Mockingbird"" "; Harper Lee ; 1960 ; Southern Gothic ; Grand Central Publishing ; 281 ; 9780446310789 ; 4.5 ; 3485994 ; Paperback ; None ; English ; In stock ; 7.5;
2;"""The Great Gatsby"" "; F. Scott Fitzgerald ; 1925 ; Social Commentary ; Scribner ; 180 ; 9781439176367 ; 4.2 ; 2149981 ; Hardcover ; None ; English ; In stock ; 9.99;
3;"""Harry Potter and the Philosopher's Stone"" "; J.K. Rowling ; 1997 ; Fantasy ; Bloomsbury ; 223 ; 9781551923957 ; 4.6 ; 6049417 ; Hardcover ; Harry Potter ; English ; In stock ; 12.99;
4;"""The Catcher in the Rye"" "; J.D. Salinger ; 1951 ; Coming-of-Age ; Little, Brown and Company ; 277 ; 9780316769174 ; 3.8 ; 2014141 ; Paperback ; None ; English ; In stock ; 5.99;
5;"""One Hundred Years of Solitude"" "; Gabriel Garcia Marquez ; 1967 ; Magical Realism ; Harper Perennial ; 417 ; 9780060883295 ; 4.3 ; 834182 ; Paperback ; The Buendía Family ; English ; In stock ; 7.99;
6;"""The Da Vinci Code"" "; Dan Brown ; 2003 ; Mystery/Thriller ; Doubleday ; 454 ; 9780385504201 ; 3.8 ; 5707440 ; Hardcover ; Robert Langdon ; English ; In stock ; 10.99;
7;"""The Alchemist"" "; Paulo Coelho ; 1988 ; Fantasy ; HarperOne ; 197 ; 9780062502124 ; 4.1 ; 2827458 ; Paperback ; None ; English ; In stock ; 6.99;
8;"""The Hobbit"" "; J.R.R. Tolkien ; 1937 ; High Fantasy ; Houghton Mifflin ; 304 ; 9780395695016 ; 4.5 ; 1958739 ; Hardcover ; Middle-earth ; English ; In stock ; 8.99;
9;"""Beloved"" "; Toni Morrison ; 1987 ; Historical Fiction ; Alfred A. Knopf ; 321 ; 9780679440780 ; 3.9 ; 1063246 ; Paperback ; None ; English ; In stock ; 7.99</s>;
