;Title; Subtitle; Author's Nationality; Publication Year; Series Title; Series Number; Edition; Formats Available; ISBN; Average Rating; Number of Ratings; Review Sources; Genre Classification; Publisher; Language
0;" ""Pride and Prejudice"""; The Pride and Prejudice Novel; British; 1813; None; None; Hardcover; Paperback, eBook, Audiobook; 9780141039409; 4.3; 2,365,487; Goodreads, Amazon; Romance, Drama; Penguin Classics; English
1;"""To Kill a Mockingbird"""; A Guide to the Classic Novel; American; 1960; None; None; Hardcover, Paperback; eBook, Audiobook; 9780060935467; 4.5; 3,945,010; Goodreads, Amazon; Drama, Courage, Morality; Harper Perennial; English
2;"""The Odyssey"""; The Greatest Epic of All Time; Greek; -800; The Epic Cycle; 2; Hardcover, Paperback; eBook, Audiobook, Clothbound; 9780140275394; 4.1; 844,712; Goodreads, Amazon; Mythology, Adventure, War; Penguin Classics; English
3;"""Les Misérables"""; The Brick That Started It All; French; 1862; None; None; Hardcover, Paperback, Deluxe; eBook, Audiobook; 9780316769488; 4.4; 1,474,212; Goodreads, Amazon; Historical Fiction, Tragedy, Justice; Signet Classics; English
4;"""One Hundred Years of Solitude"""; A Latin American Masterpiece; Colombian; 1967; The Buendía Family Saga; 1; Hardcover, Paperback; eBook, Audiobook; 9781400079989; 4.4; 494,712; Goodreads, Amazon; Literary Fiction, Magical Realism, Drama; HarperCollins; English
5;"""Moby Dick"""; The Great American Novel; American; 1851; None; None; Hardcover, Paperback; eBook, Audiobook; 9780547442770; 4.1; 668,558; Goodreads, Amazon; Adventure, Obsession, Seafaring; Penguin Classics; English
6;"""The Divine Comedy"""; The Original Italian Epic; Italian; 1320; None; None; Hardcover, Paperback; eBook, Audiobook; 9780143105883; 4.2; 289,634; Goodreads, Amazon; Epic Poetry, Religion, Morality; Penguin Classics; English
7;"""Don Quixote"""; The Legendary Spanish Novel; Spanish; 1605; The Ingenious Gentleman Don Quixote of La Mancha; 1; Hardcover, Paperback; eBook, Audiobook; 9780486680867; 4.3; 388,283; Goodreads, Amazon; Adventure, Satire, Knighthood; Penguin Classics; English
8;"""The Trial"""; A Kafkaesque Journey; Czech; 1925; None; None; Hardcover, Paperback; eBook, Audiobook; 9780805254895; 4.0; 528,665; Goodreads, Amazon; Legal Fiction, Kafkaesque, Psychological; Schocken; English
9;"""War and Peace"""; Russian History Unfolds; Russian; 1869; The Napoleonic Wars; 1; Hardcover, Paperback; eBook, Audiobook; 9781400033813; 4.0; 235,614; Goodreads, Amazon; Historical Fiction, War, Family; Modern Library; English</s>
10;" ""Ulysses"""; Modernist Odyssey; Irish; 1922; None; None; Hardcover, Paperback; eBook, Audiobook; 9780141199866; 3.9; 408,564; Goodreads, Amazon; Modernism, Stream of consciousness; Penguin Modern Classics; English
11;"""Matterhorn"""; A Novel of the Vietnam War; American; 2010; None; None; Hardcover, Paperback; eBook, Audiobook; 9780316176616; 4.3; 32,224; Goodreads, Amazon; Historical Fiction, War, Military; Grove Atlantic; English
12;"""The Divine Comedy"""; Inferno, Purgatorio, Paradiso; Italian; 1320; The Divine Comedy; 1; Hardcover, Paperback; eBook, Audiobook; 9780140449103; 4.2; 295,791; Goodreads, Amazon; Poetry, Epic, Dante; Penguin Classics; English
13;"""One Hundred Years of Solitude"""; The Buendía Family; Colombian; 1967; The Cronicle of the Ancestors; 1; Hardcover, Paperback; eBook, Audiobook; 9780060883271; 4.3; 282,615; Goodreads, Amazon; Magical Realism, Family Saga; HarperVia; English
14;"""Mrs Dalloway"""; A Day in June; British; 1925; None; None; Hardcover, Paperback; eBook, Audiobook; 9780141182606; 3.8; 243,561; Goodreads, Amazon; Modernism, Stream of consciousness; Penguin Classics; English
15;"""To the Lighthouse"""; The Ramsgate Holiday; British; 1927; None; None; Hardcover, Paperback; eBook, Audiobook; 9780141182446; 3.8; 183,660; Goodreads, Amazon; Modernism, Stream of consciousness; Penguin Classics; English
16;"""Madame Bovary"""; A Lady's Adultery; French; 1857; None; None; Hardcover, Paperback; eBook, Audiobook; 9780140449240; 3.7; 307,277; Goodreads, Amazon; Realism, Romance; Penguin Classics; English
17;"""The Stranger"""; An Outsider's Experience; French; 1942; None; None; Hardcover, Paperback; eBook, Audiobook; 9780141182873; 3.7; 181,062; Goodreads, Amazon; Existentialism, Crime, Psychological; Penguin Modern Classics; English
18;"""Anna Karenina"""; Love and Betrayal; Russian; 1877; None; None; Hardcover, Paperback; eBook, Audiobook; 9780141199486; 4.1; 263,759; Goodreads, Amazon; Realism, Love, Drama; Penguin Classics; English
19;"""The Idiot"""; A Russian Prince's Plight; Russian; 1869; None; None; Hardcover, Paperback; eBook, Audiobook; 9780141195602; 3.9; 206,654; Goodreads, Amazon; Realism, Psychological, Love; Penguin Classics; English</s>
20;" ""War and Peace"""; Napoleon's Invasion and the Russian Aristocracy; Russian; 1869; None; None; Hardcover, Paperback; eBook, Audiobook; 9780140449241; 4.3; 328,741; Goodreads, Amazon; Historical Fiction, War, Romance; Penguin Classics; English
21;"""One Hundred Years of Solitude"""; The Buendía Family Saga; Colombian; 1967; The Buendía Trilogy; 1/3; Hardcover, Paperback; eBook, Audiobook; 9780060883251; 4.3; 364,567; Goodreads, Amazon; Magical Realism, Family Saga, Politics; Harper Perennial; English
22;"""The Brothers Karamazov"""; A Spiritual Drama; Russian; 1880; None; None; Hardcover, Paperback; eBook, Audiobook; 9780141196202; 4.0; 253,121; Goodreads, Amazon; Philosophy, Crime, Religious; Penguin Classics; English
23;"""The Divine Comedy"""; Dante's Epic Poem; Italian; 1320; None; None; Hardcover, Paperback; eBook, Audiobook; 9780140449135; 4.1; 248,751; Goodreads, Amazon; Poetry, Fantasy, Religious; Penguin Classics; English
24;"""To Kill a Mockingbird"""; Racial Injustice in the American South; American; 1960; None; None; Hardcover, Paperback; eBook, Audiobook; 9780060935467; 4.5; 4,704,919; Goodreads, Amazon; Southern Gothic, Bildungsroman, Racism; Harper Perennial; English
25;"""Don Quixote"""; The Idealistic Knight-Errant; Spanish; 1605; None; None; Hardcover, Paperback; eBook, Audiobook; 9780140449081; 4.2; 546,726; Goodreads, Amazon; Chivalry, Picaresque, Satire; Penguin Classics; English
26;"""Moby-Dick"""; Ahab's Obsession and Revenge; American; 1851; None; None; Hardcover, Paperback; eBook, Audiobook; 9780140285197; 4.2; 650,085; Goodreads, Amazon; Adventure, Allegory, Maritime; Penguin Classics; English
27;"""The Trial"""; Kafka's Nightmare of Bureaucracy; Czech; 1925; None; None; Hardcover, Paperback; eBook, Audiobook; 9780141184656; 3.7; 449,445; Goodreads, Amazon; Absurdist Fiction, Legal Fiction, Psychological; Penguin Classics; English
