;Title; Artist(s); Genre; Release Date; Language; Label; Additional Genre; Mood; Instrumental; Collaboration
0;" ""Bohemian Rhapsody"""; Queen; Rock; 1975-10-31; English; EMI Records; Progressive Rock; Dramatic; No; None
1;"""Stairway to Heaven"""; Led Zeppelin; Rock; 1971-11-08; English; Atlantic Records; Folk Rock; Epic; No; None
2;"""Imagine"""; John Lennon; Pop; 1971-09-09; English; Apple Records; Soft Rock; Reflective; No; None
3;"""Hotel California"""; Eagles; Rock; 1976-12-08; English; Asylum Records; Classic Rock; Melancholic; No; None
4;"""Smells Like Teen Spirit"""; Nirvana; Grunge; 1991-09-10; English; DGC; Alternative Rock; Angsty; No; None
5;"""November Rain"""; Guns N' Roses; Rock; 1992-06-18; English; Geffen Records; Hard Rock; Epic; No; Orchestra
6;"""My Way"""; Frank Sinatra; Pop; 1969-03-11; English; Reprise Records; Traditional Pop; Reflective; No; None
7;"""La Vie en Rose"""; Édith Piaf; Pop; 1946-04-30; French; Pathé; Chanson; Romantic; No; None
8;"""No Woman, No Cry"""; Bob Marley & The Wailers; Reggae; 1974-04-19; English; Island Records; Roots Reggae; Soulful; No; None
9;"""Hey Jude"""; The Beatles; Rock; 1968-08-30; English; Apple Records; Pop Rock; Heartfelt; No; None</s>
