;Philosophical Concept 2; Major Theorist 2; # of Adherents 2; Influential Work 2; Unrelated Column 5; Unrelated Column 6; Unrelated Column 7; Unrelated Column 8; Unrelated Column 9; Unrelated Column 10.
0; Existentialism; Jean-Paul Sartre; 100,000;" ""Being and Nothingness"""; NA; NA; NA; NA; NA; NA
1; stoicism; Marcus Aurelius; 5000;" ""Meditations"""; NA; NA; NA; NA; NA; NA
2; utilitarianism; Jeremy Bentham; 25,000;" ""An Introduction to the Principles of Morals and Legislation"""; NA; NA; NA; NA; NA; NA
3; logical positivism; Rudolf Carnap; 2,000;" ""The Logical Structure of the World"""; NA; NA; NA; NA; NA; NA
4; structuralism; Claude Lévi-Strauss; 10,000;" ""The Elementary Structures of Kinship"""; NA; NA; NA; NA; NA; NA
5; social contract theory; Thomas Hobbes; 15,000;" ""Leviathan"""; NA; NA; NA; NA; NA; NA
6; phenomenology; Edmund Husserl; 8,000;" ""Logical Investigations"""; NA; NA; NA; NA; NA; NA
7; aesthetic formalism; Susanne Langer; 500;" ""Philosophy in a New Key"""; NA; NA; NA; NA; NA; NA
8; pragmatism; John Dewey; 12,000;" ""Experience and Nature"""; NA; NA; NA; NA; NA; NA
9; egoism; Ayn Rand; 30,000;" ""The Fountainhead"""; NA; NA; NA; NA; NA; NA</s>
