;"""Column 1"; Column 2; Column 3; Column 4; Column 5; Column 6; Column 7; Column 8; Column 9; Column 10;" Column 11"""
0;" ""Christianity"; Protestant; United States; 160 million; 48%; Evangelical, Mainline, Other; Denominational, Independent; 1790, 2020; Bible, Tradition; Jesus Christ, God;" Worship, Service"""
1;"""Islam"; Sunni; Indonesia; 225 million; 12.7%; Reformist, Traditionalist; Prayer, Fasting, Charity, Pilgrimage; Quran; Allah, Prophet Muhammad; Mecca, Medina;" Ramadan, Hajj"""
2;"""Secular"; Nonreligious; China; 300 million; 20%; Agnostic, Atheist, Spiritual but not Religious; Reason, Empiricism; None; N/A; N/A;" N/A  Skepticism, Ethics"""
3;"""Hinduism"; Vaishnavism; India; 1.15 billion; 79.8%; Personal God, Formless Absolute; Ritual, Meditation, Devotion; Vedas, Bhagavad Gita; Brahman, Ishvara, Atman; Varanasi, Rishikesh;" Yoga, Puja"""
4;"""Buddhism"; Theravada; Thailand; 64 million; 37%; Meditation, Morality, Wisdom; Pali Canon; Nirvana, Three Marks of Existence; Bodhi Tree, Stupas;" Vesak, Uposatha""";
5;"""Christianity"; Catholic; Brazil; 176 million; 50.3%; Hierarchy, Sacraments; Bible, Tradition, Magisterium; Trinity, Incarnation; Rome, Fatima; Christmas, Easter;" Confession, Eucharist"""
6;"""Folk Religions"; African Traditional Religions; Nigeria; 102 million; 21%; Ancestors, Spirits, Nature; Rituals, Divination, Healing; Oral Traditions; God, Ancestors;" Shrines, Sacred forests""";
7;"""Sikhism"; Sikh; India; 30 million; 1.9%; Unity of God, Devotion, Social Justice; Guru Granth Sahib; Guru Nanak, Waheguru; Amritsar, Anandpur; Langar, Paath;" Five Ks"""
8;"""Spiritism"; Religion of Spirit; Brazil; 4.8 million; 0.2%; Mediumship, Reincarnation; Kardec's Books; Spirits, God; Spiritual Realms; Spiritual Evolution;" Code of Ethics"""
9;"""Judaism"; Orthodox; Israel; 6.5 million; 74.7%; Commandments, Tradition; Torah, Talmud; YHWH, Prophets; Jerusalem, Western Wall; Shabbat, Festivals;" Synagogue, Home""</s>"
