;Island Nation; Island Area (sq km); Coastline Length (kms)*; Number Of Islands**; Capital City Pop$; Currency Type(^)**; Time Zone |||~~; Dialling Code ####***; Independence Day / Observance ^^^^\_\_*******; Submarine Cables $$\$\$****
0; Iceland; 103,000; 4,970; 1; 336,270; ISK^; GMT; 354####; June 17, 1944; Submarine cables: DANICE, FARICE, Greenland Connect
1;Cyprus; 9,250; 648; 3; 386,097; EUR^; EET; 357####; October 1, 1960; Submarine cables: MedNautilus, SeaMeWe-3, Ugarit
2;Ireland; 84,421; 3,171; 1; 4,937,786; EUR^; IST; 353####; April 18, 1949; Submarine cables: GTT Atlantic, Celtic-Norse, Havfrue, AC-1, AEC-1
3;Jamaica; 10,991; 1,022; 1; 2,957,163; JMD^; EST; 1876####; August 6, 1962; Submarine cables: ECFS, Fibralink, GT-Monet, CJCL, Eastern Caribbean Fiber System
4;Bahamas; 13,880; 3,542; 700; 393,245; BSD^; EST; 1876####; July 10, 1973; Submarine cables: Bahamas Domestic Submarine Cable System, Antillas 1, Americas II, Americas-II, Caribbean-Bermuda UGW
5;Maldives; 300; 644; 1,192; 515,696; MVR^; MHT; 960####; July 26, 1965; Submarine cables: South East Asia-Middle East-Western Europe 4, Dhiraagu-Wiellmo-Link
6;Malta; 316; 196; 4; 445,426; EUR^; CET; 356####; September 21, 1964; Submarine cables: Malta-Italy Interconnector, Melita-1, SeaMeWe-3
7;Seychelles; 459; 491; 115; 98,223; SCR^; SCT; 248####; June 29, 1976; Submarine cables: SEAS, SEA-ME-WE 5
8;Trinidad and Tobago; 5,130; 362; 23; 1,362,453; TTD^; EST; 1876####; August 31, 1962; Submarine cables: ECFS, Eastern Caribbean Fiber System, Americas II
9;Barbados; 431; 97; 1; 287,025; BSD^; AST; 1876####; November 30, 1966; Submarine cables: East-West, Eastern Caribbean Fiber System, Deep Blue Cable, Antillas 1, GTT Atlantic</s>
10; Mauritius; 2,040; 177; 1; 1,372,343; MUR^; MUT; 230####; March 12, 1968; Submarine cables: LION, MAYA-1, Lower Indian Ocean Network 2, SAFE, Eastern Africa Submarine System Cable
11;Fiji; 18,274; 11,292; 332; 905,941; FJD^; FJT; 679####; October 10, 1970; Submarine cables: TGA-HANN, TIIS, Southern Cross Cable, Hawaiki Cable, Natitua Cable
12;Bahamas; 13,880; 3,542; 700; 393,236; BSD^; EST; 1806####; July 10, 1973; Submarine cables: Bahamas Domestic Submarine Network, Antillas 1, BDSN, CBUS, Eastern Caribbean Fiber System, Americas II
13;Iceland; 103,000; 4,970; 1; 358,700; ISK^; WET, Iceland Standard Time; Iceland was never colonized and has always been independent;;
14;Maldives; 300; 644; 1,196; 540,542; MVR^; MVT; 960####; July 26, 1965; Submarine cables: Dhiraagu-Western Route, Dhiraagu-Eastern Route, South East Asia - Middle East - Western Europe 5, Bay of Bengal Gateway, Southeast Asia Japan Cable System, Europe India Gateway
15;Cyprus; 9,251; 648; 1; 1,201,504; EUR^; EET; 1960####; October 1, 1960; Submarine cables: MedNautilus, SEA-ME-WE 3, SEA-ME-WE 4, UGARIT, Cyprus-Greece-Israel, Aphrodite 1
16;New Zealand; 268,800; 15,134; 1; 4,885,139; NZD^; NZT; 64####; January 26, 1947; Submarine cables: Southern Cross Cable, Tasman Global Access, Hawaiki Cable, TGA-HANN, SCCN, AAG, ASC, H2 Cable, SJC
17;Sri Lanka; 65,610; 1,340; 1; 21,863,322; LKR^; IST, SLST; February 4, 1948; Submarine cables: Bay of Bengal Gateway, South East Asia - Middle East - Western Europe 4, South East Asia - Middle East - Western Europe 5, SEA-ME-WE 5;
18;Jamaica; 10,991; 1,022; 1; 2,890,628; JMD^; EST; August 6, 1962; Submarine cables: ECFS, Eastern Caribbean Fiber System, Americas II, Caribbean fiber optic network, CBUS;
19;Singapore; 704; 193; 1; 5,698,600; SGD^; SGT; August 9, 1965; Submarine cables: SEA-ME-WE 3, SEA-ME-WE 4, SEA-ME-WE 5, APG, AAG, SJC, TGA-HANN, BALOK, DFN, PC-1, SEA-US, MCT, FASTER, TGN-EA, ASE, IGG, BBG, APCN 2, EIG, SJC2, TIC, SJC, JUPITER, INDIGO-West, INDIGO-Central, INDIGO-East</s>;
20; Iceland; 103,000; 4,970; 1; 334,200; ISK^; GMT; June 17, 1944; Submarine cables: FARICE-1, DANICE, Greenland Connect, Scotland-Norway-1, COBRAcable, Havfrue, CeltixConnect-2, North Sea Link, NorNed, NAWA, HVDC Cable, Helix-Atlantic-1, SURF-1, Circe North, Viking Link, SAEx1, SAEx2, SAEx3;
21;Cuba; 110,860; 3,735; 1; 11,341,117; CUP^; EST; May 20, 1902; Submarine cables: ALBA-1, ARCOS-1, DLPT, AMX-1, MAYA-1, Fibra Optica Antillas, East-West Submarine Cable, AC-1, ANTILLAS-1, CFX-1, CA Nautilus, Curie, ARCOS-3, AMX-2, MAYA-2, AMX-3, GlobeNet, Deep Blue Cable;
22;Papua New Guinea; 462,840; 5,152; 6; 8,084,229; PGK^; PGT, AMST; September 16, 1975; Submarine cables: PNG-LNG (Japan), PPC-1 (Australia), APNG-2 (Australia), Southern Cross Cable, JGA-S (Japan), Hawaiki Submarine Cable, INDIGO-Central, INDIGO-West;
