;Religions And Beliefs; Languages Spoken; Medicine & Public Health; Literature Genres; Clothing Styles; Music Types; Cuisine Recipes; Trade Routes; Natural Resource Management; Urban Planning & Development; Environmental Impacts; Transportation Methods; Governing Bodies; Artisanal Crafts; Archaeological Sites
0;  Religions And Beliefs: Polytheism; Languages Spoken: Latin, Greek; Medicine & Public Health: Herbal remedies; Literature Genres: Epic poetry; Clothing Styles: Toga, Chiton; Music Types: Wind instruments; Cuisine Recipes: Honey-roasted lamb, flatbread; Trade Routes: Silk Road; Natural Resource Management: Slash-and-burn agriculture; Urban Planning & Development: Forum, Acropolis; Environmental Impacts: Deforestation; Transportation Methods: Horse-drawn chariots; Governing Bodies: Roman Senate; Artisanal Crafts: Pottery, mosaics; Archaeological Sites: Pompeii.
1; Religions And Beliefs: Buddhism; Languages Spoken: Pali, Sanskrit; Medicine & Public Health: Ayurveda; Literature Genres: Jatakas; Clothing Styles: Robe; Music Types: Drums, cymbals; Cuisine Recipes: Lentil curry, rice; Trade Routes: Spice Route; Natural Resource Management: Irrigation; Urban Planning & Development: Stupa, monastery; Environmental Impacts: Soil erosion; Transportation Methods: Ox-carts; Governing Bodies: Sangha; Artisanal Crafts: Metalwork, woodcarving; Archaeological Sites: Taxila.
2; Religions And Beliefs: Christianity; Languages Spoken: Latin, Greek; Medicine & Public Health: Humoral theory; Literature Genres: Gospels, Epistles; Clothing Styles: Tunic, chasuble; Music Types: Chant; Cuisine Recipes: Fish, wine; Trade Routes: Amber Road; Natural Resource Management: Crop rotation; Urban Planning & Development: Basilica, monastery; Environmental Impacts: Overhunting; Transportation Methods: Sailing ships; Governing Bodies: Papal States; Artisanal Crafts: Manuscript illumination, glasswork; Archaeological Sites: Vatican City.
3; Religions And Beliefs: Islam; Languages Spoken: Arabic, Persian; Medicine & Public Health: Surgery, pharmacology; Literature Genres: Hadith, Qur'an; Clothing Styles: Hijab, thobe; Music Types: Call to prayer; Cuisine Recipes: Couscous, kebab; Trade Routes: Incense Route; Natural Resource Management: Terrace farming; Urban Planning & Development: Mosque, madrasa; Environmental Impacts: Soil degradation; Transportation Methods: Camel caravans; Governing Bodies: Caliphate; Artisanal Crafts: Textiles, ceramics; Archaeological Sites: Mecca.
4; Religions And Beliefs: Hinduism; Languages Spoken: Sanskrit, Tamil; Medicine & Public Health: Yoga, meditation; Literature Genres: Vedas, Upanishads; Clothing Styles: Sari, dhoti; Music Types: Sitar, tabla; Cuisine Recipes: Curry, rice; Trade Routes: Monsoon winds; Natural Resource Management: Water management; Urban Planning & Development: Temple, palace; Environmental Impacts: Deforestation; Transportation Methods: Elephant; Governing Bodies: Monarchy; Artisanal Crafts: Carving, painting; Archaeological Sites: Indus Valley Civilization.
5; Religions And Beliefs: Judaism; Languages Spoken: Hebrew, Aramaic; Medicine & Public Health: Balneotherapy; Literature Genres: Tanakh, Talmud; Clothing Styles: Tallit, tefillin; Music Types: Nigun; Cuisine Recipes: Matzo ball soup, gefilte fish; Trade Routes: Incense Route; Natural Resource Management: Cedar forestry; Urban Planning & Development: Temple, synagogue; Environmental Impacts: Desertification; Transportation Methods: Caravan; Governing Bodies: Theocracy; Artisanal Crafts: Metalworking, glassblowing; Archaeological Sites: Jerusalem.
6; Religions And Beliefs: Shinto; Languages Spoken: Japanese; Medicine & Public Health: Acupuncture; Literature Genres: Kojiki, Nihon Shoki; Clothing Styles: Kimono; Music Types: Gagaku; Cuisine Recipes: Sushi, miso soup; Trade Routes: Silk Road; Natural Resource Management: Rice paddies; Urban Planning & Development: Shrine, castle; Environmental Impacts: Erosion; Transportation Methods: Palanquin; Governing Bodies: Shogunate; Artisanal Crafts: Lacquerware, ceramics; Archaeological Sites: Kyoto.
7; Religions And Beliefs: Confucianism; Languages Spoken: Chinese; Medicine & Public Health: Herbal remedies; Literature Genres: Analects, Mencius; Clothing Styles: Hanfu; Music Types: Guqin; Cuisine Recipes: Dumplings, congee; Trade Routes: Silk Road; Natural Resource Management: Terraced fields; Urban Planning & Development: City wall, palace; Environmental Impacts: Soil degradation; Transportation Methods: Sedan chair; Governing Bodies: Monarchy; Artisanal Crafts: Porcelain, bronze; Archaeological Sites: Xian.
8; Religions And Beliefs: Taoism; Languages Spoken: Chinese; Medicine & Public Health: TCM; Literature Genres: Tao Te Ching, Zhuangzi; Clothing Styles: Taoist robe; Music Types: Folk music; Cuisine Recipes: Tofu, steamed buns; Trade Routes: Silk Road; Natural Resource Management: Irrigation; Urban Planning & Development: Temple, library; Environmental Impacts: Deforestation; Transportation Methods: Palanquin; Governing Bodies: Monarchy; Artisanal Crafts: Calligraphy, painting; Archaeological Sites: Wudang Mountains.
9; Religions And Beliefs: Animism; Languages Spoken: Various; Medicine & Public Health: Shamanic healing; Literature Genres: Mythology; Clothing Styles: Cultural attire; Music Types: Drums; Cuisine Recipes: Local game, roots; Trade Routes: Hunting trails; Natural Resource Management: Sustainable hunting; Urban Planning & Development: Spirit house, longhouse; Environmental Impacts: Habitat destruction; Transportation Methods: Canoe, horseback; Governing Bodies: Tribal councils; Artisanal Crafts: Weaving, beadwork; Archaeological Sites: Star Carr.</s>
