;Recipe Name;Cuisine;Prep Time;Cook Time;Servings;Ingredient 1;Ingredient 2;Ingredient 3;Instructions;Difficulty;Prep Tools;Ingredient Source
0; Recipe Name: Chicken Alfredo Pasta;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 20 minutes;Servings: 4;Ingredient 1: 12 oz fettuccine;Ingredient 2: 2 cups cooked chicken;Ingredient 3: 1 cup heavy cream;Instructions: Combine ingredients, simmer, serve;Difficulty: Easy;Prep Tools: Pot, pan, spatula;Ingredient Source: Grocery Store
1;Recipe Name: Beef Stir Fry;Cuisine: Chinese;Prep Time: 10 minutes;Cook Time: 15 minutes;Servings: 2;Ingredient 1: 1 lb beef sirloin;Ingredient 2: 2 cups mixed vegetables;Ingredient 3: 1/4 cup stir fry sauce;Instructions: Stir fry beef and vegetables, add sauce;Difficulty: Medium;Prep Tools: Wok, spatula;Ingredient Source: Local Farmer's Market
2;Recipe Name: Vegetarian Chili;Cuisine: Mexican;Prep Time: 20 minutes;Cook Time: 40 minutes;Servings: 6;Ingredient 1: 2 tablespoons olive oil;Ingredient 2: 1 onion, chopped;Ingredient 3: 3 cloves garlic, minced;Instructions: Sauté vegetables, add beans and spices;Difficulty: Medium;Prep Tools: Pot, knife;Ingredient Source: Organic Grocery
3;Recipe Name: Quiche Lorraine;Cuisine: French;Prep Time: 15 minutes;Cook Time: 45 minutes;Servings: 6;Ingredient 1: 1 pie crust;Ingredient 2: 1 cup cooked bacon, chopped;Ingredient 3: 2 cups swiss cheese, shredded;Instructions: Mix eggs, milk, and spices, add to crust;Difficulty: Hard;Prep Tools: Oven, mixing bowl;Ingredient Source: Specialty Butcher
4;Recipe Name: Caprese Salad;Cuisine: Italian;Prep Time: 10 minutes;Cook Time: 0 minutes;Servings: 4;Ingredient 1: 2 cups fresh basil;Ingredient 2: 3 tomatoes, sliced;Ingredient 3: 8 oz fresh mozzarella;Instructions: Layer ingredients, drizzle with olive oil;Difficulty: Easy;Prep Tools: Cutting board, knife;Ingredient Source: Local Farmer's Market
5;Recipe Name: Shrimp Scampi;Cuisine: Italian;Prep Time: 10 minutes;Cook Time: 15 minutes;Servings: 4;Ingredient 1: 1 lb shrimp, peeled;Ingredient 2: 4 cloves garlic, minced;Ingredient 3: 1 cup white wine;Instructions: Sauté shrimp and garlic, add wine and butter;Difficulty: Easy;Prep Tools: Pan, spatula;Ingredient Source: Seafood Market
6;Recipe Name: Lentil Soup;Cuisine: Middle Eastern;Prep Time: 15 minutes;Cook Time: 60 minutes;Servings: 8;Ingredient 1: 2 cups lentils;Ingredient 2: 6 cups vegetable broth;Ingredient 3: 1 onion, chopped;Instructions: Cook onion, add lentils and broth;Difficulty: Medium;Prep Tools: Pot, knife;Ingredient Source: Organic Grocery
7;Recipe Name: Fish Tacos;Cuisine: Mexican;Prep Time: 15 minutes;Cook Time: 10 minutes;Servings: 6;Ingredient 1: 1 lb white fish;Ingredient 2: 1 cup cabbage, shredded;Ingredient 3: 10 corn tortillas;Instructions: Grill fish, serve with tortillas and toppings;Difficulty: Easy;Prep Tools: Grill, knife;Ingredient Source: Local Fish Market
8;Recipe Name: Spaghetti Bolognese;Cuisine: Italian;Prep Time: 20 minutes;Cook Time: 40 minutes;Servings: 6;Ingredient 1: 1 lb ground beef;Ingredient 2: 2 cups tomato sauce;Ingredient 3: 1 onion, chopped;Instructions: Brown beef, add sauce and spices;Difficulty: Medium;Prep Tools: Pot, knife;Ingredient Source: Local Farmer's Market
9;Recipe Name: Chicken Curry;Cuisine: Indian;Prep Time: 15 minutes;Cook Time: 30 minutes;Servings: 4;Ingredient 1: 1 lb chicken breasts, cut;Ingredient 2: 2 cups coconut milk;Ingredient 3: 2 tablespoons curry powder;Instructions: Cook chicken, add milk and spices;Difficulty: Medium;Prep Tools: Pot, knife;Ingredient Source: Grocery Store</s>
10; Recipe Name: Vegetable Stir Fry;Cuisine: Chinese;Prep Time: 10 minutes;Cook Time: 15 minutes;Servings: 4;Ingredient 1: 2 cups mixed vegetables;Ingredient 2: 2 tablespoons vegetable oil;Ingredient 3: 2 cloves garlic, minced;Instructions: Stir fry vegetables and garlic;Difficulty: Easy;Prep Tools: Wok, knife;Ingredient Source: Local Farmer's Market
11;Recipe Name: Beef and Broccoli;Cuisine: Chinese;Prep Time: 15 minutes;Cook Time: 20 minutes;Servings: 4;Ingredient 1: 1 lb flank steak, sliced;Ingredient 2: 2 cups broccoli florets;Ingredient 3: 1/4 cup soy sauce;Instructions: Stir fry beef and broccoli, add soy sauce;Difficulty: Medium;Prep Tools: Wok, knife;Ingredient Source: Local Farmer's Market
12;Recipe Name: Mushroom Risotto;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 30 minutes;Servings: 4;Ingredient 1: 1 cup Arborio rice;Ingredient 2: 2 cups mushrooms, sliced;Ingredient 3: 4 cups vegetable broth;Instructions: Cook rice, add broth and mushrooms;Difficulty: Hard;Prep Tools: Pot, knife;Ingredient Source: Local Farmer's Market
13;Recipe Name: Egg Fried Rice;Cuisine: Chinese;Prep Time: 10 minutes;Cook Time: 15 minutes;Servings: 4;Ingredient 1: 2 cups cooked rice;Ingredient 2: 2 eggs, beaten;Ingredient 3: 1/4 cup soy sauce;Instructions: Cook eggs, add rice and soy sauce;Difficulty: Easy;Prep Tools: Pot, knife;Ingredient Source: Local Farmer's Market
14;Recipe Name: Tomato Soup;Cuisine: American;Prep Time: 15 minutes;Cook Time: 30 minutes;Servings: 6;Ingredient 1: 2 cans diced tomatoes;Ingredient 2: 1 onion, chopped;Ingredient 3: 4 cups vegetable broth;Instructions: Simmer tomatoes, onion, and broth;Difficulty: Easy;Prep Tools: Pot, can opener, knife;Ingredient Source: Grocery Store
15;Recipe Name: Beans and Rice;Cuisine: Mexican;Prep Time: 10 minutes;Cook Time: 20 minutes;Servings: 4;Ingredient 1: 1 cup rice;Ingredient 2: 2 cups black beans, cooked;Ingredient 3: 1 cup salsa;Instructions: Cook rice, add beans and salsa;Difficulty: Easy;Prep Tools: Pot, knife;Ingredient Source: Grocery Store
16;Recipe Name: Lentil Soup;Cuisine: Indian;Prep Time: 20 minutes;Cook Time: 40 minutes;Servings: 6;Ingredient 1: 1 cup lentils;Ingredient 2: 2 carrots, diced;Ingredient 3: 4 cups vegetable broth;Instructions: Simmer lentils, carrots, and broth;Difficulty: Easy;Prep Tools: Pot, knife;Ingredient Source: Grocery Store
17;Recipe Name: Beet and Goat Cheese Salad;Cuisine: French;Prep Time: 15 minutes;Cook Time: 0 minutes;Servings: 4;Ingredient 1: 4 beets, roasted and sliced;Ingredient 2: 1/2 cup goat cheese, crumbled;Ingredient 3: 1/4 cup balsamic vinaigrette;Instructions: Toss beets, goat cheese, and vinaigrette;Difficulty: Easy;Prep Tools: Knife;Ingredient Source: Grocery Store
18;Recipe Name: Spaghetti Aglio e Olio;Cuisine: Italian;Prep Time: 10 minutes;Cook Time: 15 minutes;Servings: 4;Ingredient 1: 1 lb spaghetti;Ingredient 2: 4 garlic cloves, sliced;Ingredient 3: 1/2 cup olive oil;Instructions: Cook spaghetti, sauté garlic in oil;Difficulty: Easy;Prep Tools: Pot, knife, pan;Ingredient Source: Local Farmer's Market
19;Recipe Name: Creamy Mushroom Pasta;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 20 minutes;Servings: 4;Ingredient 1: 1 lb pasta;Ingredient 2: 2 cups mushrooms, sliced;Ingredient 3: 1 cup heavy cream;Instructions: Cook pasta, sauté mushrooms, add cream;Difficulty: Easy;Prep Tools: Pot, knife, pan;Ingredient Source: Local Farmer's Market</s>
20; Recipe Name: Caprese Salad;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 0 minutes;Servings: 4;Ingredient 1: 2 cups fresh basil;Ingredient 2: 3 tomatoes, sliced;Ingredient 3: 1/2 pound fresh mozzarella, sliced;Instructions: Layer tomatoes, mozzarella, and basil;Difficulty: Easy;Prep Tools: Knife;Ingredient Source: Local Farmer's Market
21;Recipe Name: Vegetable Fried Rice;Cuisine: Asian;Prep Time: 10 minutes;Cook Time: 20 minutes;Servings: 4;Ingredient 1: 2 cups cooked rice;Ingredient 2: 1 cup mixed vegetables (peas, carrots, corn);Ingredient 3: 2 tablespoons soy sauce;Instructions: Stir fry vegetables, add rice and soy sauce;Difficulty: Easy;Prep Tools: Wok;Ingredient Source: Grocery Store
22;Recipe Name: Minestrone Soup;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 30 minutes;Servings: 6;Ingredient 1: 1 onion, chopped;Ingredient 2: 2 cloves garlic, minced;Ingredient 3: 2 carrots, diced;Instructions: Sauté onion, garlic and carrots, add vegetables and broth;Difficulty: Easy;Prep Tools: Pot, knife;Ingredient Source: Local Farmer's Market
23;Recipe Name: Chickpea Curry;Cuisine: Indian;Prep Time: 10 minutes;Cook Time: 25 minutes;Servings: 4;Ingredient 1: 2 cans chickpeas;Ingredient 2: 1 onion, chopped;Ingredient 3: 2 cloves garlic, minced;Instructions: Sauté onion, garlic, add spices, chickpeas, and coconut milk;Difficulty: Easy;Prep Tools: Pot, knife;Ingredient Source: Grocery Store
24;Recipe Name: Tuna Pasta Salad;Cuisine: American;Prep Time: 15 minutes;Cook Time: 10 minutes;Servings: 4;Ingredient 1: 1/2 pound pasta;Ingredient 2: 2 cans tuna;Ingredient 3: 1 cup mayonnaise;Instructions: Cook pasta, mix with tuna and mayonnaise;Difficulty: Easy;Prep Tools: Pot, knife;Ingredient Source: Grocery Store
25;Recipe Name: Greek Salad;Cuisine: Greek;Prep Time: 15 minutes;Cook Time: 0 minutes;Servings: 4;Ingredient 1: 2 tomatoes, chopped;Ingredient 2: 1/2 cucumber, sliced;Ingredient 3: 1/2 cup feta cheese, crumbled;Instructions: Toss tomatoes, cucumber, and feta cheese;Difficulty: Easy;Prep Tools: Knife;Ingredient Source: Local Farmer's Market
26;Recipe Name: Lentil Soup;Cuisine: Mediterranean;Prep Time: 15 minutes;Cook Time: 30 minutes;Servings: 6;Ingredient 1: 1 cup lentils;Ingredient 2: 1 onion, chopped;Ingredient 3: 2 carrots, diced;Instructions: Simmer lentils, onion, carrots, and vegetable broth;Difficulty: Easy;Prep Tools: Pot, knife;Ingredient Source: Grocery Store
27;Recipe Name: Vegetable Stir Fry;Cuisine: Asian;Prep Time: 10 minutes;Cook Time: 10 minutes;Servings: 4;Ingredient 1: 2 cups mixed vegetables;Ingredient 2: 2 tablespoons soy sauce;Ingredient 3: 1 tablespoon sesame oil;Instructions: Stir fry vegetables, add soy sauce and sesame oil;Difficulty: Easy;Prep Tools: Wok;Ingredient Source: Local Farmer's Market
28;Recipe Name: Baked Zucchini Fries;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 20 minutes;Servings: 4;Ingredient 1: 2 zucchinis, cut into sticks;Ingredient 2: 1 cup breadcrumbs;Ingredient 3: 1/2 cup parmesan cheese;Instructions: Coat zucchini sticks in egg and breadcrumb mixture, bake;Difficulty: Easy;Prep Tools: Knife;Ingredient Source: Local Farmer's Market</s>
