;Literary Analysis; Genre; Character Development; Plot Structure; Themes; Historical Context; Cultural Significance; Author Background; Language and Style; Literary Devices; Symbolism; Imagery; Tone
0;"  ""Pride and Prejudice"""; Romance, Comedy; Elizabeth Bennet, Mr. Darcy; Rising Action, Climax, Resolution; Class, Love, Marriage; Regency Era; Feminist Ideals; Jane Austen; Witty Banter, Irony; Foreshadowing, Satire; Roses, Pemberley; Proud, Hopeful; Warm
1;" ""To Kill A Mockingbird"""; Social Drama; Scout Finch, Atticus Finch; Exposition, Rising Action, Falling Action, Denouement; Racism, Morality, Innocence; Great Depression; Civil Rights Movement; Harper Lee; Simple Language, Southern Dialect; Symbolism, Suspense; Boo Radley, Courage; Prejudice, Justice;
2;" ""1984"""; Dystopian, Science Fiction; Winston Smith, Big Brother; Linear, Deterministic; Power, Individuality, Reality; Post-War; Totalitarianism; George Orwell; Direct, Bare; Allegory, Propaganda; Room 101, Telescreen; Oppressive, Desperate; Grim
3;" ""Beloved"""; Historical Fiction, Magical Realism; Sethe, Paul D; Flashbacks, Dreams, Repetition; Slavery, Love, Motherhood; Post-Civil War; Woman's Rights, Slavery; Toni Morrison; Rich Symbolism, Stream of Consciousness; Ghosts, Memory; Beloved, Painful Past; Healing, Redemption; Soothing, Hopeful
4;" ""The Great Gatsby"""; Tragedy, Social Commentary; Jay Gatsby, Nick Carraway; Rising Action, Reversal, Falling Action; Wealth, Love, Illusion; Roaring Twenties; American Dream; F. Scott Fitzgerald; Imagery, Foreshadowing; Green Light, Valley of Ashes; Melancholic, Unattainable; Waste, Discontent;
5;" ""Catch-22"""; Satire, War; John Yossarian, Colonel Cathcart; Illogical Sequence; Power, Sanity, Survival; World War II; Military, Humanity; Joseph Heller; Ironic Reversals, Repetition; Catch-22, Death; Absurd, Inevitable; Fear, Flight; Grotesque
6;" ""Jane Eyre"""; Gothic, Romance; Jane Eyre, Mr. Rochester; Linear; Love, Self-Discovery, Equality; Victorian Era; Women's Rights; Charlotte Brontë; Metaphors, foreshadowing; Bertha Mason, Thornfield; Madness, Love; Dark, Hopeful; Intense, Nurturing
7;" ""One Hundred Years of Solitude"""; Magical Realism, Family Saga; Macondo, Buendía family; Repeating Sequences of Seven Generations; Family, Tradition, Solitude; Latin America; Historical Mythology; Gabriel Garcia Márquez; Symbolic, Intricate; Gypsies, Yellow Butterflies; Melancholic, Spiritual; Mystical, Tragic;
8;" ""Brave New World"""; Dystopia, Science Fiction; Bernard Marx, Lenina Crowne; Linear; Stability, Individuality, Freedom; Future (632 A.F.); Genetic Engineering; Aldous Huxley; Graphic Imagery, Symbolism; Bokanovsky Process, Soma; Unnatural, Controlled; Harsh, Sterile; Predatory, Threatening
9;" ""The Catcher in the Rye"""; Coming of Age; Holden Caulfield; Sequential Events; Innocence, Alienation, Coming of Age; Post-World War II America; Teenage angst; J.D. Salinger; Informal colloquial style, Irony; Red Hunting Hat, Central Park; Confused, Vulnerable; Fragile, Protective; Naïve, Hopeful</s>
10;"  ""To Kill a Mockingbird"""; Social Justice, Southern Gothic; Scout Finch, Atticus Finch; Parallel; Racial Discrimination, Morality, Courage; 1930s America; Legal Injustice; Harper Lee; Descriptive, Poetic; Mockingbird, Boo Radley; Innocent, Heroic; Wise, Redemptive; Sincere, Empathetic 
11;" ""1984"""; Dystopia, Political Fiction; Winston Smith, Julia; Non-linear; Surveillance, Totalitarianism, Resistance; Post-World War II; Dystopic Government; George Orwell; Direct, Bleak; Room 101, Telescreen; Orwellian, Oppressive; Grim, Desperate; Paranoid, Hopeless 
12;" ""Pride and Prejudice"""; Romance, Social Commentary; Elizabeth Bennet, Mr. Darcy; Chronological; Love, Social Class, Marriage; Regency Era England; Women's Lives; Jane Austen; Witty, Sardonic; Red Room, Pemberley; Proud, Humble; Bias, Understanding; Passionate, Idealistic 
13;" ""The Great Gatsby"""; Tragedy, Social Commentary; Jay Gatsby, Nick Carraway; Flashbacks; American Dream, Class, Morality; Jazz Age America; Disillusionment; F. Scott Fitzgerald; Elegiac, Melancholic; Green Light, Valley of Ashes; Longing, Regret; Cynical, Superficial; Idealistic, Corrupt 
14;" ""Jane Eyre"""; Gothic, Coming of Age; Jane Eyre, Mr. Rochester; Chronological; Love, Independence, Morality; 19th Century England; Social Inequality; Charlotte Bronte; Rich, Poetic; Red Room, Thornfield Hall; Rebellious, Forbidden; Mysterious, Turbulent; Passionate, Complicated 
15;" ""Frankenstein"""; Science Fiction, Gothic; Victor Frankenstein, The Creature; Non-linear; Ambition, Responsibility, Love; Romantic Era; Scientific Ethics; Mary Shelley; Metaphorical, Descriptive; Monster, Ice; Tragic, Revenge; Lonely, Terrifying; Sympathetic, Monstrous 
16;" ""The Odyssey"""; Epic, Adventure; Odysseus, Telemachus; Sequential; Identity, Loyalty, Wisdom; Ancient Greece; Heroism, Testing; Homer; Epic, Poetic; Cyclops, Sirens; Cunning, Danger; Resilient, Treacherous; Wise, Resourceful 
17;" ""The Scarlet Letter"""; Tragedy, Morality; Hester Prynne, Arthur Dimmesdale; Sequential; Sin, Reputation, Redemption; Puritan America; Hypocrisy, Reform; Nathaniel Hawthorne; Symbolic, Descriptive; A, Red; Guilty, Shameful; Secretive, Vulnerable; Brave, Resolute 
