;Condition Name; Animal Type; Breed; Age; Gender; Symptoms; Diagnosis; Treatment Duration; Cost; Prescribed Medication
0;  Arthritis; Dog; Labrador Retriever; 8 years; Female; Limping, Swelling in Joints; Osteoarthritis; Long-term; High; Rimadyl, Glucosamine Supplements
1; Diabetes; Cat; Siamese; 7 years; Male; Excessive Thirst, Weight Loss; Diabetes Mellitus; Long-term; High; Insulin Injections, Special Diet
2; Heartworm Disease; Dog; German Shepherd; 3 years; Male; Coughing, Fatigue; Dirofilaria Immitis; Medium-term; Medium; Heartworm Preventative, Antiparasitics
3; Kidney Disease; Cat; Persian; 12 years; Female; Increased Urination, Lethargy; Chronic Kidney Disease; Long-term; High; Subcutaneous Fluids, Special Diet
4; Allergies; Dog; Bulldog; 2 years; Male; Itching, Skin Rash; Atopic Dermatitis; Long-term; Medium; Antihistamines, Steroids, Specialized Shampoos
5; Obesity; Cat; Domestic Shorthair; 5 years; Male; Overeating, Lethargy; Obesity; Short-term; Low; Special Diet, Encourage Exercise
6; Dental Disease; Dog; Chihuahua; 6 years; Female; Bad Breath, Difficulty Eating; Periodontal Disease; Short-term; Low; Dental Cleaning, Tooth Extraction
7; Upper Respiratory Infection; Cat; Maine Coon; 1 year; Male; Sneezing, Nasal Discharge; Feline Upper Respiratory Infection; Short-term; Low; Antibiotics, Supportive Care
8; Epilepsy; Dog; Golden Retriever; 4 years; Female; Seizures, Disorientation; Idiopathic Epilepsy; Long-term; High; Anticonvulsant Medication, Regular Monitoring
9; Flea Allergy Dermatitis; Cat; Bengal; 3 years; Male; Itching, Hair Loss; Flea Allergy Dermatitis; Long-term; Medium; Antihistamines, Steroids, Flea Preventative.</s>
10;  Hip Dysplasia; Dog; German Shepherd; 2 years; Female; Limping, Decreased Range of Motion; Hip Dysplasia; Long-term; High; Pain Relievers, Joint Supplements, Physical Therapy
11; Heartworm Disease; Dog; Labrador Retriever; 5 years; Male; Coughing, Fatigue; Heartworm Disease; Long-term; Medium; Antiparasitic Medication, Regular Testing
12; Diabetes Mellitus; Cat; Siamese; 7 years; Male; Increased Thirst, Weight Loss; Diabetes Mellitus; Long-term; High; Insulin, Diet Management
