Reproduction | Body Type | Movement Capability | Locomotion | Lifespan | Nutrition | Respiration | Habitat 
Oviparous | Bilaterally Symmetrical | Feet, Fins, Wings, etc. | Bipedal | Long | Omnivore | Aerobic | Terrestrial 
Ovoviviparous | Radially Symmetrical | Cilia, Flagella | Quadrupedal | Short | Herbivore | Anaerobic | Aquatic 
Viviparous | Asymmetrical | None | Crawling | Medium | Carnivore | breathe oxygen | Mixed 
Oviparous | Bilaterally Symmetrical | None | Swimming | Long | Detritivore | unknown | Burrowing 
Viviparous | Bilaterally Symmetrical | Wings | Crawling | Short | Insectivore | Aerobic | Arboreal 
Oviparous | Asymmetrical | None | Flying | Medium | Carnivore | Anaerobic | Subterranean 
Viviparous | Bilaterally Symmetrical | None | Swimming | Long | Detritivore | Aerobic | Aquatic 
Oviparous | Radially Symmetrical | None | Swimming | Medium | Herbivore | Aerobic | Reptilian 
Viviparous | Asymmetrical | None | Bipedal | Short | Omnivore | Anaerobic | Urban 
Ovoviviparous | Bilaterally Symmetrical | Fins | Swimming | Long | Carnivore | breathe oxygen | Marine 
Oviparous | Radially Symmetrical | Tendrils | Crawling | Medium | Insectivore | Anaerobic | Desert 
Viviparous | Asymmetrical | Feet | Crawling | Short | Herbivore | Aerobic | Grasslands 
Oviparous | Radially Symmetrical | None | Flying | Medium | Detritivore | breathe oxygen | Tropical 
Viviparous | Bilaterally Symmetrical | None | Bipedal | Long | Carnivore | Aerobic | Temperate 
Oviparous | Radially Symmetrical | None | Swimming | Short | Omnivore | Anaerobic | Tundra 
Ovoviviparous | Bilaterally Symmetrical | Wings | Flying | Long | Insectivore | breathe oxygen | Mountain
