Kingdom | Phylum | Class | Order | Suborder | Genus | Species | Common Name 
Eukarya | Arthropoda | Insecta | Hymenoptera | Apocrita | Apis | mellifera | Honey Bee
Eukarya | Arthropoda | Insecta | Lepidoptera | Glossata | Papilio | zelicaon | Anise Swallowtail
Eukarya | Mollusca | Gastropoda | Neritimorpha | Neritopsina | Neritina | reclivata | Rocky Intertidal Nerite
Eukarya | Chordata | Reptilia | Squamata | Lacertilia | Uromastyx | maliensis | Spiny-tailed Lizard
Eukarya | Arthropoda | Crustacea | Malacostraca | Decapoda | Penaeus | setiferus | Northern Brown Shrimp 
Eukarya | Chordata | Aves | Charadriiformes | Charadrii | Charadrius | alexandrinus | Snowy Plover
Eukarya | Chordata | Actinopterygii | Cyprinodontiformes | Poeciliidae | Poecilia | reticulata | Guppy
Eukarya | Chordata | Mammalia | Carnivora | Canidae | Vulpes | macrotis | Kit Fox 
Eukarya | Mollusca | Polyplacophora | Chitonida | Ischnochitonina | Acanthopleura | echinata | Spiny Chiton
Eukarya | Arthropoda | Arachnida | Scorpiones | Buthidae | Centruroides | sculpturatus | Arizona Bark Scorpion
