Kingdom | Phylum | Class | Order | Genus | Species | Common Name | Suborder | Subphylum | Size 
Eukarya | Chordata | Aves | Passeriformes | Passer | domesticus | House Sparrow | Passeri | vertebrata | Small 
Eukarya | Chordata | Mammalia | Carnivora | Vulpes | vulpes | Red Fox | Caniformia | Vertebrata | Medium 
Eukarya | Chordata | Aves | Anseriformes | Aix | sponsa | Wood Duck | Anseri | Vertebrata | Medium
Eukarya | Chordata | Mammalia | Insectivora | Sorex | spp. | Shrews | | Vertebrata | Small
Eukarya | Chordata | Aves | Gaviiformes | Gavia | immer | Common Loon | | Vertebrata | Large
Eukarya | Chordata | Mammalia | Rodentia | Tamias | striatus | Eastern Chipmunk | |Vertebrata | Small 
Eukarya | Chordata | Aves | Ciconiiformes | Phoenicopterus | ruber | American Flamingo | Ciconiides | Vertebrata | Large 
Eukarya | Chordata | Mammalia | Artiodactyla | Sus | scrofa | Wild Pig | Ruminantia | Vertebrata | Medium 
Eukarya | Chordata | Aves | Columbiformes | Streptopelia | turtur | European Turtle Dove | Columbides | Vertebrata | Small 
Eukarya | Chordata | Mammalia | Chiroptera | Myotis | lucifugus | Little Brown Bat | Vespertilionidae | Vertebrata | Small
Eukarya | Chordata | Aves | Pelecaniformes | Threskiornis | aethiopicus | African Sacred Ibis | | Vertebrata | Medium 
Eukarya | Chordata | Mammalia | Primates | Macaca | mulatta | Rhesus Monkey | Catarrhini | Vertebrata | Medium
Eukarya | Chordata | Aves | Anseriformes | Cygnus | atratus | Mute Swan | | Vertebrata |Large
Eukarya | Chordata | Mammalia | Myomorpha | Mus | musculus | House Mouse | | Vertebrata | Small
Eukarya | Chordata | Aves | Charadriiformes | Charadrius | vociferus | Killdeer | |Vertebrata | Small
Eukarya | Chordata | Mammalia | Hyracoidea | Procavia | capensis | Cape Rock Hyrax | | Vertebrata | Small 
Eukarya | Chordata | Aves | Coraciiformes | Coracias | garrulus | European Roller | | Vertebrata | Medium
Eukarya | Chordata | Mammalia | Chiroptera | Tadarida | brasiliensis | Mexican Free-tailed Bat | Molossidae | Vertebrata | Small
