Name | Country | Continent | Region | Altitude | Latitude | Longitude | Average Temperatures | Rainfall (in.) | Humidity | Wind | Sun 
Adamstown, NSW | Australia | Australasia | Australia | 16 m | 33.0 | 151.8 | Average Monthly mean 17.6°C | 594mm | Humid | 11.6 kph | 4.4 hrs
Geelong | Australia | Australasia | Australia | 30 m | 38.1 | 144.3 | Average Monthly mean 13.8°C | 598mm | Humid | 11.8 kph | 5.8 hrs
Melbourne | Australia | Australasia | Australia | 78 m | 37.7 | 144.9 | Average Monthly mean 13.7°C | 686mm | Humid | 13.2 kph | 5.7 hrs
Sydney | Australia | Australasia | Australia | 34 m | 33.7 | 151.3 | Average Monthly mean 20.6°C | 1022mm | Humid | 13.2 kph | 5.9 hrs
Perth | Australia | Australasia | Australia | 18 m | 31.9 | 115.9 | Average Monthly mean 22.7°C | 552mm | Humid | 14.9 kph | 6.9 hrs
Alice Springs | Australia | Australasia | Australia | 500 m | 23.7 | 133.9 | Average Monthly mean 18.4°C | 314mm | Humid | 14.2 kph | 6.9 hrs
Mount Gambier | Australia | Australasia | Australia | 417 m | 37.8 | 140.7 | Average Monthly mean 15.9°C | 671mm | Humid | 13.5 kph | 5.1 hrs
Emerald | Australia | Australasia | Australia | 690 m | 23.5 | 148.1 | Average Monthly mean 19.8°C | 1176mm | Humid | 11.1 kph | 6.1 hrs
Surfers Paradise | Australia | Australasia | Australia | 6 m | 28.0 | 153.4 | Average Monthly mean 26.1°C | 901mm | Humid | 11.4 kph | 5.9 hrs
Hervey Bay | Australia | Australasia | Australia | 7 m | 25.3 | 152.9 | Average Monthly mean 24.3°C | 1095mm | Humid | 8.2 kph | 6.2 hrs
Hobart | Australia | Australasia | Australia | 24 m | 42.9 | 147.2 | Average Monthly mean 10.4°C | 99mm | Humid | 14.4 kph | 4.7 hrs
Cairns | Australia | Australasia | Australia | 7 m | 16.9 | 145.7 | Average Monthly mean 25.6°C | 1661mm | Humid | 17.1 kph | 7.2 hrs
