Hardware | Network | Microarchitecture | Encoding | Bus
Memory | Wi-Fi | K8 | Hexadecimal | PCI-Express
Monitor | 4G | K10 |Base32  | IDE
Server | VPN | K7 | Base64 | SATA 
Video Card | DSL | Bulldozer | URL | SCSI
Keyboard | Ethernet | Jaguar | ISO-8859-1 | VMEbus
Hard Disk | Coaxial | Phenom | ASCII | Fibre Channel
Speaker | WiMax | Piledriver | YUY2 | ISA
Router | 5G | Steamroller | JPEG | HyperTransport
Modem | Mesh Network | Excavator | PNG | USB
Printer | GSM | Bobcat | UTF-8 | Thunderbolt 
Power Supply | Bluetooth | Brazos | UDP | Firewire
