Word | Structure | Function | Regulation | Chromosome | Location | Origin | Type | Subtype | Mutation | Allele | Epigenetics | Genomics | Cellular Respiration
Gene | Exons and Introns | Express Proteins | Protein-DNA Interactions | Autosome | Genetic Locus | Eg Polymorphism | Transcription | None | Change in DNA Sequence | Variant of a Gene | Process of Gene Expression | Science of Genome Sequencing | Metabolism of Organic Compounds
RNA | Untranslated Region | Translate from Gene | Transcriptional Regulation | N/A | N/A | Non-Coding | Protein Synthesis | mRNA | N/A | N/A | N/A | N/A | N/A | N/A
Mutation | N/A | Affects Genotype | Natural Selection | N/A | N/A | Environmental | Evolution | Point | N/A | N/A | N/A | N/A | N/A
Epigenetics | Post-Translational Modification | Determination of Cell Type | DNA Methylation | N/A | Promoter DNA | Parental | Cell Cycle | Gene Expression | N/A | N/A | N/A | N/A | N/A
Allele | Protein Coding Region | Adds Diversity | Alteration of Genomic Sequence | Single | Codon | Chromosomal Mutation | Heredity | Dominant | N/A | N/A | N/A | N/A | N/A
Chromosome | Telomeres | Stores Genetic Info | Chemical Structure | DNA Sequences | Nuclear Envelope | Mutagenic Agents | DNA Replication | Chromatin | N/A | N/A | N/A | N/A | N/A
Cellular Respiration | Mitochondria | Provide Energy | Electron Transfer | N/A | Vacuole | Glucose | Photosynthesis | Oxidation | N/A | N/A | N/A | N/A | N/A
Genotype | N/A | Maintain Species | Hormonal Regulation | N/A | N/A | Parental | Development | Phenotype | N/A | N/A | N/A | N/A | N/A
Chromatin | Histone Proteins | Regulate Transcription | Chemical Structure | N/A | N/A | Nuclear Envelope | Protein Synthesis | Gene Activity | N/A | N/A | N/A | N/A | N/A
Transcription Factor | N/A | Activate Gene Expression | Protein Composition | N/A | Enhancer/Promoter | None | Cell Cycle | Gene Expression | N/A | N/A | N/A | N/A | N/A
Genomics | N/A | Pharmacogenomics | Clinical Trials | N/A | N/A | Deciphering |Human Health | Engineering | N/A | N/A | N/A | N/A | N/A
