Chronostratigraphic | Lithologic       | Online    | Geomagnetic   | Geochemical     | 
Middle Jurassic     | Oolitic          | Microscope | Magnetic Field | Sedimentary Rock | 
Quaternary          | Clastic          | Tectonic   | Geentic Field  | Organic Matter   | 
Triassic           | Conglomerate     | Lobe       | Alignments     | Salts            | 
Paleozoic          | Glaciers         | Cascade    | Remanent Dipole | Fluid            | 
Mesoproterozoic    | Evaporites       | Channel    | Spectrum       | Pyroclastics     | 
Ordovician         | Delta            | Flume      | Tectonically   | Rare Earths      | 
Upper Jurassic     | Alluvial         | Lineament  | Eddy Currents  | Metals           | 
Cretaceous         | Turbidite        | rifted     | Gravitational  | Magmas           | 
Permian            | Mulm             | Ridge      | Signature      | Isotopes         | 
Cambrian-Ordovician| Phosphatic       | Basin      | Anomalies      | Hydrocarbon      | 
Devonian           | Breccia          | Sheath     | Declination    | Volatiles        | 
Silurian           | Sand             | Margin     | Heating        | Sulfate Rocks    |
