Sequence | Geometric | Arithmetic | 
1, 2, 3, 4, ... | Several | Progression | 
4, 8, 16, 32, ... | Progression | Series | 
2, 4, 8, 16, ... | Possibilities | Many | 
2, 5, 10, 20, ... | Finite | Variants | 
3, 9, 27, 81, ... | Types | Pattern | 
5, 10, 15, 20, ... | Number | Rules | 
2, 6, 18, 54, ... | Components | Linear | 
7, 14, 28, 56, ... | Ratios | Notation | 
5, 15, 45, 135, ... | System | Expressions | 
7, 22, 67, 202, ... | Arrangements | Variety | 
9, 27, 81, 243, ... | Combinations | Graphs |
