Note|Musician|Octave|Tone|Harmony|Genre|Instrument|Rhythm|Dynamics|Sound|Lyric|Cadence|Artform|Mood
C|Lukas|High|C|Minor|Metal|Guitar|Fast|Mp|Soft|No|Staccato|Rock|Aggressive
G|John|Low|G|Major|Funk|Bass|Slow|Ff|Loud|Yes|Legato|Pop|Upbeat
E|Joel|Medium|E|Minor|Country|Banjo|Medium|Mf|Soft|No|Sharp|Folk|Emotional
F|John|High|F|Major|Showtunes|Piano|Fast|Mp|Loud|Yes|Legato|Musical|Happy
Bb|Harrison|Low|Bb|Minor|Opera|Vocals|Slow|Ff|Soft|Yes|Staccato|Opera|Dramatic
C#|Aerosmith|Medium|C#|Major|Jazz|Saxophone|Fast|Mf|Loud|No|Quick|Jazz|Intense
B|Adele|High|B|Minor|Pop|Drums|Medium|Ff|Soft|No|Staccato|R&B|Somber
Ab|Bob|Low|Ab|Major|R&B|Trumpet|Fast|Mp|Loud|Yes|Legato|Soul|Romantic
Eb|Creek|Medium|Eb|Minor|Blues|Clarinet|Slow|Mf|Soft|No|Sharp|Reggae|Chill
G#|Lapin|High|G#|Major|Reggae|Harmonica|Fast|Ff|Loud|Yes|Staccato|Dancehall|Lively
D|Diana|Low|D|Minor|Techno|Synthesizer|Medium|Mp|Soft|No|Quick|Electronica|Weird
F#|Metallica|Medium|F#|Major|Punk|Guitar|Fast|Mf|Loud|Yes|Legato|Indie|Animated
A|Pretenders|High|A|Minor|Indie|Organ|Slow|Ff|Loud|No|Staccato|Alternative|Grungy
Bm|Politics|Low|Bm|Major|Hip-Hop|Vocals|Medium|Mp|Soft|Yes|Legato|Rap|Reflective
Abm|Rihanna|Medium|Abm|Minor|World|Flute|Fast|Ff|Loud|No|Quick|World|Energetic
