| Word          | Definition      | Synonyms           | Origin             |
| ----------- | ------------- | ------------------ | ------------------ |
| Midas        | Turn to gold   | Wealthy, Rich      | Greek              |
| Gaea         | Earth mother   | Terra, Tellus      | Greek              |
| Typhon       | Storm giant    | Enceladus, Chimaera| Greek              |
| Prometheus   | Fire bringer   | Epimetheus         | Greek              |
| Apate        | Deceit goddess | Dolos, Mendacia    | Greek              |
| Echidna      | Half-woman     | Sow-monster        | Greek              |
| Charon       | Boatman        | Boat carrier       | Greek              |
| Poseidon     | God of sea     | Neptune, Earth-shaker| Greek              |
| Hecate       | Triple Goddess | Artemis            | Greek              |
| Hades        | Underworld god | Plouton            | Greek              |
| Teumessian   | Fox            | Cadmian fox        | Greek              |
| Theseus      | Adventurer     | Labdacus           | Greek              |
| Proteus      | Old man        | Helper, Heracles   | Greek              |
| Orpheus      | Music master   | Argonaut           | Greek              |
