| Word        | Definition  | Related Beings        | Origin              |
| ---------- | ----------- | ---------------------- | ------------------- |
| Odin        | Father God  | Yggdrasil, Sleipnir   | Norse               |
| Loki        | Trickster   | Midgard Serpent        | Norse               |
| Thor        | Storm god   | Mjölnir, Jörmungandr  | Norse               |
| Freya       | Goddess     | Brisingamen, Hildisvíni| Norse               |
| Heimdall    | Guardian    | Gjallarhorn, Vor      | Norse               |
| Fenrir      | Wolf        | Skoll, Hati           | Norse               |
| Ratatoskr   | Squirrel    | N/A                   | Norse               |
| Ratatoskr   | Squirrel    | N/A                   | Norse               |
| Ymir        | Frost Giant | Audhumla, Bergelmir   | Norse               |
| Utgard-Loki | Giant       | Skrymir, Giantess     | Norse               |
| Surtr       | Fire Giant  | Surtur, Muspellsheimr | Norse               |
| Midgardsor  | World Serpent| N/A                   | Norse               |
| Sleipnir    | Odins Horse | N/A                   | Norse               |
