Family | Latin Name | Kingdom | Phylum | Class | Order | Suborder | Genus | Species | Common Name | Size 
Animalia | Didelphis virginiana | Eukarya | Chordata | Mammalia | Didelphimorphia | Didelphinae | Didelphis | virginiana | Virginia Opossum | Medium 
Arachnida | Latrodectus mactans | Eukarya | Arthropoda | Arachnida | Araneae | Theridiidae | Latrodectus | mactans | Black Widow | Small 
Reptilia | Alligator mississippiensis | Eukarya | Chordata | Reptilia | Alligatoridae |Alligatorinae | Alligator | mississippiensis | American Alligator | Large 
Annelida | Lumbricus terrestris | Eukarya | Ecdysozoa | Nematoda | Enoplea | Lumbricidae | Lumbricus | terrestris | Earthworm | Small 
Arthropoda | Limulus polyphemus | Eukarya | Arthropoda | Merostomata | Xiphosura | Limulidae | Limulus | polyphemus | Horseshoe Crab | Medium 
Mollusca | Mytilus edulis | Eukarya | Mollusca | Bivalvia | Mytilidae | Mytilus | edulis | Blue Mussel | Small 
Chondrichthyes | Squalus spp. | Eukarya | Chordata | Chondrichthyes | Squaliformes | Squalidae | Squalus | spp. | Dogfish Shark | Medium
Actinopterygii | Anguilla anguilla | Eukarya | Chordata | Actinopterygii | Anguilliformes | Anguillidae | Anguilla | anguilla | European Eel | Medium 
Aves | Accipiter cooperii | Eukarya | Chordata | Aves | Accipitriformes | Accipitridae | Accipiter | cooperii | Cooper's Hawk | Small
Vertebrata | Elasmobranchii | Eukarya | Chordata | Vertebrata | Elasmobranchii | | | | Sharks, Rays, Skates | Medium
