| Word         | Definition   | Synonyms           | Origin             |
| ------------ | ------------ | ------------------ | ------------------ |
| Chimera      | Monstrous    | Fabulous creature  | Greek              |
| Siren        | Half-human   | Harpy, Lorelei     | Greek              |
| Basilisk     | King serpent | Cockatrice         | Greek, Roman       |
| Minotaur     | Human-bull   | Man bull, Asterius | Greek              |
| Cyclops      | One-eyed     | Polyphemus         | Greek              |
| Unicorns     | Horned horse | Monoceros, Narwhal | European           |
| Pegasus       | Winged horse | Kelpie             | Greek              |
| Centaur      | Man-horse    | Hippocentaurs      | Greek              |
| Gorgon       | Women-monster| Euryale            | Greek              |
| Phoenix      | Fire bird    | Benu, Huma         | Greek, Roman       |
| Hydra        | Snake-human  | Antaeus            | Greek              |
| Cerberus     | Three-headed | Dog of Hades       | Greek              |
| Nymph        | Nature spirit| Dryad, Oread       | Greek, Roman       |
