;SiteName; SiteType; Period; GPSLocation; Discoverer; DiscoveryYear; ArtifactsCount; ArtifactCondition; PreservationMethod; Researcher3; Researcher4; ResearchBudget
0;" ""Pompeii"" ";" ""City"" ";" ""Roman"" ";" ""40.7489° N, 14.5085° E"" ";" ""Rocque Joaquin de Alcubierre"" ";" ""1748"" ";" ""10000+"" ";" ""Fair"" ";" ""In-situ preservation, cast-making"" ";" ""Dr. Maria Luisa Fulvia Gacta"" ";" ""Dr. Andrea Caldi"" ";" ""€12,000,000"""
1;"""Tutankhamun's Tomb"" ";" ""Tomb"" ";" ""Ancient Egyptian"" ";" ""25.4513° N, 32.3618° E"" ";" ""Howard Carter"" ";" ""1922"" ";" ""5000"" ";" ""Poor"" ";" ""Anoxic environment, temperature control"" ";" ""Dr. Salima Ikram"" ";" ""Dr. David O'Connor"" ";" ""£6,000,000"""
2;"""Machu Picchu"" ";" ""Citadel"" ";" ""Inca"" ";" ""13.1627° S, 72.5456° W"" ";" ""Hiram Bingham"" ";" ""1911"" ";" ""200"" ";" ""Good"" ";" ""Revegetation of the site, minimal human contact"" ";" ""Dr. Manuel Castillo"" ";" ""Dr. Johan Reinhard"" ";" ""USD $800,000"""
3;"""Troy"" ";" ""City"" ";" ""Trojan"" ";" ""39.5542° N, 26.7227° E"" ";" ""Heinrich Schliemann"" ";" ""1871"" ";" ""1500"" ";" ""Fair"" ";" ""Site consolidation, stabilization"" ";" ""Prof. Türkan Sakaoğlu"" ";" ""Prof. Eric Cline"" ";" ""€4,500,000"""
4;"""Palmyra"" ";" ""City"" ";" ""Classical Syrian"" ";" ""34.5545° N, 38.2728° E"" ";" ""British Empire, via Gertrude Bell"" ";" ""1917"" ";" ""1000"" ";" ""Poor"" ";" ""Emergency stabilization, documentation"" ";" ""Dr. Maryam Wissam Al-Abdulhadi"" ";" ""Dr. Neil Faulkner"" ";" ""USD $2,500,000"""
5;"""Great Zimbabwe"" ";" ""Royal palace compound"" ";" ""Medieval Shona"" ";" ""20.0001° S, 30.2725° E"" ";" ""Portuguese explorers"" ";" ""1510s"" ";" ""800"" ";" ""Fair"" ";" ""Site fencing, minimal excavation"" ";" ""Prof. Innocent Pikirayi"" ";" ""Prof. Kodzo Gavua"" ";" ""ZAR 8,000,000"""
6;"""Peking Man Site"" ";" ""Fossil remains"" ";" ""Paleolithic"" ";" ""40.2085° N, 116.1836° E"" ";" ""Johan Gunnar Andersson"" ";" ""1927"" ";" ""500"" ";" ""Poor"" ";" ""Site relocation, re-excavation"" ";" ""Dr. Wu Xinzhi"" ";" ""Dr. Qiu Zhanwang"" ";" ""CNY ¥17,000,000"""
7;"""Tikal"" ";" ""City"" ";" ""Mayan"" ";" ""17.2202° N, 89.6195° W"" ";" ""Modern local explorers"" ";" ""1848"" ";" ""1500"" ";" ""Fair"" ";" ""Site stabilization, controlled excavation"" ";" ""Dr. Miguel Orrego Corzo"" ";" ""Dr. Federico Fahsen"" ";" ""USD $6,500,000"""
8;"""Angkor Wat"" ";" ""Temple complex"" ";" ""Ancient Khmer"" ";" ""13.4125° N, 103.8667° E"" ";" ""French colonizers"" ";" ""1860"" ";" ""3000"" ";" ""Good"" ";" ""Documentation, mapping project"" ";" ""Dr. Damian Evans"" ";" ""Dr. Roland Fletcher"" ";" ""USD $10,000,000"""
9;"""Pomposa Abbey"" ";" ""Monastery"" ";" ""Medieval Italian"" ";" ""44.7558° N, 12.0827° E"" ";" ""Local historian"" ";" ""1681"" ";" ""600"" ";" ""Poor"" ";" ""Restoration, historical records maintenance"" ";" ""Dr. Giovanni Piscitelli"" ";" ""Dr. Barbara Picci"" ";" ""€5,000,000""</s>"
