;Artist Birthplace; Artist Nationality; Artwork Influences; Cultural Significance; Famous Works; Historical Context; Iconic Pieces; Influential Artists; Movement; Period; Style; Techniques
0;  Artist Birthplace: Barcelona, Spain; Artist Nationality: Spanish; Artwork Influences: Cubism, Spanish culture and landscape; Cultural Significance: Pioneered Cubism with Georges Braque, revolutionizing European art;" Famous Works: ""Les Demoiselles d'Avignon"", ""Guernica"""; Historical Context: Early 20th century Europe marked by wars and societal shifts;" Iconic Pieces: ""Guernica"", a political statement against the bombing of Guernica during Spanish Civil War"; Influential Artists: Paul Cézanne; Movement: Cubism; Period: Modern Art; Style: Abstract; Techniques: Faceted angles, fragmented forms.
1; Artist Birthplace: Vienna, Austria; Artist Nationality: Austrian; Artwork Influences: Psychological exploration, human perception; Cultural Significance: Explored the unconscious mind, birthing Surrealism;" Famous Works: ""The Persistence of Memory"", ""The Temptation of St. Anthony"""; Historical Context: Inter-war Europe, Freudian psychology's rise;" Iconic Pieces: ""The Persistence of Memory"" with its melting clocks"; Influential Artists: Giorgio de Chirico; Movement: Surrealism; Period: Modern Art; Style: Symbolist, Fantastic; Techniques: Somnolent precision, dreamlike illogic.
2; Artist Birthplace: Florence, Italy; Artist Nationality: Italian; Artwork Influences: Renaissance humanism, naturalism;" Cultural Significance: Painted ""Mona Lisa"" and ""The Last Supper"", defining Renaissance ideals";" Famous Works: ""Mona Lisa"", ""The Last Supper"""; Historical Context: Italian Renaissance, cultural and intellectual rebirth;" Iconic Pieces: ""Mona Lisa"", perhaps the most recognized portrait"; Influential Artists: Masaccio; Movement: Italian Renaissance; Period: Renaissance; Style: Realist; Techniques: Linear perspective, sfumato.
3; Artist Birthplace: Leiden, Netherlands; Artist Nationality: Dutch; Artwork Influences: Observing the mundane, light and shadow; Cultural Significance: Master of genre painting, shaped Northern European realism;" Famous Works: ""The Milkmaid"", ""The Girl with a Pearl Earring"""; Historical Context: Dutch Golden Age, economic prosperity;" Iconic Pieces: ""The Girl with a Pearl Earring"", mysterious and captivating"; Influential Artists: Caravaggio; Movement: Dutch Golden Age; Period: Baroque; Style: Realist; Techniques: Tenebrism, smooth brushwork.
4; Artist Birthplace: Argenteuil, France; Artist Nationality: French; Artwork Influences: Impression of light and color, modern life; Cultural Significance: Founding Impressionist, captured fleeting moments in contemporary settings;" Famous Works: ""Impression, Sunrise"", ""Ballet Rehearsal"""; Historical Context: Industrial Revolution, shift towards modernity;" Iconic Pieces: ""Impression, Sunrise"", origin of the term 'Impressionism'"; Influential Artists: Eugène Boudin; Movement: Impressionism; Period: Modern Art; Style: Naturalistic; Techniques: Visible brushwork, optical mixture.
5; Artist Birthplace: Moscow, Russia; Artist Nationality: Russian; Artwork Influences: Russian folklore, symbolism;" Cultural Significance: Pioneered Russian art Nouveau, known for ""The Seasons"" series";" Famous Works: ""The Seasons"" series"; Historical Context: Late 19th-century Russia, rural-urban divide;" Iconic Pieces: ""Spring"", ethereal and lyrical"; Influential Artists: Viktor Vasnetsov; Movement: Russian Symbolism; Period: Post-Romanticism; Style: Mystical, Decorative; Techniques: Intricate line work, decorative elements.
6; Artist Birthplace: New York, USA; Artist Nationality: American; Artwork Influences: Urban landscapes, social issues; Cultural Significance: Leading American Realist, tackled themes of industrialization and poverty;" Famous Works: ""The Gross Clinic"", ""Realism"""; Historical Context: Post-Civil War America, urbanization;" Iconic Pieces: ""The Gross Clinic"", graphic depiction of surgery"; Influential Artists: Gustave Courbet; Movement: American Realism; Period: Modern Art; Style: Detailed; Techniques: Tenebrism, gritty realism.
7; Artist Birthplace: Beijing, China; Artist Nationality: Chinese; Artwork Influences: Chinese calligraphy, Daoist philosophy; Cultural Significance: Influential in development of Chinese landscape painting, guohua;" Famous Works: ""Early Spring"", ""Along the River During the Qingming Festival"""; Historical Context: Song Dynasty, cultural and technological advancements;" Iconic Pieces: ""Along the River During the Qingming Festival"", detailed urban scene"; Influential Artists: Li Cheng; Movement: Song Dynasty Painting; Period: Classical Art; Style: Monochromatic, lyrical; Techniques: Boneless technique, Blue-and-green palette.
8; Artist Birthplace: Cusco, Peru; Artist Nationality: Peruvian; Artwork Influences: Indigenous Andean culture, Spanish colonialism; Cultural Significance: Founding figure of Cuzqueño School, blended European and Andean styles;" Famous Works: ""The Last Supper"", ""Marriage of Martin de Loyola and Isabel de los Ríos"""; Historical Context: Spanish colonization of Peru, cultural fusion;" Iconic Pieces: ""The Last Supper"", incorporation of local elements like guinea pig"; Influential Artists: Italian Renaissance painters; Movement: Cuzqueño School; Period: Baroque; Style: Mannerist; Techniques: Flemish techniques, gold leaf.
9; Artist Birthplace: Azcapotzalco, Mexico; Artist Nationality: Mexican; Artwork Influences: Mexican mythology, social issues; Cultural Significance: Muralism movement leader, addressed societal challenges;" Famous Works: ""Epic of the Mexican People"", ""The History of Mexico"""; Historical Context: Mexican Revolution, societal change;" Iconic Pieces: ""The History of Mexico"", panoramic depiction"; Influential Artists: José Guadalupe Posada; Movement: Mexican Muralism; Period: Modern Art; Style: Monumental, Symbolic; Techniques: Fresco, bold lines.</s>
