;`Galaxy Name; Galaxy Type; Galactic Coordinates (X, Y, Z); Redshift Factor; Diameter (kpc); Mass (M☉); Star_Star; Star_Star Type; Star_Right Ascension; Star_Declination; Star_Apparent Magnitude; Star_Absolute Magnitude; Star_Distance from Earth (ly); Star_Diameter; Star_Mass; Star_Black Hole Presence; Star_Spiral Arm Structure; Star_Number of Planets; Star_Number of Moons; Unique Info`
0; Andromeda Galaxy; Spiral; (0, 0, 0); 0.0007; 220; 1000000; A; Blue Supergiant; 00h 42m 44.3s; +41° 16′ 09″; 3.4; -5.1; 2500000; 260; 1.5e11; Yes; Two Prominent Spiral Arms; 3; 0; Our nearest spiral galaxy.
1;Triangulum Galaxy; Irregular; (300, 0, 0); 0.0011; 60; 40000; B; Red Giant; 01h 33m 56s; +30° 44′; 5.7; -12.2; 3000; 15; 2e9; No; No Clear Spiral Structure; 0; 0; Small and irregularly shaped.
2;Whirlpool Galaxy; Spiral; (-1500, 500, 0); 0.0025; 78; 200000; C; Yellow Supergiant; 14h 03m 12.6s; +54° 40′ 44″; 8.6; -20.9; 30000; 50; 4e10; Yes; Two Prominent Spiral Arms; 2; 1; Famous for its striking appearance.
3;Sombrero Galaxy; Lenticular; (-2800, 2500, 0); 0.0037; 50; 80000; D; White Dwarf; 12h 39m 59.4s; -11° 37′ 22″; 9.1; -15.0; 28000; 10; 8e9; Yes; Dust Lane Across Center; 0; 0; Has a large central bulge.
4;Pinwheel Galaxy; Spiral; (-4500, 0, 0); 0.0042; 95; 300000; E; O-Type Star; 02h 53m 58.8s; +48° 41′ 53″; 8.9; -21.0; 22000; 70; 8e10; Yes; Two Clear Spiral Arms; 4; 0; A nearly face-on spiral galaxy.
5;Cigar Galaxy; Irregular; (-500, -2000, 0); 0.0046; 25; 10000; F; Red Supergiant; 05h 36m 14.3s; +69° 52′ 02″; 8.7; -16.4; 11000; 20; 6e9; No; No Spiral Structure; 0; 0; Unusually shaped.
6;Sunflower Galaxy; Spiral; (2000, 2000, 0); 0.0051; 70; 150000; G; Blue Dwarf; 10h 16m 38.2s; +59° 10′ 09″; 9.6; -19.5; 30000; 30; 4e10; Yes; Two Spiral Arms with Knots; 4; 0; Striking spiral arm patterns.
7;Bode's Galaxy; Elliptical; (10000, 0, 0); 0.0075; 100; 100000; H; Neutron Star; 01h 51m 08.9s; +33° 34′ 36″; 9.6; -18.9; 12000; 8; 2e9; No; No Spiral Structure; 0; 0; One of the brighter Messier objects.
8;Bear's Paw Galaxy; Irregular; (-2000, -5000, 0); 0.0102; 15; 5000; I; Orange Dwarf; 14h 34m 05.4s; +52° 17′ 55″; 10.2; -14.2; 7000; 7; 3e8; No; No Clear Structure; 0; 0; Named after its resemblance to a bear's paw.
9;Bubble Galaxy; Irregular; (-3000, -6000, 0); 0.0114; 12; 4000; J; Red Dwarf; 23h 39m 55.9s; -10° 25′ 59″; 11.0; -13.9; 9000; 5; 2e8; No; No Visible Structure; 0; 0; Often used for redshift studies.</s>
