;"""Protein Structures"; Protein-Ligand Interactions; Protein-Protein Interactions; Secondary Structure Prediction; Tertiary Structure Prediction; Protein Disorder Prediction; Sequence Motifs; Post-translational Modification Sites; Protein Function Prediction; Protein Evolutionary Analysis; Protein Domain Analysis; Protein Subcellular Localization; Protein Three-dimensional Structure Alignment; Protein Sequence Alignment;" Protein Family Classification"""
0;"  ""3LZM"; multiple ligand interactions; homodimer formation; helices and sheets; loops and coils; intrinsically disordered; zinc finger motif; phosphorylation site; enzyme commission number; primate-specific domains; nucleus; DALI server; BLAST;" pFAM""";
1;" ""1A3N"; protein-inhibitor complex; heterodimer interface; beta-sheets; alpha-helices; thermal shifts; calcium-binding motif; ubiquitination site; gene ontology terms; shared structural domains; mitochondria; FATCAT; Clustal Omega;" SCOP""";
2;" ""4YBB"; ligand channeling; self-association; beta-barrels; coiled-coils; cold-shock domain; glycosylation site; membrane targeting; molecular function; multi-domain architecture; endoplasmic reticulum; TM-align; needleman-wunsch;" CD- Hunt""";
3;" ""2XFJ"; no ligand; self-interaction domains; random coils; transmembrane helices; sumoylation site; PDZ domain; biological process; repeat regions; chloroplast; MUSTANG; muscle membrane alignment;" PSI-BLAST""";;
4;" ""5NP2"; DNA-binding; heterotrimer assembly; strand turns; helix-loop-helix; acetylation site; actin-binding motif; cellular component; low complexity regions; cytosol; PDBeFold; MEGA;" PRALINE""";;
5;" ""6GSM"; enzymatic active site; homotetramer formation; reverse turns; winged-helix; methylation site; protein kinase domain; biochemical pathway; mobile regions; extracellular; CEalign; MUSCLE;" PIRSF""";;
6;" ""4JKV"; protein-ligand pocket; self-association; sheets and coils; DEVD peptide-binding motif; ubiquitination site; caspase domain; cellular location; low complexity insertions; cytoplasm; TM-align; MAFFT;" SUPERFAMILY""";;
7;" ""2YAB"; metal-binding; heterodimer; stranded secondary structure; EF-hand motif; phosphorylation site; coiled-coil domains; protein class; repeat sequences; endoplasmic reticulum; FATCAT; ClustalW;" PROSITE""";;
8;" ""5L1A"; peptide ligand; trimerization; helical wheel; zinc finger motif; glycosylation site; PDZ domain; molecular function; intrinsically disordered; membrane; DALI server; needleman-wunsch;" InterPro""";;
9;" ""2YDU"; protein-DNA interface; self-association; hairpin loops; helix-turn-helix; sumoylation site; homeodomain; biological process; multiple domains; nucleus; TM-align; MUSCLE;" PROSITE"".</s>";;
