;economic system type; government debt % of GDP ratio; interests rates - short term; inflation rate (CPI); unemployment rate; exchange rate vs US Dollar; number of publicly traded companies; Human Development Index value; corruption perception index value; global competitiveness ranking; energy consumption per capita PPP$;" tourism revenue (""$ billions"")"
0;" ""Mixed Market Economy""";" ""60%""";" ""0.5%""";" ""2.5%""";" ""4.5%""";" ""1.20""";" ""3000""";" ""0.930""";" ""65""";" ""25""";" ""8000""";" ""120"""
1;"""Traditional Economy""";" ""10%""";" ""nan""";" ""1.0%""";" ""10%""";" ""5.00""";" ""50""";" ""0.700""";" ""35""";" ""120""";" ""250""";" ""5"""
2;"""Command Economy""";" ""100%""";" ""nan""";" ""3.0%""";" ""2%""";" ""0.90""";" ""150""";" ""0.850""";" ""70""";" ""50""";" ""500""";" ""10"""
3;"""Mixed Economy""";" ""80%""";" ""1.0%""";" ""1.8%""";" ""5.5%""";" ""1.10""";" ""1200""";" ""0.915""";" ""85""";" ""15""";" ""3000""";" ""150"""
4;"""Transitional Economy""";" ""70%""";" ""1.5%""";" ""4.5%""";" ""7%""";" ""1.30""";" ""800""";" ""0.825""";" ""60""";" ""75""";" ""1000""";" ""80"""
5;"""Market Economy""";" ""50%""";" ""2.0%""";" ""2.2%""";" ""3.5%""";" ""1.25""";" ""5000""";" ""0.925""";" ""75""";" ""20""";" ""10000""";" ""200"""
6;"""Socialist Market Economy""";" ""40%""";" ""1.2%""";" ""1.7%""";" ""4%""";" ""1.50""";" ""2000""";" ""0.905""";" ""55""";" ""30""";" ""6000""";" ""180"""
7;"""Free Market Economy""";" ""30%""";" ""2.5%""";" ""1.3%""";" ""2.5%""";" ""1.05""";" ""8000""";" ""0.935""";" ""90""";" ""10""";" ""15000""";" ""300"""
8;"""Planned Economy""";" ""20%""";" ""nan""";" ""2.9%""";" ""1%""";" ""0.85""";" ""50""";" ""0.800""";" ""40""";" ""100""";" ""300""";" ""5"""
9;"""Mixed Economy""";" ""65%""";" ""0.7%""";" ""2.7%""";" ""6%""";" ""1.40""";" ""1000""";" ""0.880""";" ""50""";" ""60""";" ""2000""";" ""100""</s>"
