;time\_period; variable\_type; GDP\_$billions; population\_millions; industry\_code; country\_continent; country\_region; country\_global; state\_abbreviation; data\_source; sample\_description
0;" ""time\_period"; variable\_type; GDP\_$billions; population\_millions; industry\_code; country\_continent; country\_region; country\_global; state\_abbreviation; data\_source; sample\_description
1;2020; Nominal; 21.43; 331; 101114; China; East Asia & Pacific; Emerging; CA; World Bank; National accounts data
2;2019; PPP; 21.5; 328; 101114; China; East Asia & Pacific; Developing; CA; World Bank; National accounts data
3;2018; Nominal; 14.14; 315; 101114; China; East Asia & Pacific; Emerging; CA; World Bank; National accounts data
4;2017; Nominal; 12.01; 302; 101114; China; East Asia & Pacific; Emerging; CA; World Bank; National accounts data
5;2016; Nominal; 11.2; 297; 101114; China; East Asia & Pacific; Emerging; CA; World Bank; National accounts data
6;2020; Nominal; 21.07; 329; 102110; United States; North America; Developed; NY; Bureau of Economic Analysis; Gross domestic product
7;2019; Nominal; 21.43; 329; 102110; United States; North America; Developed; NY; Bureau of Economic Analysis; Gross domestic product
8;2018; Nominal; 20.5; 326; 102110; United States; North America; Developed; NY; Bureau of Economic Analysis; Gross domestic product
9;2017; Nominal; 19.39; 325; 102110; United States; North America; Developed; NY; Bureau of Economic Analysis; Gross domestic product
10;2016; Nominal; 18.6; 324; 102110; United States; North America; Developed; NY; Bureau of Economic Analysis;" Gross domestic product""</s>"
