;Commodity Prices;Bond Types;Years To Maturity;Derivatives (Futures);Derivatives (Options);Exchanges;Central Bank Interventions;Monetary Policy;Consumer Spending;Personal Savings Rate;Business Investments;Government Expenditure;Tax Revenue;Political Stability Index;Corporate Earnings
0;" ""Wheat""";"""Government Bonds""";"""10 years""";"""Wheat Futures""";"""Wheat Options""";"""Chicago Board of Trade""";"""0.25 rate hike""";"""Quantitative tightening""";"""$12,000 billion""";"""5.5%""";"""$2,000 billion""";"""$4,500 billion""";"""$3,500 billion""";"""72 (stable)""";"""$1,000 billion"""
1;"""Gold""";"""Corporate Bonds""";"""5 years""";"""Gold Futures""";"""Gold Options""";"""New York Mercantile Exchange""";"""None""";"""Interest rate cuts""";"""$13,500 billion""";"""7%""";"""$3,200 billion""";"""$6,000 billion""";"""$4,800 billion""";"""78 (very stable)""";"""$2,500 billion"""
2;"""Oil""";"""Municipal Bonds""";"""2 years""";"""Oil Futures""";"""Oil Options""";"""Intercontinental Exchange""";"""0.5 rate hike""";"""Inflation targeting""";"""$11,500 billion""";"""6%""";"""$1,800 billion""";"""$4,200 billion""";"""$3,300 billion""";"""69 (stable)""";"""$1,500 billion"""
3;"""Cotton""";"""High-Yield Bonds""";"""3 years""";"""Cotton Futures""";"""Cotton Options""";"""ICE Futures U.S.""";"""None""";"""Quantitative easing""";"""$12,800 billion""";"""8%""";"""$2,200 billion""";"""$5,600 billion""";"""$4,400 billion""";"""74 (stable)""";"""$1,200 billion"""
4;"""Copper""";""" Mortgage-Backed Securities""";"""7 years""";"""Copper Futures""";"""Copper Options""";"""COMEX""";"""0.25 rate hike""";"""Operation Twist""";"""$13,000 billion""";"""5%""";"""$2,500 billion""";"""$5,000 billion""";"""$4,000 billion""";"""75 (stable)""";"""$2,000 billion"""
5;"""Soybeans""";"""Asset-Backed Securities""";"""1 year""";"""Soybean Futures""";"""Soybean Options""";"""CBOT""";"""None""";"""Forward guidance""";"""$12,200 billion""";"""6.5%""";"""$1,900 billion""";"""$4,100 billion""";"""$3,200 billion""";"""68 (stable)""";"""$1,400 billion"""
6;"""Natural Gas""";"""CDO's & CLO's""";"""5 years""";"""Natural Gas Futures""";"""Natural Gas Options""";"""NYMEX""";"""0.25 rate hike""";"""Tapering""";"""$13,300 billion""";"""7.5%""";"""$2,700 billion""";"""$5,800 billion""";"""$4,600 billion""";"""76 (stable)""";"""$2,200 billion"""
7;"""Silver""";"""International Bonds""";"""10 years""";"""Silver Futures""";"""Silver Options""";"""TOCOM""";"""0.5 rate hike""";"""Negative interest rate policy""";"""$11,800 billion""";"""6%""";"""$2,300 billion""";"""$4,700 billion""";"""$3,600 billion""";"""70 (stable)""";"""$1,600 billion"""
8;"""Platinum""";"""Treasury Inflation-Protected Securities""";"""5 years""";"""Platinum Futures""";"""Platinum Options""";"""NYMEX""";"""None""";"""Capital controls""";"""$12,500 billion""";"""8%""";"""$2,800 billion""";"""$6,200 billion""";"""4,800 billion""";"""77 (stable)""";"""$2,400 billion"""
9;"""Palladium""";"""Sovereign Bonds""";"""2 years""";"""Palladium Futures""";"""Palladium Options""";"""TOCOM""";"""0.25 rate hike""";"""Currency peg""";"""$12,000 billion""";"""5%""";"""$2,000 billion""";"""$4,300 billion""";"""$3,300 billion""";"""67 (stable)""";"""$1,500 billion""</s>"
