;NewlyDiscoveredGenes; AdditionalPrevalenceData; NovelMutationsTypes; MutationLocation2; PopulationFrequency2; TestMethod2; GeneticDisorder2; ChromosomeNumber2; ChromosomeLocation2; Symptoms2; ExpressionPattern2; RecessiveAllelesNeeded2; InheritancePattern2; GeneDescription2
0;" ""GN001""";"""Alzheimer's Disease""";"""Point Mutation, Insertion""";"""Chromosome 21""";"""0.01%""";"""NGS, Sanger Sequencing""";"""Early Onset Alzheimer's""";"""21""";"""q21.3""";"""Memory loss, Cognitive decline, Behavioral changes""";"""Broad expression in brain tissues""";"""2""";"""Autosomal dominant""";"""Amyloid precursor protein gene associated with Alzheimer's disease"""
1;"""GN002""";"""Breast Cancer""";"""Deletion, Missense Mutation""";"""Chromosome 17""";"""0.1%""";"""Multiplex Ligation-dependent Probe Amplification, NGS""";"""Hereditary Breast Cancer""";"""17""";"""q21""";"""Breast lump, Nipple discharge, Skin changes""";"""Expressed in breast and other tissues""";"""1-2""";"""Autosomal dominant""";""" BRCA1 gene associated with breast cancer susceptibility"""
2;"""GN003""";"""Cystic Fibrosis""";"""Nonsense Mutation, Splice Site Mutation""";"""Chromosome 7""";"""0.1%""";"""NGS, Quantitative PCR""";"""Cystic Fibrosis""";"""7""";"""q31.2""";"""Persistent cough, Lung infections, Shortness of breath""";"""Expressed in lungs, pancreas, and other organs""";"""2""";"""Autosomal recessive""";"""CFTR gene associated with Cystic Fibrosis"""
3;"""GN004""";"""Duchenne Muscular Dystrophy""";"""Duplication, Deletion""";"""Chromosome X""";"""0.005%""";"""MLPA, NGS""";"""Duchenne Muscular Dystrophy""";"""X""";"""p21.2""";"""Muscle weakness, Difficulty walking, Frequent falls""";"""Widely expressed in skeletal and cardiac muscles""";"""1""";"""X-linked recessive""";"""DMD gene associated with Duchenne Muscular Dystrophy"""
4;"""GN005""";"""Huntington's Disease""";"""Expansion, Trinucleotide Repeat""";"""Chromosome 4""";"""0.01%""";"""NGS, Southern Blot""";"""Huntington's Disease""";"""4""";"""p16.3""";"""Chorea, Behavioral changes, Dementia""";"""Widely expressed in brain and other tissues""";"""1""";"""Autosomal dominant""";"""HTT gene associated with Huntington's Disease"""
5;"""GN006""";"""Marfan Syndrome""";"""Missense Mutation""";"""Chromosome 15""";"""0.02%""";"""NGS, Sanger Sequencing""";"""Marfan Syndrome""";"""15""";"""q21.1""";"""Long limbs, Tall stature, Curved spine""";"""Widely expressed in connective tissues""";"""1""";"""Autosomal dominant""";"""FBN1 gene associated with Marfan Syndrome"""
6;"""GN007""";"""Neurofibromatosis Type 1""";"""Deletion, Point Mutation""";"""Chromosome 17""";"""0.05%""";"""MLPA, NGS""";"""Neurofibromatosis Type 1""";"""17""";"""q11.2""";"""Café au lait spots, Neurofibromas, Lisch nodules""";"""Widely expressed in nervous system tissues""";"""1""";"""Autosomal dominant""";"""NF1 gene associated with Neurofibromatosis Type 1"""
7;"""GN008""";"""Noonan Syndrome""";"""Missense Mutation""";"""Chromosome 12""";"""0.02%""";"""NGS, Sanger Sequencing""";"""Noonan Syndrome""";"""12""";"""q24.1""";"""Short stature, Facial features, Heart defects""";"""Widely expressed in various tissues""";"""1""";"""Autosomal dominant""";"""PTPN11 gene associated with Noonan Syndrome"""
8;"""GN009""";"""Phenylketonuria""";"""Missense Mutation, Nonsense Mutation""";"""Chromosome 12""";"""0.01%""";"""NGS, MS-MS""";"""Phenylketonuria""";"""12""";"""q23.2""";"""Intellectual disability, Fair skin, Musty odor""";"""Widely expressed in various tissues""";"""1-2""";"""Autosomal recessive""";"""PAH gene associated with Phenylketonuria"""
9;"""GN010""";"""Sickle Cell Anemia""";"""Missense Mutation""";"""Chromosome 11""";"""0.08%""";"""NGS, HPLC""";"""Sickle Cell Anemia""";"""11""";"""b1/b2""";"""Fatigue, Pain crisis, Jaundice""";"""Widely expressed in various tissues""";"""2""";"""Autosomal recessive""";"""HBB gene associated with Sickle Cell Anemia""</s>"
