;Igneous Rocks Types; Volcanicity Index; Crystallinity Degree;" ""Plutonic vs Phaneritric"""; Giant Porphyroblasts Present?; Mineral Assemblages - Mafics; Mineral Aggregates – Intermediary; FelsIC Associations - Siliceus; Occurrence Chronicle (Events); Metamorphism History Timeline; Regional Dynamics during Orogenesis
0;  Granite; Low; Phaneritic; Phaneritic, not Plutonic; No; Quartz, Feldspar, Mica; Amphibolite, Pyroxene; Granitoid, Rhyolite; Magmatism in mountain building, Continental collision; Contact/Regional metamorphism - Precambrian; Continental plate convergence.
1; Basalt; High; Aphanitic; Neither Phaneritic nor Plutonic; No; Pyroxene, Olivine, Plagioclase; Augite, Pigeonite; Mafic, Basanite; Mid-ocean ridges, Hotspots; Volcanic metamorphism - Cenozoic; Seafloor spreading, Plate divergence.
2; Diorite; Moderate; Phaneritic; Phaneritic, not Plutonic; Rare; Hornblende, Plagioclase, Pyroxene; Biotite, Hornblende; Intermediate, Andesite; Intrusive at convergent boundaries; Regional metamorphism - Mesozoic; Orogenic events, Terrane accretion.
3; Gabbro; Low; Phaneritic; Phaneritic, not Plutonic; No; Olivine, Pyroxene, Plagioclase; Clinopyroxene, Orthopyroxene; Mafic, Norite; Oceanic crust, Large igneous provinces; Hydrothermal metamorphism - Paleozoic; Plate subduction, Mantle upwelling.
4; Granodiorite; Low; Phaneritic; Phaneritic, not Plutonic; No; Quartz, Plagioclase, K-feldspar, Biotite; Muscovite, Hornblende; Felsic, Dacite; Continental crust, Batholiths; Dynamic metamorphism - Neoproterozoic; Magmatic differentiation, Crustal thickening.
5; Peridotite; Low; Hypidomorphic; Not Plutonic; No; Olivine, Pyroxene, Accessory minerals; Olivine, Pyroxene; Ultramafic, Komatiite; Upper mantle, Ophiolites; Cataclastic metamorphism - Archean; Plate tectonics, Mantle contamination.
6; Porphyry; Moderate; Porphyritic; Not Plutonic; Yes; Quartz, K-feldspar, Biotite, Hornblende; Epidote, Actinolite; Intermediate, Andesite porphyry; Volcanic necks, Porphyry copper deposits; Dynamic metamorphism - Paleogene; Magmatic-hydrothermal systems, Fluid-rock interaction.
7; Pegmatite; Low; Pegmatitic; Not Plutonic; Yes; Quartz, Feldspar, Mica, Rare elements; Tourmaline, Garnet; Granitic, Rare-element pegmatites; Magmatic differentiation, Late-stage fluids; Thermal metamorphism - Phanerozoic; Gemstone formation, Hydrothermal mineralization.
8; Syenite; Low; Phaneritic; Phaneritic, not Plutonic; No; K-feldspar, Plagioclase, Accessory minerals; Aegirine, Arfvedsonite; Felsic, Nepheline syenite; Intrusive at constructive boundaries; Burial metamorphism - Proterozoic; Anatexis, Crustal melting.
9; Anorthosite; Low; Phaneritic; Phaneritic, not Plutonic; No; Plagioclase, Pyroxene, Ilmenite; Hypersthene, Magnetite; Mafic, Labradorite anorthosite; Layered intrusions, Lunar crust; Impact metamorphism - Mesoproterozoic; Crystallization differentiation, Magmatic segregation.</s>
