;Body Waves; Shear Velocities; P-wave Attenuation; S-wave Amplitude; Density Interfaces; Microearthquake Locations; Gravity Anomalies; Magnetic Susceptibility; Free Surface Effect; Topographic Corrections; Unrelated Column 1; Unrelated Column 2
0;" ""5 km/s""";" ""3.2 km/s""";" ""0.002 attenuation""";" ""0.08 amplitude""";" ""1.25 g/cm^3 interface""";" ""40.7N, 123.4W""";" ""10 mGal anomaly""";" ""0.01 SI susceptibility""";" ""Prominent at surface""";" ""5% slope correction""";" ""Random Data 1""";" ""Random Data 2"""
1;"""1 km/s""";" ""2.9 km/s""";" ""0.005 attenuation""";" ""0.12 amplitude""";" ""1.67 g/cm^3 interface""";" ""35.8N, 78.9W""";" ""25 mGal anomaly""";" ""0.03 SI susceptibility""";" ""Noticed at depth""";" ""3% slope correction""";" ""Random Data 3""";" ""Random Data 4"""
2;"""4 km/s""";" ""4.3 km/s""";" ""0.001 attenuation""";" ""0.05 amplitude""";" ""2.05 g/cm^3 interface""";" ""12.5N, 96.3W""";" ""5 mGal anomaly""";" ""0.005 SI susceptibility""";" ""Absent at surface""";" ""1% slope correction""";" ""Random Data 5""";" ""Random Data 6"""
3;"""8 km/s""";" ""5.1 km/s""";" ""0.003 attenuation""";" ""0.15 amplitude""";" ""2.43 g/cm^3 interface""";" ""28.6S, 174.2E""";" ""30 mGal anomaly""";" ""0.025 SI susceptibility""";" ""Present at surface""";" ""2% slope correction""";" ""Random Data 7""";" ""Random Data 8"""
4;"""1 km/s""";" ""6.4 km/s""";" ""0.006 attenuation""";" ""0.2 amplitude""";" ""2.86 g/cm^3 interface""";" ""63.9N, 12.1E""";" ""15 mGal anomaly""";" ""0.01 SI susceptibility""";" ""Variable at surface""";" ""4% slope correction""";" ""Random Data 9""";" ""Random Data 10"""
5;"""9 km/s""";" ""2.7 km/s""";" ""0.004 attenuation""";" ""0.1 amplitude""";" ""1.1 g/cm^3 interface""";" ""19.2S, 43.5W""";" ""45 mGal anomaly""";" ""0.035 SI susceptibility""";" ""Noticed at depth""";" ""5% slope correction""";" ""Random Data 11""";" ""Random Data 12"""
6;"""6 km/s""";" ""4.8 km/s""";" ""0.0015 attenuation""";" ""0.07 amplitude""";" ""1.8 g/cm^3 interface""";" ""32.8N, 117.6W""";" ""12 mGal anomaly""";" ""0.008 SI susceptibility""";" ""Present at surface""";" ""1% slope correction""";" ""Random Data 13""";" ""Random Data 14"""
7;"""3 km/s""";" ""3.8 km/s""";" ""0.0035 attenuation""";" ""0.1 amplitude""";" ""1.45 g/cm^3 interface""";" ""55.6S, 162.2E""";" ""28 mGal anomaly""";" ""0.02 SI susceptibility""";" ""Absent at surface""";" ""3% slope correction""";" ""Random Data 15""";" ""Random Data 16"""
8;"""9 km/s""";" ""5.5 km/s""";" ""0.002 attenuation""";" ""0.18 amplitude""";" ""2.6 g/cm^3 interface""";" ""14.4N, 70.1W""";" ""35 mGal anomaly""";" ""0.03 SI susceptibility""";" ""Variable at surface""";" ""2% slope correction""";" ""Random Data 17""";" ""Random Data 18"""
9;"""4 km/s""";" ""7.1 km/s""";" ""0.0045 attenuation""";" ""0.25 amplitude""";" ""3.1 g/cm^3 interface""";" ""61.9N, 24.8E""";" ""10 mGal anomaly""";" ""0.015 SI susceptibility""";" ""Noticed at depth""";" ""4% slope correction""";" ""Random Data 19""";" ""Random Data 20""</s>"
