;Regional Bloc Membership; Economic Integration Level; Security Coordination; Leadership Role; Intelligence Sharing; Country; Governance Structure; Head Of Organization*; Government Type*; HQ Location; EstablishedYear; MembersCount* (current or historical) ; GDP per Capita*; Population Size* (optional if not directly related to international relations topics.)
0; ASEAN; Highly Integrated; High; Rotating; High; Indonesia; Intergovernmental; Secretary General; Republic; Jakarta; 1967; 10; $4,165; 655 million
1;EU; Highly Integrated; High; Shared; High; Germany; Supranational; President; Federal Parliamentary; Brussels; 1993; 27; $33,768; 447 million
2;AU; Moderately Integrated; Moderate; Rotating; Moderate; Australia; Intergovernmental; Secretary General; Federal Parliamentary; Canberra; 1901; 6; $50,432; 25 million
3;NATO; Low Integration; High; Primary; High; United States; Intergovernmental; Secretary General; Republic; Brussels; 1949; 30; $44,556; 926 million
4;Arab League; Low Integration; Low; Minimal; Low; Saudi Arabia; Intergovernmental; Secretary General; Absolute Monarchy; Cairo; 1945; 22; $16,530; 422 million
5;UNASUR; Moderately Integrated; Moderate; Minimal; Moderate; Brazil; Intergovernmental; Secretary General; Federal Presidential; Quito; 2008; 12; $8,807; 423 million
6;African Union; Low Integration; Low; Minimal; Low; Egypt; Intergovernmental; Chairperson; Semi-presidential; Addis Ababa; 2002; 55; $1,563; 1.3 billion
7;CARICOM; Moderately Integrated; Moderate; Minimal; Moderate; Trinidad and Tobago; Intergovernmental; Secretary General; Federal Parliamentary; Georgetown; 1973; 15; $14,556; 18 million
8;ECOWAS; Moderately Integrated; Moderate; Rotating; Moderate; Nigeria; Intergovernmental; President; Federal Presidential; Abuja; 1975; 15; $2,124; 385 million
9;OSCE; Low Integration; Moderate; Shared; High; Austria; Intergovernmental; Chairman; Federal Parliamentary; Vienna; 1975; 57; $46,089; 374 million
