;Linguistic Area; Language Contact; \#of Genetic Families; Typological Features; Dialect Chain%; Mutual Intelligibility%; Lexical Similarity %; Phoneme Inventory Size; Word Order Frequencies (SOV / SVO etc.); Morpho-phonosyntactic Ruleset Complexities*; Scrabble Point Average**; Text Sample Length Distribution Percentiles***; Type-Token Ratio****
0;  Sino-Tibetan; Intense contact between Chinese dialects; 1; Tonality, Subject-verb-object, High complexity; 100%; 0-10%; 80-90%; 25-30 phonemes; SOV/SVO balanced; Very high; 5-6; 0.5-5/5-10/11-20/21-30/31-40/41-50; High (0.75-0.9)
1; Austronesian; Wide-ranging contact throughout Pacific islands; 1; Isolating languages, VSO/SVO dominant; 90%; 20-30%; 70-80%; 15-20 phonemes; VSO balanced; High; 4-5; 0.1-1/2-5/6-10/11-20/21-30; Moderate (0.5-0.75)
2; Niger-Congo; High contact within Atlantic and Mande groups; 1; Predominantly isolating or agglutinative, SVO dominant; 70%; 40-50%; 60-70%; 20-30 phonemes; SVO dominant; Moderate; 4-5; 1-5/6-10/11-20/21-30/31-40; High (0.75-0.9)
3; Afro-Asiatic; Significant contact in North Africa; 6; Primarily fusional/agglutinative, SVO/SOV balanced; 50%; 30-40%; 50-60%; 25-35 phonemes; SVO/SOV balanced; Moderate; 4-5; 5-10/11-20/21-30/31-40/41-50; Moderate (0.5-0.75)
4; Indo-European; Extensive contact throughout Eurasia; 10; Primarily fusional/inflecting, SVO dominant; 30%; 40-50%; 50-60%; 25-40 phonemes; SVO dominant; Moderate; 4-5; 5-10/11-20/21-30/31-40/41-50; High (0.75-0.9)
5; Uralic; Contact between Baltic Finnic and Samoyedic groups; 3; Agglutinative, SOV dominant; 20%; 50-60%; 60-70%; 20-35 phonemes; SOV dominant; Moderate; 4-5; 11-20/21-30/31-40/41-50; High (0.75-0.9)
6; Altaic; Debated area due to lack of definitive evidence; 3; Agglutinative, SOV dominant; 10%; 50-60%; 60-70%; 20-40 phonemes; SOV dominant; Moderate; 4-5; 11-20/21-30/31-40/41-50; High (0.75-0.9)
7; Austroasiatic; Contact between Mon-Khmer and Munda groups; 2; Primarily isolating, SVO dominant; 20%; 40-50%; 50-60%; 15-25 phonemes; SVO dominant; Low; 3-4; 5-10/11-20/21-30/31-40/41-50; Moderate (0.5-0.75)
8; Dravidian; High contact in South India and Sri Lanka; 1; Agglutinative, SOV dominant; 10%; 60-70%; 70-80%; 25-40 phonemes; SOV dominant; Moderate; 4-5; 11-20/21-30/31-40/41-50/51-60; High (0.75-0.9)
9; Kartvelian; Contact within Caucasus region; 1; Primarily fusional, SVO dominant; 0%; 50-60%; 60-70%; 30-45 phonemes; SVO dominant; Moderate; 4-5; 11-20/21-30/31-40/41-50; High (0.75-</s>
