;Title; Publication Date; Publisher; Pages Number; Edition; Language Translation; Illustrator; ISBN; Awards Won; Female Protagonists; Male Protagonists; Setting; Collaborative Works; Book Series; Multimedia Features
0;" ""Pride and Prejudice""";1813;Townsend Brothers;238;1st;NA;ISBN 978-0141439466;Man Booker Prize, Costa Book Award;5;3;Regency Era England;NA;Independent Works;NA;Audiobook, Ebook
1;"""The Great Gatsby""";1925;Charles Scribner's Sons;180;1st;NA;ISBN 978-0743273565;Pulitzer Prize;2;4;Long Island, 1920s;NA;Standalone Novel;NA;Film, Play
2;"""To Kill a Mockingbird""";1960;J. B. Lippincott & Co.;281;1st;NA;ISBN 978-0060935467;Pulitzer Prize;3;2;Alabama, during the Great Depression;NA;Standalone Novel;NA;Film
3;"""One Hundred Years of Solitude""";1967;Editorial Sudamericana;417;1st;Gregory Rabassa;ISBN 978-0060141321;None;0;5;Macondo, Colombia;NA;Standalone Novel;NA;NA
4;"""The Odyssey""";800 BC;Public Domain;24 books;NA;Robert Fagles;NA;NA;Homeric Prize, National Book Award;1;2;Greece, Mediterranean Sea;NA;Epic Poem;NA NA
5;"""Jane Eyre""";1847;Smith, Elder & Co.;382;1st;Louise Barnett;ISBN 978-0141439551;Man Booker Prize;2;3;Yorkshire moors, England;NA;Standalone Novel;NA;Audiobook, Ebook
6;"""Anna Karenina""";1878;Kazansky Tobacco Factory;864;1st;Richard Pevear, Larissa Volokhonsky;ISBN 978-0143058687;NA;1;4;Russian society, Imperial Russia;NA;Standalone Novel;NA;NA
7;"""The Divine Comedy""";1320;Public Domain;100 cantos;NA;Allen Mandelbaum;NA;NA;NA;0;1;Hell, Purgatory, Heaven;NA;Epic Poem;NA NA
8;"""Mrs. Dalloway""";1925;Hogarth Press;216;1st;NA;ISBN 978-0141185069;NONE;3;1;London, post-WWI;NA;Standalone Novel;NA;Film, Stage
9;"""The Stand""";1978;Doubleday;1200;1st;NA;ISBN 978-0307353052; none;2;4;United States, Post-Apocalyptic;NA;Book Series;NA;Audiobook, Ebook</s>
