;Title; Publication Date ; Publisher / Journal Name;\*Genre\*; \**Character Evolution*\}; Subgenres;; *Historical Setting*; Sociocultural Environment;\*\*Author Affiliation (Birthplace etc.)\*\*; **Language**, Original vs Translation;\*\*Stylistic Period\*\*; Literary Criticism; Additional Information
0;" ""Pride and Prejudice""";1813;Evardston Press;Romance;*Elizabeth Bennet's growth to self-awareness*); Comedy of Manners, Social Comedy;; Regency Era England;Class-consciousness and Gender Roles;*English*, Original;*Romanticism*;Jane Austen;;
1;"""To Kill a Mockingbird""";1960;J. B. Lippincott & Co.;bildungsroman, Social Criticism;*Scout Finch's coming-of-age amid racial injustice*); Southern Gothic, Courtroom Drama;; Depression-era South, USA;Racial and Social Inequality;*English*, Original;*Post-WWII American Literature*;Harper Lee;;
2;"""One Hundred Years of Solitude""";1967;Editorial Sudamericana;Magical Realism;*The Buendía family's complex and tragic legacy*); Political, Historical;*Colombian*, Original;*Latin American Boom*;Gabriel García Márquez;;;;;
3;"""The Great Gatsby""";1925;Charles Scribner's Sons;Tragedy, Social Commentary;*Jay Gatsby's self-destructive pursuit of the American Dream*); Social Critique, Tragedy;; Roaring Twenties, America;Money, Class, and the Pursuit of Happiness;*English*, Original;*Modernist*, *Jazz Age Literature*;F. Scott Fitzgerald;;
4;"""Don Quixote""";1605;Hijos de Hernando de Saint Germán;Chivalric Romance;*The transformation of a man into a delusional knight-errant*); Picaresque, Allegory;; Golden Age of Spain;Religion, Chivalry, and Honor;*Spanish*, Original;*Baroque*;Miguel de Cervantes Saavedra;;
5;"""Mrs. Dalloway""";1925;Hogarth Press;Stream of Consciousness;*Clarissa Dalloway's internal thoughts during a single day*); Modernist, Psychological;*British*, Original;*Modernist*;Virginia Woolf;;;;;
6;"""Things Fall Apart""";1958;Heinemann Educational Books;Tragedy;*Okonkwo's struggle to maintain his cultural identity*); Historical Fiction, Tragedy;; Pre-colonial Nigeria;Colonialism and Cultural Clash;*English*, Original;*African Literature*;Chinua Achebe;;
7;"""The Stranger""";1942;Éditions Gallimard;Existentialism;*The protagonist Meursault's rejection of societal norms*); Crime, Absurdist;*French* (Algeria), Original;*Post-colonial*, *Existentialism*;Albert Camus;;;;;
8;"""Candide""";1759;F. Changuion;Satire, Picaresque;*Candide's hapless journey through a cynically distorted world*); Travelogue, Philosophical Fiction;; European Enlightenment;Optimism, Pessimism, and Skepticism;*French*, Original;*Age of Enlightenment*;Voltaire;;
9;"""The Trial""";1925;Verlag Die Schmiede;Kafkaesque Fiction;*Josef K.'s senseless and absurd trial*); Allegory;*German*, Original;*Expressionist*, *Modernism*;Franz Kafka;</s>;;;;
