;"""Problems in Math""";"""Famous Math Problems""";"""Mathematical Theorems""";"""Puzzles and Brain Teasers""";"""Math Software and Tools""";"""Math Websites and Resources""";"""Math Journals and Publications""";"""Mathematicians' Biographies""";"""Math Competitions""";"""Math Curricula""";"""Math Education Standards""";"""Mathematical Modeling""";"""Math Careers"""
0;" ""Finding the solution to Fermat's Last Theorem""";"""Goldbach Conjecture""";"""Pythagorean Theorem""";"""The Monty Hall Problem""";"""Mathematica""";"""Khan Academy""";"""The Journal of Mathematical Physics""";"""Biography of Isaac Newton""";"""International Mathematical Olympiad""";"""High School Math Curriculum""";"""Common Core Math Standards""";"""Predicting Epidemics with Math""";"""Actuarial Science Careers"""
1;"""The Four Color Theorem""";"""Twin Prime Conjecture""";"""Euclidean Geometry Theorems""";"""The River Crossing Problem""";"""MS Excel""";"""Coursera""";"""The American Mathematical Monthly""";"""Biography of Albert Einstein""";"""Putnam Competition""";"""College Math Curriculum""";"""Next Generation Science Standards""";"""Optimization in Business Decisions""";"""Data Science Careers"""
2;"""The Hairy Ball Theorem""";"""Poincaré Conjecture""";"""Calculus Fundamental Theorems""";"""The Towers of Hanoi""";"""Wolfram Alpha""";"""EdX""";"""The Annals of Mathematics""";"""Biography of Carl Friedrich Gauss""";"""Pan-African Mathematics Olympiad""";"""Graduate Math Curriculum""";"""State Standards for Math""";"""Weather Forecasting with Math""";"""Statistician Careers"""
3;"""The Banach-Tarski Paradox""";"""Riemann Hypothesis""";"""Theorem of Incomplete Induction""";"""The Bridge Crossing Problem""";"""Maple""";"""Khan Academy Kids""";"""The Notices of the AMS""";"""Biography of Blaise Pascal""";"""Asian Pacific Mathematics Olympiad""";"""Online Math Curriculum""";"""International Standards for Math""";"""Modeling Financial Markets with Math""";"""Mathematician Careers"""
4;"""The P=NP Problem""";"""Collatz Conjecture""";"""Theorem of Bolzano-Weierstrass""";"""The Muddy Children Problem""";"""Compuer Algebra Systems""";"""Open Culture""";"""The Mathematical Intelligencer""";"""Biography of Euclid""";"""European Girls' Mathematical Olympiad""";"""AP Math Curriculum""";"""NAEP Math Assessment""";"""Population Dynamics with Math""";"""Engineer Careers"""
5;"""The Kepler Conjecture""";"""Catalan's Conjecture""";"""Theorem of Borel-Cantelli""";"""The Zeckendorf Representation""";"""GeoGebra""";"""Mathway""";"""SIAM Journal on Applied Mathematics""";"""Biography of Pierre-Simon Laplace""";"""Iberoamerican Mathematical Olympiad""";"""Adult Math Education""";"""Trends in International Mathematics and Science Study""";"""Genomic Data Analysis with Math""";"""Economist Careers"""
6;"""The Kakeya Problem""";"""The Inscribed Square Problem""";"""Theorem of Fubini""";"""The Hat Check Problem""";"""Maxima""";"""Math Planet""";"""The Proceedings of the NAS""";"""Biography of Sofia Kovalevskaya""";"""Balkan Mathematical Olympiad""";"""Community College Math Curriculum""";"""PARCC Math Assessment""";"""Public Health Modeling with Math""";"""Cryptographer Careers"""
7;"""The Langlands Program""";"""The Ideal Class Group""";"""Theorem of Fatou""";"""The Secret Door Problem""";"""R""";"""Math is Fun""";"""The American Mathematical Society Bulletin""";"""Biography of Évariste Galois""";"""Mathematics Olympiad of Central America and Caribbean""";"""Special Education Math Curriculum""";"""Smarter Balanced Math Assessment""";"""Machine Learning with Math""";"""Physicist Careers"""
8;"""The Menger Sponge""";"""The Double Bubble Problem""";"""Theorem of Hadamard""";"""The Three Utilities Problem""";"""Axiom""";"""Math Playground""";"""The Journal of the AMS""";"""Biography of David Hilbert""";"""The Nordic Mathematical Contest""";"""Honors Math Curriculum""";"""Advanced Placement Math""";"""Climate Modeling with Math""";"""Software Developer Careers"""
9;"""The Mandelbrot Set""";"""The Four Square Theorem""";"""Theorem of Hurwitz""";"""The Firing Squad Synchronization Problem""";"""Scilab""";"""Multiplication.com""";"""The Mathematics Teacher""";"""Biography of Leonhard Euler""";"""The Roll-Your-Own Cipher""";"""International Baccalaureate Math Curriculum""";"""International Math Olympiad""";"""Network Modeling with Math""";"""Astronomer Careers""</s>"
