;Separate Shooting Percentage; Free Throws Made; Blocks; Penalties Called; Yellow Cards Received$; Red Cards Received$; Team Name; Team ID; Coach Name; Total Playtime Minutes; Average Rating per Game; Weight (kg); Height (cm)
0;" ""42%"; 15; 3; 2; 0; 0; Team A; 001; Coach Smith; 1230; 8.2; 78;" 185"""
1;"""55%"; 18; 1; 1; 1; 0; Team B; 002; Coach Johnson; 1315; 7.9; 84;" 202"""
2;"""48%"; 12; 5; 0; 0; 0; Team C; 003; Coach Jones; 1150; 8.5; 75;" 195"""
3;"""52%"; 17; 2; 3; 0; 1; Team D; 004; Coach Brown; 1210; 8.1; 81;" 200"""
4;"""39%"; 9; 6; 1; 0; 0; Team E; 005; Coach Davis; 1190; 7.7; 86;" 210"""
5;"""45%"; 14; 4; 0; 0; 0; Team F; 006; Coach Miller; 1080; 8.6; 74;" 175"""
6;"""51%"; 16; 0; 2; 1; 0; Team G; 007; Coach Wilson; 1355; 7.8; 83;" 198"""
7;"""44%"; 13; 7; 0; 0; 0; Team H; 008; Coach Taylor; 1170; 8.3; 80;" 205"""
8;"""40%"; 10; 5; 1; 0; 0; Team I; 009; Coach Thompson; 1125; 8.4; 76;" 188"""
9;"""56%"; 19; 1; 0; 0; 0; Team J; 010; Coach White; 1330; 7.6; 85;" 215""</s>"
