;Player Surname;Player Given Name;Team Abbreviation;Total Points Scored Per Game;Field Goal Percentage;Free Throw Percentage;Rebound Average;Steal Average;Block Shots Per Game;Turnover Ratio;Fouling Rate;Games Played;Average Minutes Played;Position Type
0; Davis;Anthony;LAL;27.1;50.3%;84.5%;9.3;1.2;1.8;3.2;3.8;45;36.1;Power Forward
1;Antetokounmpo;Giannis;MIL;29.5;57.8%;72.9%;11.8;1.3;1.5;3.3;3.9;56;35.6;Power Forward
2;James;LeBron;LAL;25.3;51.0%;68.2%;7.5;1.8;2.0;3.5;4.2;55;35.2;Point Guard
3;Durant;Kevin;BKN;26.9;53.7%;90.3%;6.6;1.1;1.1;2.7;4.2;35;36.7;Small Forward
4;Paul;Chris;PHX;16.4;49.1%;92.7%;4.5;1.9;0.6;2.4;3.1;42;31.9;Point Guard
5;Curry;Stephen;GSW;29.6;48.2%;91.6%;5.6;1.3;0.6;1.7;3.6;51;34.8;Shooting Guard
6;Harden;James;BKN;22.0;44.6%;87.5%;7.0;1.2;1.0;0.6;4.7;36;36.6;Point Guard
7;Butler;Jimmy;MIA;21.5;47.5%;86.8%;6.7;2.1;0.6;0.5;3.1;49;34.3;Small Forward
8;Lowry;Kyle;MIA;13.4;43.6%;92.1%;4.5;1.2;0.6;2.5;3.0;33;33.5;Point Guard
9;George;Paul;LAC;23.3;43.8%;83.2%;6.2;1.1;0.7;2.2;3.2;37;34.2;Small Forward</s>
