;Island Nation; Island Size (km2); Coastline Length (km); Number of Islands; Percentage of Land Cover by Forest; Percentage of Land Cover by Urban Areas; Average Temperature; Average Precipitation; Furthest Point from Continental Land; Population; Internet TLD
0;  Japan; 377,975; 29,751; 6,852; 68.55; 25.54; 12.1; 1,700; 1,900; 126,860,000; jp
1; Indonesia; 1,910,931; 54,716; 17,508; 49.6; 53.69; 26.3; 2,830; 1,900; 273,523,615; id
2; Philippines; 300,000; 36,289; 7,641; 65; 53; 26.6; 2,005; 930; 109,581,078; ph
3; Great Britain; 242,495; 17,820; 1; 13; 5; 9.5; 886; 3,400; 67,886,011; uk
4; Cuba; 110,860; 3,735; 1; 27.3; 6; 24.6; 25.5; 1,900; 11,423,061; cu
5; Sri Lanka; 65,610; 1,340; 1; 34.3; 3; 27; 27; 2,200; 22,122,900; lk
6; Madagascar; 587,041; 4,828; 1; 61.3; 34.11; 22.3; 1,650; 4,650; 27,691,378; mg
7; New Zealand; 268,838; 15,134; 2; 30; 1.8; 10.6; 12.5; 2,100; 4,885,035; nz
8; Ireland; 84,421; 1,448; 1; 10.9; 0.24; 9.8; 11.5; 5,400; 4,937,786; ie
9; Iceland; 103,001; 4,970; 1; 49.1; 1; 3.6; 2; 2,300; 364,410; is</s>
10; Philippines; 300,000; 36,289; 7,641; 64.6; 2.3; 26.6; 26.6; 800; 113,173,837; ph
11; Cuba; 110,860; 5,746; 1; 27.6; 1.7; 24.6; 24.6; 180; 11,326,616; cu
12; Japan; 377,975; 29,751; 6,852; 68.5; 72.2; 12.2; 17.1; 1,900; 126,475,664; jp
13; United Kingdom; 242,495; 12,429; 1; 12.8; 7.6; 8.9; 11.4; 1,000; 67,886,011; uk
14; Madagascar; 587,041; 4,828; 1; 58.9; 0.3; 25; 17.9; 4,600; 29,121,388; mg
15; Indonesia; 1,910,931; 54,716; 17,508; 49.8; 5.4; 25.7; 26.9; 3,500; 273,523,615; id
16; Greenland; 2,166,086; 44,087; 1; 84.3; 0.4; -9.5; 33.3; 1,800; 57,728; gl
17; Papua New Guinea; 462,840; 5,152; 6,000; 58; 13; 24.9; 3,120; 350; 8,947,024; pg
18; Sri Lanka; 65,610; 1,340; 1; 29.4; 18.7; 26.5; 3,240; 190; 22,123,600; lk
