;"""City Names""";"""Countries containing the city""";"""Metropolitan Area Populations""";"""Government Type""";"""Green Spaces (%)""";"""UNESCO Site""";"""# Of Universities within City Limits""";"""Famous Landmarks""";"""Cable Car Systems""";"""Public Transportation""";"""Electric Vehicle Charging Stations Count & Coverage""";"""Bike Sharing Program Exists""";"""Airport Code""";"""Main Airport to Main Attractions Public Transit Connectivity"""
0;" ""Rio de Janeiro""";"""Brazil""";"""12,958,000""";"""Federal District""";"""14.6""";"""Yes (Corcovado and Copacabana)";"""11""";"""Statue of Christ Redeemer, Copacabana Beach, Sugarloaf Mountain""";"""No""";"""Yes (busses, trains, and metro)""";"""Yes ( Jackterra, Wattacar, and E-leve )""";"""Yes ( Bike Rio )""";"""GIG, SDU""";"""Direct busses, trains, and metro to all major attractions"" "
1;"""Shanghai""";"""China""";"""24,281,000""";"""Municipality""";"""26.9""";"""Yes (The Bund)""";"""45""";"""Shanghai Tower, Oriental Pearl Tower, Yuyuan Garden""";"""Yes (Maglev)""";"""Yes (busses, metro and taxis)""";"""Yes ( StarCharge and Nio Charging )""";"""Yes (Hello Bike)""";"""PVG, SHA""";"""Direct maglev and metro to all major attractions"" "
2;"""Barcelona""";"""Spain""";"""5,577,000""";"""Autonomous City""";"""28.1""";"""Yes (Palau de la Música Catalana)""";"""12""";"""Sagrada Familia, Park Guell, Casa Batllo""";"""No""";"""Yes (busses, trams, trains, and metro)""";"""Yes ( IBIL, Wallbox, and Circontrol )""";"""Yes (Bicing)""";"""BCN""";"""Direct metro to all major attractions"" "
3;"""Moscow""";"""Russia""";"""20,242,000""";"""Federal City""";"""35.5""";"""Yes (Red Square and Kremlin)""";"""37""";"""Saint Basil's Cathedral, Bolshoi Theatre, Moscow State University""";"""Yes (Monorail and Cable Car)""";"""Yes (busses, trams, trolleybuses, and metro)""";"""Yes (Evatran Group and ABB )""";"""Yes (Velobike)""";"""SVO, DME""";"""Direct bus and train to all major attractions"" "
4;"""Sydney""";"""Australia""";"""5,312,000""";"""State Capital""";"""29.3""";"""Yes (Sydney Opera House)""";"""7""";"""Sydney Opera House, Sydney Harbour Bridge, Bondi Beach""";"""Yes (Sydney Harbour Bridge Climb)""";"""Yes (busses, trains, trams, and ferries)""";"""Yes (ChargePoint, Tritium, and JET Charge)""";"""Yes (oBike)""";"""SYD""";"""Direct train to all major attractions"" "
5;"""Toronto""";"""Canada""";"""6,202,000""";"""Provincial Capital""";"""15.6""";"""Yes (CN Tower)""";"""20""";"""CN Tower, Ripley's Aquarium, Royal Ontario Museum""";"""No""";"""Yes (busses, trams, and subway)""";"""Yes (Sun Country Highway and Flo Charging)""";"""Yes (Bike Share Toronto)""";"""YYZ""";"""Direct subway to all major attractions"" "
6;"""Washington D.C.""";"""United States""";"""6,239,000""";"""District""";"""24.3""";"""Yes (The White House and National Mall)""";"""18""";"""Lincoln Memorial, Washington Monument, Smithsonian Museum""";"""No""";"""Yes (busses, metro, and Circulator)"" ";"""Yes (PlugShare and SemaConnect)""";"""Yes (Capital Bikeshare)"" ";"""IAD, DCA""";"""Direct metro to all major attractions"" "
7;"""Mumbai""";"""India""";"""20,667,000""";"""State Capital""";"""4.8""";"""Yes (Chhatrapati Shivaji Maharaj Vastu Sangrahalaya)""";"""22""";"""Gateway of India, Elephanta Caves, Marine Drive""";"""No""";"""Yes (busses, trains, trams, and metro)""";"""Yes (Tata Power, Fortum, and Magneti Marelli)""";"""Yes (Yulu)"" ";"""BOM""";"""Direct trains and metro to all major attractions"" "
8;"""Istanbul""";"""Turkey""";"""15,063,000""";"""Provincial Capital""";"""21.8""";"""Yes (Hagia Sophia and Blue Mosque)""";"""24""";"""Topkapi Palace, Grand Bazaar, Galata Tower""";"""Yes (Tünel and Maçka)";"""Yes (busses, trams, metro, and ferries)""";"""Yes (Gireve and ABB)""";"""Yes (Bisim)""";"""IST, SAW""";"""Direct metro, tram, and ferry to all major attractions"" "
9;"""Paris""";"""France""";"""12,250,000""";"""Commune""";"""10.7""";"""Yes (Eiffel Tower and Notre-Dame)""";"""17""";"""Louvre Museum, Arc de Triomphe, Montmartre""";"""Yes (Montmartre Funicular)""";"""Yes (busses, metro, and RER)""";"""Yes (TotalEnergies, Ionity, and Freshmile)""";"""Yes (Velib)"" ";"""CDG, ORY""";"""Direct trains, metro, and RER to all major attractions"".</s>"
10;" ""São Paulo""";"""Brazil""";"""21,846,000""";"""Municipality""";"""9.3""";"""Yes (Ibirapuera Park and Paulista Avenue)""";"""19""";"""Museum of Art, Municipal Theatre, Zona Torta""";"""No""";"""Yes (CPFL Energia, Enel X, and EDP)""";"""Yes (Bike Sampa)""";"""GRU, CGH""";"""Direct metro and bus to some major attractions"" ";
11;"""Tokyo""";"""Japan""";"""37,393,000""";"""Metropolis""";"""7.1""";"""Yes (Temples and Gardens)""";"""100""";"""Mount Fuji, Meiji Shrine, Asakusa""";"""Yes (Toei and Keio)""";"""Yes (Charging Network Japan, Chargemap, and Toda)""";"""Yes (Docomo Bike Share)""";"""NRT, HND""";"""Direct trains to most major attractions"" ";
12;"""Shanghai""";"""China""";"""26,317,000""";"""Municipality""";"""3.7""";"""Yes (The Bund and Yu Garden)""";"""46""";"""Shanghai Tower, Oriental Pearl, People's Square""";"""No""";"""Yes (State Grid, Star Charge, and Potevio)""";"""Yes (Hellobike and ofo)""";"""PVG, SHA""";"""Direct metro to most major attractions"" ";
13;"""Moscow""";"""Russia""";"""20,236,000""";"""Federal City""";"""47.5""";"""Yes (Red Square and Kremlin)""";"""50""";"""Saint Basil's Cathedral, Bolshoi Theatre, Gorky Park""";"""No""";"""Yes (Moscow United Electric Grid, EV-Network, and RusHydro)""";"""Yes (Velobike)""";"""SVO, DME""";"""Direct trains and metro to all major attractions"" ";
14;"""Beijing""";"""China""";"""21,516,000""";"""Municipality""";"""38.9""";"""Yes (Forbidden City and Temple of Heaven)""";"""53""";"""Great Wall, Tiananmen Square, Summer Palace""";"""No""";"""Yes (State Grid, Star Charge, and Potevio)""";"""Yes (Hellobike and ofo)""";"""PEK""";"""Direct trains and metro to all major attractions"" ";
15;"""Cairo""";"""Egypt""";"""22,818,000""";"""Governorate""";"""4.4""";"""Yes (Pyramids of Giza and Egyptian Museum)""";"""13""";"""Khan el-Khalili, Saladin Citadel, Nile River""";"""No""";"""Yes (ENEC, EDCO, and Gaia)""";"""Yes (Bike Cairo)""";"""CAI""";"""Direct bus and metro to some major attractions"" ";
