;"""Building Description"" ";" ""Style""";" ""Period""";" ""Location""";" ""Material""";" ""Size""";" ""Sustainability Rating""";" ""Build Year""";" ""Designer""";" ""Historical Significance""";" ""Description""";" ""Spatial Configuration""";" ""Surrounding Environment""";" ""Special Features"""
0;" ""Grand Palace"; Thai Architecture; Rattanakosin Period; Bangkok, Thailand; Brick, Gold; 218,400 sqm; Five-star rating; 1782; King Rama I; Historical and cultural significance; A large complex of buildings in the heart of Bangkok, featuring ornate throne halls, royal residences and temples; Court-style configuration; Moat, gardens and cityscape;" Gold-plated spires, intricate carvings, and delicate murals."""
1;"""Sydney Opera House"; Expressionist Modern; Late 20th Century; Sydney, Australia; Concrete, Steel; 1.8 hectares; Six-star rating; 1973; Jørn Utzon; Architectural icon and UNESCO World Heritage Site; Egg-carton style configuration; Iconic harbour and city views; Waterfront location and adjacent parklands;" Stainless steel panels, precast concrete shells and expansive glass walls."""
2;"""Taj Mahal"; Mughal; 17th Century; Agra, India; Marble; 60,000 sqm; Five-star rating; 1653; Ustad Ahmad Lahauri; Monumental symbol of love and UNESCO World Heritage Site; Symmetrical layout around a central chamber; Surrounded by gardens and reflecting pools;" Minarets, calligraphy, and inlay work.""";
3;"""Guggenheim Museum Bilbao"; Deconstructivism; Late 20th Century; Bilbao, Spain; Titanium, Glass, Limestone; 32,500 sqm; Six-star rating; 1997; Frank Gehry; Architectural landmark and cultural destination; Curvilinear and asymmetrical form; River and city views;" Titanium cladding, curved glass and limestone base.""";
4;"""Palace of Versailles"; Baroque and Rococo; 17th-18th Century; Versailles, France; Stone, Marble, Glass; 67,000 sqm; Five-star rating; 1682; Louis Le Vau, Jules Hardouin-Mansart, Charles Le Brun; Masterpiece of French classical architecture and UNESCO World Heritage Site; Grandiose layout and decoration; Gardens, fountains and parkland;" Gilded interiors, ornate frescoes, and decorative sculptures.""";
5;"""Villa Savoye"; International Style; Early 20th Century; Poissy, France; Reinforced concrete, Steel, Glass; 380 sqm; Six-star rating; 1931; Le Corbusier; Iconic example of modernist architecture and UNESCO World Heritage Site; Open-plan and flowing layout; Surrounded by meadows;" Ribbon windows, pilotis, and flat roof.""";
6;"""Fallingwater"; Organic Architecture; Mid-20th Century; Pennsylvania, USA; Stone, Steel, Glass; 516 sqm; Six-star rating; 1936; Frank Lloyd Wright; Iconic residence and National Historic Landmark; Horizontal and cantilevered layout; Forest and stream;" Stone walls, steel trusses, and extensive use of glass.""";
7;"""United Nations Headquarters"; International Style; Mid-20th Century; New York, USA; Steel, Glass, Marble; 377,700 sqm; Five-star rating; 1952; Le Corbusier, Oscar Niemeyer, Wallace Harrison; Architectural symbol of international cooperation and UNESCO World Heritage Site; Symmetrical layout; River and city views;" Curved facades, marble cladding, and sculptural gardens.""";
8;"""Petronas Twin Towers"; Postmodern; Late 20th Century; Kuala Lumpur, Malaysia; Steel, Glass, Concrete; 492,100 sqm; Five-star rating; 1998; Cesar Pelli; World's tallest twin towers and architectural icon; Towering configuration; Cityscape and skyline;" Double-decked sky bridge, mullion-free walls, and Islamic motifs.""";
9;"""Burj Khalifa"; Neo-futurism; Early 21st Century; Dubai, UAE; Reinforced concrete, Glass; 682,500 sqm; Five-star rating; 2010; Adrian Smith, Skidmore, Owings & Merrill; World's tallest building and Dubai's landmark; Towering spire configuration; Desert and city views;" Yacht club, park, and mall at the base, and mechanical floors at the top.""</s>";
10;" ""Guggenheim Museum Bilbao"; Deconstructivism; Late 20th Century; Bilbao, Spain; Titanium, Glass, Limestone; 32,500 sqm; Five-star rating; 1997; Frank Gehry; Architectural icon of modern art; Curvilinear form; River views;" Curved, titanium-clad exterior and fish-like appearance.""";
11;"""The Sage Gateshead"; Contemporary; Early 21st Century; Gateshead, England; Glass, Steel, Concrete; 30,500 sqm; Four-star rating; 2004; Foster + Partners; Arts and culture venue; Curvilinear form; River and city views;" Angled facades and reflective glass surface.""";
12;"""The Shard"; Neo-futurism; Early 21st Century; London, England; Glass, Steel, Concrete; 136,700 sqm; Five-star rating; 2012; Renzo Piano Building Workshop; Tallest building in the European Union; Towering spire configuration; River and city views;" Observation deck, hotel, and restaurants.""";
13;"""Fallingwater"; Organic Architecture; Mid-20th Century; Pennsylvania, USA; Steel, Concrete, Glass, Local Sandstone; 1,366 sqm; Five-star rating; 1937; Frank Lloyd Wright; Iconic residence over a waterfall; Horizontal and vertical configuration; Forest and waterfall views;" Cantilevered balconies and stone chimneys.""";
14;"""Dancing House"; Deconstructivism; Late 20th Century; Prague, Czech Republic; Steel, Glass, Concrete; 4,270 sqm; Not rated; 1996; Vlado Milunić, Frank Gehry; Office building with a unique shape; Curvilinear form; River and city views;" Glass facade with curved and angular forms.""";
15;"""CCTV Headquarters"; Deconstructivism; Early 21st Century; Beijing, China; Steel, Glass; 348,000 sqm; Not rated; 2008; Rem Koolhaas, Ole Scheeren; Landmark office building for China Central Television; Loop and tower configuration; Urban views;" Diagonal and angled facades.""";
16;"""Sydney Opera House"; Expressionist Modernism; Mid-20th Century; Sydney, Australia; Concrete, Glass, Granite, Shells; 131,900 sqm; Five-star rating; 1973; Jørn Utzon; Iconic performing arts center; Shell-like configuration; Harbor and city views;" Sails-inspired roof design.""";
17;"""The Crooked House"; Fantasy; Late 20th Century; Sopot, Poland; Steel, Glass, Ceramic; 4,000 sqm; Not rated; 2004; Szotyńscy & Zaleski; Unique, fairy-tale-inspired building; Curvilinear form; Urban views;" Wavy, skewed facades.""";
18;"""The Getty Center"; Postmodern; Late 20th Century; Los Angeles, USA; Concrete, Steel, Glass; 194,000 sqm; Five-star rating; 1997; Richard Meier; Museum and cultural center; Horizontal and vertical configuration; Hillside and city views;" Open-air galleries and gardens.""";
19;"""The Twisting Torso"; Expressionist; Early 21st Century; Malmö, Sweden; Concrete, Steel, Glass; 42,500 sqm; Five-star rating; 2005; Santiago Calatrava; Residential skyscraper; Twisting configuration; Urban views;" Diagonal cantilevered forms and sloping facades.""</s>";
