;Type of Geometry;Shape Attributes;Elemental Associations;Cultural Context;Significance in Theory;Methods of Divination;Possible Outcomes;Interpretation & Ritual Use;Limitation on Alphanumeric Readability;Frequency Used by Culture;Inherited vs Innovative Methods;Zodiac Sign Symbolism;Planetary Connections
0;  Type of Geometry: Point; Shape Attributes: Singular, Still; Elemental Associations: Spirit, Fire; Cultural Context: Ancient Chinese; Significance in Theory: Represents ultimate unity and potential; Methods of Divination: Meditative focus on a single point; Possible Outcomes: Clarity, Inspiration, Revelation; Interpretation & Ritual Use: Use in visualization and meditation; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Aries, the starting point; Planetary Connections: Mars, the planet of action.
1; Type of Geometry: Line; Shape Attributes: One-dimensional, Directional; Elemental Associations: Air, Thought; Cultural Context: Greco-Roman; Significance in Theory: Represents communication, connection, and movement; Methods of Divination: Pendulum divination; Possible Outcomes: Decisions, Changes, Directions; Interpretation & Ritual Use: Use in decision-making and goal-setting; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Common; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Libra, the balanced line; Planetary Connections: Mercury, the planet of communication.
2; Type of Geometry: Triangle; Shape Attributes: Three-sided, Stable; Elemental Associations: Earth, Body; Cultural Context: Indigenous African; Significance in Theory: Represents stability, fertility, and growth; Methods of Divination: Throwing of bones or stones; Possible Outcomes: Fertility, Abundance, Security; Interpretation & Ritual Use: Use in rituals promoting fertility and stability; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Frequent; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Taurus, the earthy and stable sign; Planetary Connections: Venus, the planet of fertility.
3; Type of Geometry: Square; Shape Attributes: Four-sided, Symmetrical; Elemental Associations: Water, Emotion; Cultural Context: Ancient Egyptian; Significance in Theory: Represents balance, harmony, and emotional stability; Methods of Divination: Mirror scrying; Possible Outcomes: Emotional balance, inner peace, stability; Interpretation & Ritual Use: Use in rituals promoting emotional balance; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Frequent; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Cancer, the emotional and nurturing sign; Planetary Connections: Moon, the celestial body of emotions.
4; Type of Geometry: Circle; Shape Attributes: Curved, Complete; Elemental Associations: Ether, Spirit; Cultural Context: Native American; Significance in Theory: Represents wholeness, cycles, and eternity; Methods of Divination: Smoke reading; Possible Outcomes: Completion, Cycles, Renewal; Interpretation & Ritual Use: Use in rituals promoting wholeness and completion; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Frequent; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Sagittarius, the seeking and adventurous sign; Planetary Connections: Jupiter, the planet of expansion and growth.
5; Type of Geometry: Pentagram; Shape Attributes: Five-pointed star, Protective; Elemental Associations: Spirit, Fire, Water, Earth, Air; Cultural Context: Western Magical Traditions; Significance in Theory: Represents spiritual unity and protection; Methods of Divination: Talisman creation; Possible Outcomes: Protection, Guidance, Blessing; Interpretation & Ritual Use: Use in rituals promoting protection and unity; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Innovative; Zodiac Sign Symbolism: Leo, the fiery and proud sign; Planetary Connections: Sun, the celestial body of pride and life.
6; Type of Geometry: Hexagram; Shape Attributes: Six-pointed star, Balancing; Elemental Associations: Fire, Water, Air, Earth, Spirit; Cultural Context: Jewish and Islamic Mysticism; Significance in Theory: Represents balance, harmony, and interconnectedness; Methods of Divination: Tarot card reading; Possible Outcomes: Balance, Harmony, Spiritual connection; Interpretation & Ritual Use: Use in rituals promoting balance and harmony; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Occasional; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Virgo, the analyzing and service-oriented sign; Planetary Connections: Mercury, the planet of analysis.
7; Type of Geometry: Septagram; Shape Attributes: Seven-pointed star, Mystical; Elemental Associations: Seven Chakras, Energy; Cultural Context: Western Mystical Traditions; Significance in Theory: Represents spiritual growth and enlightenment; Methods of Divination: Crystal ball gazing; Possible Outcomes: Enlightenment, Growth, Healing; Interpretation & Ritual Use: Use in rituals promoting spiritual growth and healing; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Innovative; Zodiac Sign Symbolism: Aquarius, the humanitarian and intellectual sign; Planetary Connections: Saturn, the planet of restriction and discipline.
8; Type of Geometry: Octagram; Shape Attributes: Eight-pointed star, Regenerative; Elemental Associations: Four Directions, Four Elements; Cultural Context: Babylonian and Persian; Significance in Theory: Represents regeneration, renewal, and cycles; Methods of Divination: Sand divination; Possible Outcomes: Renewal, Regeneration, New beginnings; Interpretation & Ritual Use: Use in rituals promoting renewal and new beginnings; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Scorpio, the intense and intuitive sign; Planetary Connections: Pluto, the planet of transformation and power.
9; Type of Geometry: Enneagram; Shape Attributes: Nine-pointed star, Transformative; Elemental Associations: Nine Energies, Growth; Cultural Context: Modern Spirituality; Significance in Theory: Represents transformation, growth, and integration; Methods of Divination: Hand analysis; Possible Outcomes: Transformation, Growth, Wholeness; Interpretation & Ritual Use: Use in rituals promoting transformation and personal growth; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Innovative; Zodiac Sign Symbolism: Pisces, the imaginative and spiritual sign; Planetary Connections: Neptune, the planet of spirituality and illusion.</s>
10;  Type of Geometry: Decagram; Shape Attributes: Ten-pointed star, Completeness; Elemental Associations: Ten Sephirot, Divine manifestations; Cultural Context: Jewish Kabbalah; Significance in Theory: Represents unity, completion, and divine connection; Methods of Divination: Meditative visualization; Possible Outcomes: Self-discovery, Completeness, Unity; Interpretation & Ritual Use: Use in rituals promoting self-discovery and spiritual unity; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Capricorn, the ambitious and disciplined sign; Planetary Connections: Saturn, the planet of restriction and discipline.
11; Type of Geometry: Hendecagram; Shape Attributes: Eleven-pointed star, Transition; Elemental Associations: Eleven Muses, Inspiration; Cultural Context: Greek; Significance in Theory: Represents transition, change, and inspiration; Methods of Divination: Tarot readings; Possible Outcomes: Change, Transition, Inspiration; Interpretation & Ritual Use: Use in rituals promoting change and seeking inspiration; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Aries, the adventurous and courageous sign; Planetary Connections: Mars, the planet of war and desire.
12; Type of Geometry: Dodecagram; Shape Attributes: Twelve-pointed star, Wholeness; Elemental Associations: Twelve Olympians, Power; Cultural Context: Hellenic; Significance in Theory: Represents wholeness, balance, and divine power; Methods of Divination: Astrology; Possible Outcomes: Balance, Wholeness, Divine guidance; Interpretation & Ritual Use: Use in rituals promoting balance and seeking divine guidance; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Taurus, the reliable and patient sign; Planetary Connections: Venus, the planet of love and beauty.
13; Type of Geometry: Triskaidecagram; Shape Attributes: Thirteen-pointed star, Transformation; Elemental Associations: Thirteen Moons, Cycles; Cultural Context: Indigenous American; Significance in Theory: Represents transformation, cycles, and feminine power; Methods of Divination: Lunar divination; Possible Outcomes: Transformation, New cycles, Empowerment; Interpretation & Ritual Use: Use in rituals promoting personal transformation and empowerment; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Cancer, the emotional and nurturing sign; Planetary Connections: Moon, the planet of emotion and change.
14; Type of Geometry: Tetradecagram; Shape Attributes: Fourteen-pointed star, Growth; Elemental Associations: Fourteen Helpers, Protection; Cultural Context: Native American; Significance in Theory: Represents growth, protection, and spiritual guidance; Methods of Divination: Smudging divination; Possible Outcomes: Growth, Protection, Spiritual Guidance; Interpretation & Ritual Use: Use in rituals promoting spiritual growth and protection; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Leo, the confident and charismatic sign; Planetary Connections: Sun, the planet of life and self.
15; Type of Geometry: Pentadecagram; Shape Attributes: Fifteen-pointed star, Creation; Elemental Associations: Fifteen Stars, Creation; Cultural Context: Polynesian; Significance in Theory: Represents creation, birth, and renewal; Methods of Divination: Star divination; Possible Outcomes: Creation, Renewal, Rebirth; Interpretation & Ritual Use: Use in rituals promoting creation and renewal; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Virgo, the analytical and helpful sign; Planetary Connections: Mercury, the planet of communication and intellect.
16; Type of Geometry: Hexadecagram; Shape Attributes: Sixteen-pointed star, Balance; Elemental Associations: Sixteen Compass Points, Direction; Cultural Context: Chinese; Significance in Theory: Represents balance, harmony, and direction; Methods of Divination: Qimen Dunjia; Possible Outcomes: Balance, Harmony, Direction; Interpretation & Ritual Use: Use in rituals promoting balance and seeking direction; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Libra, the balanced and diplomatic sign; Planetary Connections: Venus, the planet of love and beauty.
17; Type of Geometry: Heptadecagram; Shape Attributes: Seventeen-pointed star, Intuition; Elemental Associations: Seventeen Angels, Spirituality; Cultural Context: Islamic; Significance in Theory: Represents intuition, spirituality, and guidance; Methods of Divination: Spirit board; Possible Outcomes: Intuition, Spiritual Guidance, Connection; Interpretation & Ritual Use: Use in rituals promoting intuition and spiritual connection; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Rare; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Scorpio, the intense and intuitive sign; Planetary Connections: Pluto, the planet of transformation and power.
